year,label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiapercent,montgomery_county_marylandestimate,montgomery_county_marylandpercent,wake_county_north_carolinaestimate,wake_county_north_carolinapercent,davidson_county_tennesseeestimate,davidson_county_tennesseepercent,dallas_county_texasestimate,dallas_county_texaspercent,fairfax_county_virginiaestimate,fairfax_county_virginiapercent,loudoun_county_virginiaestimate,loudoun_county_virginiapercent,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
2015,Own children of the householder 6 to 17 years,"280,001","280,001","155,879","155,879","167,886","167,886","83,108","83,108","422,998","422,998","174,530","174,530","73,612","73,612",,,,,,,
2015,All parents in family in labor force,"191,567",68.40%,"120,049",77.00%,"118,199",70.40%,"59,079",71.10%,"281,846",66.60%,"123,940",71.00%,"54,954",74.70%,,,,,,,
2015,COMMUTING TO WORK,,,,,,,,,,,,,,,,,,,,,
2015,Workers 16 years and over,"934,799","934,799","546,903","546,903","519,933","519,933","356,385","356,385","1,231,334","1,231,334","611,053","611,053","201,912","201,912",,,,,,,
2015,"Car, truck, or van -- drove alone","707,871",75.70%,"359,032",65.60%,"410,465",78.90%,"282,006",79.10%,"964,700",78.30%,"427,359",69.90%,"154,337",76.40%,,,,,,,
2015,"Car, truck, or van -- carpooled","94,268",10.10%,"50,492",9.20%,"44,719",8.60%,"39,657",11.10%,"133,569",10.80%,"58,187",9.50%,"19,630",9.70%,,,,,,,
2015,Public transportation (excluding taxicab),"38,867",4.20%,"87,092",15.90%,"5,369",1.00%,"9,407",2.60%,"35,682",2.90%,"66,253",10.80%,"8,883",4.40%,,,,,,,
2015,Walked,"19,581",2.10%,"11,590",2.10%,"6,106",1.20%,"6,465",1.80%,"18,376",1.50%,"13,269",2.20%,"2,956",1.50%,,,,,,,
2015,Other means,"29,562",3.20%,"7,754",1.40%,"6,895",1.30%,"3,404",1.00%,"25,862",2.10%,"10,057",1.60%,"2,613",1.30%,,,,,,,
2015,Worked at home,"44,650",4.80%,"30,943",5.70%,"46,379",8.90%,"15,446",4.30%,"53,145",4.30%,"35,928",5.90%,"13,493",6.70%,,,,,,,
2015,Mean travel time to work (minutes),28,(X),34.3,(X),25.1,(X),25.1,(X),27.1,(X),31.7,(X),34.5,(X),,,,,,,
2015,OCCUPATION,,,,,,,,,,,,,,,,,,,,,
2015,Civilian employed population 16 years and over,"967,374","967,374","555,886","555,886","528,812","528,812","363,716","363,716","1,254,419","1,254,419","613,246","613,246","203,967","203,967",,,,,,,
2015,"Management, business, science, and arts occupations","504,290",52.10%,"309,332",55.60%,"258,535",48.90%,"145,072",39.90%,"422,547",33.70%,"336,897",54.90%,"115,638",56.70%,,,,,,,
2015,Service occupations,"154,201",15.90%,"91,181",16.40%,"71,900",13.60%,"60,657",16.70%,"217,043",17.30%,"103,192",16.80%,"28,869",14.20%,,,,,,,
2015,Sales and office occupations,"172,746",17.90%,"96,424",17.30%,"125,447",23.70%,"86,837",23.90%,"305,813",24.40%,"110,523",18.00%,"39,086",19.20%,,,,,,,
2015,"Natural resources, construction, and maintenance occupations","61,531",6.40%,"32,922",5.90%,"37,370",7.10%,"28,282",7.80%,"142,722",11.40%,"33,906",5.50%,"8,581",4.20%,,,,,,,
2015,"Production, transportation, and material moving occupations","74,606",7.70%,"26,027",4.70%,"35,560",6.70%,"42,868",11.80%,"166,294",13.30%,"28,728",4.70%,"11,793",5.80%,,,,,,,
2015,INDUSTRY,,,,,,,,,,,,,,,,,,,,,
2015,Civilian employed population 16 years and over,"967,374","967,374","555,886","555,886","528,812","528,812","363,716","363,716","1,254,419","1,254,419","613,246","613,246","203,967","203,967",,,,,,,
2015,"Agriculture, forestry, fishing and hunting, and mining","4,906",0.50%,"1,102",0.20%,"1,789",0.30%,337,0.10%,"11,162",0.90%,"1,608",0.30%,"1,150",0.60%,,,,,,,
2015,Construction,"49,912",5.20%,"32,205",5.80%,"34,734",6.60%,"20,138",5.50%,"121,330",9.70%,"32,479",5.30%,"10,533",5.20%,,,,,,,
2015,Manufacturing,"171,575",17.70%,"16,643",3.00%,"41,230",7.80%,"27,285",7.50%,"108,286",8.60%,"15,531",2.50%,"7,904",3.90%,,,,,,,
2015,Wholesale trade,"17,620",1.80%,"6,549",1.20%,"13,765",2.60%,"8,626",2.40%,"37,050",3.00%,"6,583",1.10%,"2,956",1.40%,,,,,,,
2015,Retail trade,"84,976",8.80%,"43,844",7.90%,"56,269",10.60%,"39,943",11.00%,"135,246",10.80%,"47,151",7.70%,"17,673",8.70%,,,,,,,
2015,"Transportation and warehousing, and utilities","27,376",2.80%,"16,046",2.90%,"19,497",3.70%,"17,904",4.90%,"79,224",6.30%,"17,474",2.80%,"8,776",4.30%,,,,,,,
2015,Information,"46,197",4.80%,"14,325",2.60%,"18,882",3.60%,"9,442",2.60%,"33,309",2.70%,"16,254",2.70%,"8,955",4.40%,,,,,,,
2015,"Finance and insurance, and real estate and rental and leasing","45,740",4.70%,"34,517",6.20%,"39,890",7.50%,"28,501",7.80%,"104,549",8.30%,"40,381",6.60%,"15,290",7.50%,,,,,,,
2015,"Professional, scientific, and management, and administrative and waste management services","191,319",19.80%,"125,133",22.50%,"101,164",19.10%,"46,996",12.90%,"180,026",14.40%,"152,042",24.80%,"54,248",26.60%,,,,,,,
2015,"Educational services, and health care and social assistance","179,670",18.60%,"118,328",21.30%,"107,542",20.30%,"86,084",23.70%,"219,955",17.50%,"113,127",18.40%,"31,973",15.70%,,,,,,,
2015,"Arts, entertainment, and recreation, and accommodation and food services","83,740",8.70%,"50,278",9.00%,"46,214",8.70%,"45,233",12.40%,"127,970",10.20%,"59,250",9.70%,"17,780",8.70%,,,,,,,
2015,"Other services, except public administration","37,819",3.90%,"36,551",6.60%,"21,748",4.10%,"18,831",5.20%,"69,459",5.50%,"40,596",6.60%,"9,691",4.80%,,,,,,,
2015,Public administration,"26,524",2.70%,"60,365",10.90%,"26,088",4.90%,"14,396",4.00%,"26,853",2.10%,"70,770",11.50%,"17,038",8.40%,,,,,,,
2015,CLASS OF WORKER,,,,,,,,,,,,,,,,,,,,,
2015,Civilian employed population 16 years and over,"967,374","967,374","555,886","555,886","528,812","528,812","363,716","363,716","1,254,419","1,254,419","613,246","613,246","203,967","203,967",,,,,,,
2015,Private wage and salary workers,"816,430",84.40%,"404,046",72.70%,"423,483",80.10%,"303,435",83.40%,"1,068,513",85.20%,"447,762",73.00%,"159,745",78.30%,,,,,,,
2015,Government workers,"96,375",10.00%,"116,590",21.00%,"76,371",14.40%,"36,709",10.10%,"108,022",8.60%,"128,889",21.00%,"33,462",16.40%,,,,,,,
2015,Self-employed in own not incorporated business workers,"54,024",5.60%,"34,556",6.20%,"28,443",5.40%,"23,046",6.30%,"75,590",6.00%,"35,663",5.80%,"10,369",5.10%,,,,,,,
2015,Unpaid family workers,545,0.10%,694,0.10%,515,0.10%,526,0.10%,"2,294",0.20%,932,0.20%,391,0.20%,,,,,,,
2015,INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2015,Total households,"633,786","633,786","371,458","371,458","382,638","382,638","274,187","274,187","905,250","905,250","392,822","392,822","120,559","120,559",,,,,,,
2015,"Less than $10,000","22,913",3.60%,"14,626",3.90%,"16,319",4.30%,"19,115",7.00%,"58,804",6.50%,"10,150",2.60%,"2,163",1.80%,,,,,,,
2015,"$10,000 to $14,999","18,165",2.90%,"5,519",1.50%,"12,072",3.20%,"14,267",5.20%,"44,079",4.90%,"6,688",1.70%,"1,178",1.00%,,,,,,,
2015,"$15,000 to $24,999","32,578",5.10%,"15,611",4.20%,"25,950",6.80%,"27,652",10.10%,"100,307",11.10%,"11,508",2.90%,"3,497",2.90%,,,,,,,
2015,"$25,000 to $34,999","34,614",5.50%,"21,754",5.90%,"33,480",8.70%,"29,687",10.80%,"96,061",10.60%,"15,457",3.90%,"3,537",2.90%,,,,,,,
2015,"$35,000 to $49,999","49,330",7.80%,"35,306",9.50%,"46,750",12.20%,"40,414",14.70%,"132,631",14.70%,"25,328",6.40%,"7,270",6.00%,,,,,,,
2015,"$50,000 to $74,999","77,044",12.20%,"50,619",13.60%,"68,861",18.00%,"53,596",19.50%,"165,863",18.30%,"48,635",12.40%,"13,451",11.20%,,,,,,,
2015,"$75,000 to $99,999","68,683",10.80%,"43,847",11.80%,"51,206",13.40%,"32,798",12.00%,"105,775",11.70%,"49,440",12.60%,"14,391",11.90%,,,,,,,
2015,"$100,000 to $149,999","112,558",17.80%,"68,044",18.30%,"68,593",17.90%,"30,286",11.00%,"102,259",11.30%,"88,548",22.50%,"27,525",22.80%,,,,,,,
2015,"$150,000 to $199,999","84,624",13.40%,"45,927",12.40%,"28,638",7.50%,"11,299",4.10%,"45,511",5.00%,"55,371",14.10%,"18,167",15.10%,,,,,,,
2015,"$200,000 or more","133,277",21.00%,"70,205",18.90%,"30,769",8.00%,"15,073",5.50%,"53,960",6.00%,"81,697",20.80%,"29,380",24.40%,,,,,,,
2015,Median household income (dollars),"102,340",(X),"98,917",(X),"70,533",(X),"52,026",(X),"51,799",(X),"113,208",(X),"125,003",(X),,,,,,,
2015,Mean household income (dollars),"137,393",(X),"134,527",(X),"92,777",(X),"74,479",(X),"79,087",(X),"143,542",(X),"149,899",(X),,,,,,,
2015,With earnings,"535,519",84.50%,"316,657",85.20%,"328,873",85.90%,"227,356",82.90%,"769,054",85.00%,"345,442",87.90%,"110,170",91.40%,,,,,,,
2015,Mean earnings (dollars),"139,850",(X),"131,754",(X),"91,863",(X),"73,231",(X),"79,782",(X),"135,468",(X),"144,879",(X),,,,,,,
2015,With Social Security,"147,518",23.30%,"86,652",23.30%,"83,509",21.80%,"60,359",22.00%,"191,273",21.10%,"80,225",20.40%,"19,161",15.90%,,,,,,,
2015,Mean Social Security income (dollars),"19,350",(X),"19,757",(X),"19,755",(X),"18,137",(X),"17,652",(X),"19,894",(X),"18,686",(X),,,,,,,
2015,With retirement income,"83,969",13.20%,"63,909",17.20%,"61,478",16.10%,"37,364",13.60%,"98,281",10.90%,"78,345",19.90%,"16,906",14.00%,,,,,,,
2015,Mean retirement income (dollars),"30,236",(X),"42,746",(X),"26,030",(X),"24,927",(X),"21,773",(X),"49,224",(X),"42,479",(X),,,,,,,
2015,With Supplemental Security Income,"33,098",5.20%,"11,829",3.20%,"11,154",2.90%,"12,229",4.50%,"42,973",4.70%,"9,077",2.30%,"1,608",1.30%,,,,,,,
2015,Mean Supplemental Security Income (dollars),"9,791",(X),"8,729",(X),"9,069",(X),"9,996",(X),"8,652",(X),"8,660",(X),"8,132",(X),,,,,,,
2015,With cash public assistance income,"12,599",2.00%,"6,043",1.60%,"4,912",1.30%,"12,636",4.60%,"17,112",1.90%,"3,791",1.00%,840,0.70%,,,,,,,
2015,Mean cash public assistance income (dollars),"5,081",(X),"2,243",(X),"3,311",(X),"2,940",(X),"3,156",(X),"2,634",(X),"4,263",(X),,,,,,,
2015,With Food Stamp/SNAP benefits in the past 12 months,"32,604",5.10%,"25,009",6.70%,"29,908",7.80%,"40,605",14.80%,"128,445",14.20%,"18,521",4.70%,"3,082",2.60%,,,,,,,
2015,Families,"456,166","456,166","257,474","257,474","259,646","259,646","154,555","154,555","590,480","590,480","277,304","277,304","93,533","93,533",,,,,,,
2015,"Less than $10,000","10,858",2.40%,"5,916",2.30%,"6,780",2.60%,"6,584",4.30%,"27,286",4.60%,"4,536",1.60%,495,0.50%,,,,,,,
2015,"$10,000 to $14,999","6,594",1.40%,"2,532",1.00%,"6,323",2.40%,"5,562",3.60%,"20,842",3.50%,"3,969",1.40%,334,0.40%,,,,,,,
2015,"$15,000 to $24,999","17,670",3.90%,"8,411",3.30%,"13,898",5.40%,"13,759",8.90%,"61,103",10.30%,"5,810",2.10%,"2,176",2.30%,,,,,,,
2015,"$25,000 to $34,999","22,096",4.80%,"11,257",4.40%,"17,183",6.60%,"15,258",9.90%,"64,157",10.90%,"9,543",3.40%,"2,046",2.20%,,,,,,,
2015,"$35,000 to $49,999","33,553",7.40%,"21,736",8.40%,"25,396",9.80%,"21,885",14.20%,"84,134",14.20%,"15,916",5.70%,"4,210",4.50%,,,,,,,
2015,"$50,000 to $74,999","53,418",11.70%,"30,785",12.00%,"42,942",16.50%,"29,672",19.20%,"104,949",17.80%,"28,279",10.20%,"7,994",8.50%,,,,,,,
2015,"$75,000 to $99,999","49,047",10.80%,"27,168",10.60%,"36,557",14.10%,"19,565",12.70%,"72,844",12.30%,"31,953",11.50%,"10,310",11.00%,,,,,,,
2015,"$100,000 to $149,999","84,279",18.50%,"51,009",19.80%,"58,414",22.50%,"21,485",13.90%,"76,253",12.90%,"61,038",22.00%,"22,189",23.70%,,,,,,,
2015,"$150,000 to $199,999","66,658",14.60%,"37,793",14.70%,"25,012",9.60%,"8,231",5.30%,"34,632",5.90%,"44,348",16.00%,"16,284",17.40%,,,,,,,
2015,"$200,000 or more","111,993",24.60%,"60,867",23.60%,"27,141",10.50%,"12,554",8.10%,"44,280",7.50%,"71,912",25.90%,"27,495",29.40%,,,,,,,
2015,Median family income (dollars),"118,814",(X),"118,567",(X),"85,729",(X),"61,990",(X),"58,236",(X),"129,538",(X),"141,487",(X),,,,,,,
2015,Mean family income (dollars),"152,586",(X),"154,913",(X),"107,727",(X),"89,925",(X),"88,619",(X),"159,908",(X),"166,852",(X),,,,,,,
2015,Per capita income (dollars),"46,631",(X),"49,327",(X),"35,357",(X),"31,480",(X),"28,978",(X),"50,793",(X),"49,600",(X),,,,,,,
2015,Nonfamily households,"177,620","177,620","113,984","113,984","122,992","122,992","119,632","119,632","314,770","314,770","115,518","115,518","27,026","27,026",,,,,,,
2015,Median nonfamily income (dollars),"65,113",(X),"60,688",(X),"44,243",(X),"40,351",(X),"40,926",(X),"80,725",(X),"67,330",(X),,,,,,,
2015,Mean nonfamily income (dollars),"90,753",(X),"82,284",(X),"57,858",(X),"52,063",(X),"58,026",(X),"98,287",(X),"85,473",(X),,,,,,,
2015,Median earnings for workers (dollars),"47,794",(X),"47,880",(X),"37,237",(X),"31,035",(X),"30,496",(X),"50,790",(X),"55,270",(X),,,,,,,
2015,"Median earnings for male full-time, year-round workers (dollars)","81,582",(X),"72,557",(X),"56,324",(X),"41,703",(X),"40,656",(X),"83,955",(X),"90,731",(X),,,,,,,
2015,"Median earnings for female full-time, year-round workers (dollars)","60,774",(X),"60,879",(X),"44,001",(X),"39,015",(X),"37,115",(X),"61,712",(X),"62,355",(X),,,,,,,
2015,HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,
2015,Civilian noninstitutionalized population,"1,908,803","1,908,803","1,031,729","1,031,729","1,016,393","1,016,393","672,763","672,763","2,533,711","2,533,711","1,127,838","1,127,838","373,748","373,748",,,,,,,
2015,With health insurance coverage,"1,815,366",95.10%,"947,200",91.80%,"928,713",91.40%,"589,162",87.60%,"2,009,464",79.30%,"1,036,342",91.90%,"352,570",94.30%,,,,,,,
2015,With private health insurance,"1,455,353",76.20%,"797,072",77.30%,"789,554",77.70%,"439,209",65.30%,"1,390,378",54.90%,"944,389",83.70%,"332,734",89.00%,,,,,,,
2015,With public coverage,"519,334",27.20%,"260,646",25.30%,"229,121",22.50%,"206,349",30.70%,"776,128",30.60%,"211,390",18.70%,"46,943",12.60%,,,,,,,
2015,No health insurance coverage,"93,437",4.90%,"84,529",8.20%,"87,680",8.60%,"83,601",12.40%,"524,247",20.70%,"91,496",8.10%,"21,178",5.70%,,,,,,,
2015,Civilian noninstitutionalized population under 18 years,"436,026","436,026","243,348","243,348","252,927","252,927","145,191","145,191","681,757","681,757","271,504","271,504","109,152","109,152",,,,,,,
2015,No health insurance coverage,"7,265",1.70%,"11,857",4.90%,"8,677",3.40%,"6,435",4.40%,"79,718",11.70%,"11,447",4.20%,"2,890",2.60%,,,,,,,
2015,Civilian noninstitutionalized population 18 to 64 years,"1,237,592","1,237,592","645,456","645,456","660,525","660,525","453,811","453,811","1,605,371","1,605,371","721,407","721,407","233,827","233,827",,,,,,,
2015,In labor force:,"973,753","973,753","541,074","541,074","527,641","527,641","362,924","362,924","1,254,992","1,254,992","599,196","599,196","200,387","200,387",,,,,,,
2015,Employed:,"922,593","922,593","515,268","515,268","502,559","502,559","346,108","346,108","1,190,404","1,190,404","571,478","571,478","193,909","193,909",,,,,,,
2015,With health insurance coverage,"866,410",93.90%,"463,115",89.90%,"449,323",89.40%,"292,856",84.60%,"897,301",75.40%,"517,748",90.60%,"181,323",93.50%,,,,,,,
2015,With private health insurance,"796,893",86.40%,"438,221",85.00%,"438,554",87.30%,"272,065",78.60%,"843,733",70.90%,"508,458",89.00%,"178,813",92.20%,,,,,,,
2015,With public coverage,"83,113",9.00%,"32,541",6.30%,"22,434",4.50%,"27,866",8.10%,"69,634",5.80%,"21,236",3.70%,"6,332",3.30%,,,,,,,
2015,No health insurance coverage,"56,183",6.10%,"52,153",10.10%,"53,236",10.60%,"53,252",15.40%,"293,103",24.60%,"53,730",9.40%,"12,586",6.50%,,,,,,,
2015,Unemployed:,"51,160","51,160","25,806","25,806","25,082","25,082","16,816","16,816","64,588","64,588","27,718","27,718","6,478","6,478",,,,,,,
2015,With health insurance coverage,"43,641",85.30%,"18,645",72.30%,"15,638",62.30%,"11,216",66.70%,"33,837",52.40%,"19,641",70.90%,"4,800",74.10%,,,,,,,
2015,With private health insurance,"27,724",54.20%,"13,693",53.10%,"11,272",44.90%,"6,828",40.60%,"22,436",34.70%,"17,009",61.40%,"4,630",71.50%,,,,,,,
2015,With public coverage,"16,974",33.20%,"5,864",22.70%,"4,838",19.30%,"4,730",28.10%,"12,436",19.30%,"3,571",12.90%,170,2.60%,,,,,,,
2015,No health insurance coverage,"7,519",14.70%,"7,161",27.70%,"9,444",37.70%,"5,600",33.30%,"30,751",47.60%,"8,077",29.10%,"1,678",25.90%,,,,,,,
2015,Not in labor force:,"263,839","263,839","104,382","104,382","132,884","132,884","90,887","90,887","350,379","350,379","122,211","122,211","33,440","33,440",,,,,,,
2015,With health insurance coverage,"243,401",92.30%,"93,213",89.30%,"117,605",88.50%,"73,193",80.50%,"234,544",66.90%,"107,433",87.90%,"30,521",91.30%,,,,,,,
2015,With private health insurance,"171,588",65.00%,"72,724",69.70%,"94,449",71.10%,"46,470",51.10%,"139,700",39.90%,"96,672",79.10%,"27,926",83.50%,,,,,,,
2015,With public coverage,"83,340",31.60%,"26,409",25.30%,"29,630",22.30%,"32,387",35.60%,"108,734",31.00%,"16,870",13.80%,"3,739",11.20%,,,,,,,
2015,No health insurance coverage,"20,438",7.70%,"11,169",10.70%,"15,279",11.50%,"17,694",19.50%,"115,835",33.10%,"14,778",12.10%,"2,919",8.70%,,,,,,,
2015,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,,,,,,,,,,,,,,,,,,,,,
2015,All families,(X),5.40%,(X),5.20%,(X),7.80%,(X),12.90%,(X),14.70%,(X),4.10%,(X),2.10%,,,,,,,
2015,With related children of the householder under 18 years,(X),6.70%,(X),7.60%,(X),12.00%,(X),22.70%,(X),21.80%,(X),6.00%,(X),2.70%,,,,,,,
2015,With related children of the householder under 5 years only,(X),3.50%,(X),7.50%,(X),9.30%,(X),20.20%,(X),16.40%,(X),4.20%,(X),3.90%,,,,,,,
2015,Married couple families,(X),2.90%,(X),2.40%,(X),3.10%,(X),6.90%,(X),9.30%,(X),1.90%,(X),1.70%,,,,,,,
2015,With related children of the householder under 18 years,(X),3.30%,(X),2.90%,(X),3.90%,(X),12.60%,(X),13.90%,(X),2.40%,(X),2.00%,,,,,,,
2015,With related children of the householder under 5 years only,(X),1.80%,(X),2.70%,(X),1.60%,(X),8.80%,(X),9.40%,(X),1.60%,(X),3.60%,,,,,,,
2015,"Families with female householder, no husband present",(X),17.40%,(X),16.70%,(X),22.80%,(X),28.50%,(X),30.30%,(X),16.90%,(X),5.30%,,,,,,,
2015,With related children of the householder under 18 years,(X),24.10%,(X),23.20%,(X),33.50%,(X),40.60%,(X),38.60%,(X),23.90%,(X),7.40%,,,,,,,
2015,With related children of the householder under 5 years only,(X),16.50%,(X),46.60%,(X),40.60%,(X),44.80%,(X),36.20%,(X),22.20%,(X),12.10%,,,,,,,
2015,All people,(X),8.20%,(X),7.50%,(X),11.20%,(X),16.90%,(X),18.00%,(X),6.10%,(X),4.00%,,,,,,,
2015,Under 18 years,(X),8.40%,(X),10.50%,(X),15.70%,(X),27.50%,(X),27.20%,(X),7.10%,(X),3.90%,,,,,,,
2015,Related children of the householder under 18 years,(X),7.80%,(X),10.30%,(X),15.50%,(X),27.30%,(X),27.00%,(X),6.90%,(X),3.60%,,,,,,,
2015,Related children of the householder under 5 years,(X),7.20%,(X),11.90%,(X),19.70%,(X),26.80%,(X),26.10%,(X),7.50%,(X),4.70%,,,,,,,
2015,Related children of the householder 5 to 17 years,(X),8.10%,(X),9.70%,(X),14.00%,(X),27.60%,(X),27.40%,(X),6.70%,(X),3.20%,,,,,,,
2015,18 years and over,(X),8.10%,(X),6.50%,(X),9.70%,(X),13.90%,(X),14.70%,(X),5.80%,(X),4.00%,,,,,,,
2015,18 to 64 years,(X),8.10%,(X),6.50%,(X),10.40%,(X),14.70%,(X),15.30%,(X),5.90%,(X),3.90%,,,,,,,
2015,65 years and over,(X),8.00%,(X),6.40%,(X),5.20%,(X),9.40%,(X),10.90%,(X),5.60%,(X),4.60%,,,,,,,
2015,People in families,(X),5.30%,(X),5.70%,(X),9.00%,(X),15.50%,(X),16.80%,(X),4.30%,(X),2.50%,,,,,,,
2015,Unrelated individuals 15 years and over,(X),22.20%,(X),16.40%,(X),21.20%,(X),20.70%,(X),23.60%,(X),15.10%,(X),"15.2%Ã¯»¿""Label (Grouping)""",,,,,,,
2015,Median value (dollars),"836,800","474,900","252,500","188,200","145,800","544,900","477,700Ã¯»¿""Label (Grouping)""","Santa Clara County, CaliforniaOwner-occupied housing units with a mortgageEstimate","Montgomery County, MarylandOwner-occupied housing units with a mortgageEstimate","Wake County, North CarolinaOwner-occupied housing units with a mortgageEstimate","Davidson County, TennesseeOwner-occupied housing units with a mortgageEstimate","Dallas County, TexasOwner-occupied housing units with a mortgageEstimate","Fairfax County, VirginiaOwner-occupied housing units with a mortgageEstimate","Loudoun County, VirginiaOwner-occupied housing units with a mortgageEstimate",,,,,,,
2015,Owner-occupied housing units with a mortgage,"253,341","180,372","185,619","105,807","285,006","204,971","81,640",,,,,,,,,,,,,,
2015,VALUE,,,,,,,,,,,,,,,,,,,,,
2015,"Less than $50,000",0.60%,0.70%,1.00%,1.00%,3.50%,0.40%,1.30%,,,,,,,,,,,,,,
2015,"$50,000 to $99,999",0.30%,0.70%,2.90%,8.40%,18.80%,0.30%,0.30%,,,,,,,,,,,,,,
2015,"$100,000 to $299,999",2.60%,18.40%,58.30%,63.40%,55.50%,11.30%,12.20%,,,,,,,,,,,,,,
2015,"$300,000 to $499,999",9.70%,34.20%,27.80%,18.80%,12.50%,32.20%,39.00%,,,,,,,,,,,,,,
2015,"$500,000 to $749,999",28.30%,26.60%,6.90%,4.30%,4.60%,33.50%,34.90%,,,,,,,,,,,,,,
2015,"$750,000 to $999,999",23.20%,10.60%,1.90%,1.60%,1.70%,14.20%,9.10%,,,,,,,,,,,,,,
2015,"$1,000,000 or more",35.20%,8.80%,1.30%,2.50%,3.40%,8.20%,3.10%,,,,,,,,,,,,,,
2015,Median (dollars),"840,900","474,200","252,800","187,900","155,300","544,100","484,500",,,,,,,,,,,,,,
2015,MORTGAGE STATUS,,,,,,,,,,,,,,,,,,,,,
2015,"With either a second mortgage, or home equity loan, but not both",18.40%,19.90%,17.10%,13.40%,6.30%,20.20%,18.90%,,,,,,,,,,,,,,
2015,Second mortgage only,3.00%,3.70%,2.80%,3.70%,2.40%,3.30%,3.80%,,,,,,,,,,,,,,
2015,Home equity loan only,15.40%,16.10%,14.30%,9.60%,3.90%,16.90%,15.10%,,,,,,,,,,,,,,
2015,Both second mortgage and home equity loan,0.90%,0.90%,0.40%,0.10%,0.20%,0.60%,0.90%,,,,,,,,,,,,,,
2015,No second mortgage and no home equity loan,80.70%,79.30%,82.50%,86.50%,93.50%,79.20%,80.20%,,,,,,,,,,,,,,
2015,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2015,"Less than $10,000",1.50%,1.30%,1.60%,2.60%,1.60%,1.30%,0.60%,,,,,,,,,,,,,,
2015,"$10,000 to $24,999",2.70%,2.30%,3.00%,6.80%,7.30%,1.50%,1.20%,,,,,,,,,,,,,,
2015,"$25,000 to $34,999",2.00%,2.70%,4.40%,6.60%,6.70%,1.90%,1.80%,,,,,,,,,,,,,,
2015,"$35,000 to $49,999",4.40%,5.10%,8.80%,13.30%,11.00%,3.90%,3.70%,,,,,,,,,,,,,,
2015,"$50,000 to $74,999",8.90%,10.30%,17.40%,21.30%,19.40%,8.60%,7.70%,,,,,,,,,,,,,,
2015,"$75,000 to $99,999",9.70%,10.60%,15.50%,16.20%,15.00%,10.50%,9.90%,,,,,,,,,,,,,,
2015,"$100,000 to $149,999",19.80%,22.00%,26.20%,17.40%,18.60%,23.60%,25.80%,,,,,,,,,,,,,,
2015,"$150,000 or more",51.10%,45.60%,23.20%,15.80%,20.60%,48.70%,49.20%,,,,,,,,,,,,,,
2015,Median household income (dollars),"151,750","137,331","98,864","74,198","80,980","146,446","147,288",,,,,,,,,,,,,,
2015,RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,,,,,,,,,,
2015,Less than 2.0,4.60%,16.00%,30.90%,30.60%,46.90%,11.60%,14.50%,,,,,,,,,,,,,,
2015,2.0 to 2.9,8.80%,24.70%,31.40%,26.60%,25.10%,26.00%,32.60%,,,,,,,,,,,,,,
2015,3.0 to 3.9,14.40%,21.60%,15.80%,16.30%,9.90%,22.10%,22.90%,,,,,,,,,,,,,,
2015,4.0 or more,71.60%,37.50%,21.60%,25.80%,17.70%,40.00%,29.50%,,,,,,,,,,,,,,
2015,Not computed,0.50%,0.20%,0.30%,0.70%,0.50%,0.40%,0.40%,,,,,,,,,,,,,,
2015,MONTHLY HOUSING COSTS,,,,,,,,,,,,,,,,,,,,,
2015,Less than $200,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
2015,$200 to $399,0.00%,0.00%,0.20%,0.00%,0.20%,0.10%,0.10%,,,,,,,,,,,,,,
2015,$400 to $599,0.50%,0.40%,0.90%,2.20%,1.50%,0.20%,0.10%,,,,,,,,,,,,,,
2015,$600 to $799,0.80%,0.90%,4.10%,8.20%,4.60%,0.60%,1.50%,,,,,,,,,,,,,,
2015,$800 to $999,1.10%,2.00%,9.80%,14.10%,11.00%,1.50%,1.70%,,,,,,,,,,,,,,
2015,"$1,000 to $1,499",7.10%,11.70%,33.40%,39.90%,36.50%,9.10%,9.20%,,,,,,,,,,,,,,
2015,"$1,500 to $1,999",11.20%,18.80%,24.70%,19.10%,20.80%,16.90%,13.50%,,,,,,,,,,,,,,
2015,"$2,000 to $2,499",15.80%,21.60%,12.70%,8.00%,9.40%,20.50%,21.30%,,,,,,,,,,,,,,
2015,"$2,500 to $2,999",15.40%,14.00%,7.70%,3.30%,6.20%,17.90%,19.60%,,,,,,,,,,,,,,
2015,"$3,000 or more",48.10%,30.60%,6.50%,5.10%,9.80%,33.20%,33.00%,,,,,,,,,,,,,,
2015,Median (dollars),"2,939","2,375","1,528","1,303","1,445","2,531","2,568",,,,,,,,,,,,,,
