ÃYear,Label,Santa_Clara_County_California,Montgomery_County_Maryland,Wake_County_North_Carolina,Davidson_County_Tennessee,Dallas_County_Texas,Fairfax_County_Virginia,Loudoun_County_Virginia
2023,Hispanic or Latino (of any race),"468,705","223,318","137,414","97,932","1,077,852","201,948","62,022"
2023,Mexican,"366,144","20,595","59,773","37,872","822,615","26,637","8,499"
2023,Puerto Rican,"7,338","8,935","15,359","4,514","19,536","14,875","4,583"
2023,Cuban,"3,504","4,061","4,175","4,802","12,108","3,279",760
2023,Other Hispanic or Latino,"91,719","189,727","58,107","50,744","223,593","157,157","48,180"
2023,Not Hispanic or Latino,"1,408,887","835,156","1,052,861","614,402","1,528,506","939,930","374,325"
2023,White alone,"500,717","416,960","666,121","382,636","677,730","529,813","219,828"
2023,Black or African American alone,"43,265","197,753","221,946","169,386","571,391","108,420","31,986"
2023,American Indian and Alaska Native alone,"3,540","1,215","2,633",833,"2,897",777,170
2023,Asian alone,"766,871","158,114","104,741","22,664","181,466","225,507","95,346"
2023,Native Hawaiian and Other Pacific Islander alone,"7,832",303,361,904,"7,781",407,119
2023,Some Other Race alone,"10,577","10,275","8,265","3,227","12,180","9,831","2,171"
2023,Two or More Races,"76,085","50,536","48,794","34,752","75,061","65,175","24,705"
2023,Two races including Some Other Race,"13,898","10,528","11,007","5,964","9,894","9,657","3,032"
2023,"Two races excluding Some Other Race, and three or more races","62,187","40,008","37,787","28,788","65,167","55,518","21,673"
2023,Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
2023,"CITIZEN, VOTING AGE POPULATION",,,,,,,
2023,"Citizen, 18 and over population","1,162,805","688,264","832,955","510,783","1,576,717","759,817","282,178"
2023,Male,"584,832","329,861","398,152","239,491","752,165","375,872","140,730"
2023,Female,"577,973","358,403","434,803","271,292","824,552","383,945","141,448"
