label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
No vehicles available,"33,974","28,127","15,217","18,141","62,661","17,479","3,584"
1 vehicle available,"174,987","126,121","127,052","110,810","344,565","119,618","28,290"
2 vehicles available,"254,418","145,643","177,780","108,660","349,108","170,243","63,217"
3 or more vehicles available,"171,935","72,934","90,503","51,580","189,662","91,313","37,474"
HOUSE HEATING FUEL,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
Utility gas,"395,819","199,387","175,303","93,144","346,538","220,710","77,812"
"Bottled, tank, or LP gas","11,799","5,364","11,346","3,598","7,340","5,636","8,446"
Electricity,"212,324","151,084","220,257","190,221","585,133","162,727","41,546"
"Fuel oil, kerosene, etc.",486,"11,621",977,327,462,"6,784","2,942"
Coal or coke,41,38,18,98,18,62,40
Wood,"2,029",700,871,431,475,579,940
Solar energy,"4,425","1,374",162,82,834,131,10
Other fuel,744,"1,335",300,246,671,515,384
No fuel used,"7,647","1,922","1,318","1,044","4,525","1,509",445
SELECTED CHARACTERISTICS,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
Lacking complete plumbing facilities,"1,782","1,171",683,755,"2,786",814,460
Lacking complete kitchen facilities,"6,019","1,943","1,677","2,184","6,829","1,927",777
No telephone service available,"6,983","4,514","4,211","4,657","19,183","3,701","1,107"
OCCUPANTS PER ROOM,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
1.00 or less,"583,952","361,113","402,749","281,875","885,132","386,812","130,413"
1.01 to 1.50,"32,337","7,701","5,648","4,679","41,907","7,900","1,609"
1.51 or more,"19,025","4,011","2,155","2,637","18,957","3,941",543
VALUE,,,,,,,
Owner-occupied units,"358,228","244,613","262,278","157,390","476,375","273,428","103,019"
"Less than $50,000","4,291","2,680","7,258","3,409","21,204","2,629",915
"$50,000 to $99,999","2,988","1,616","5,329","5,138","58,835","1,278",605
"$100,000 to $149,999","4,384","4,611","17,758","14,913","79,235","1,537",782
"$150,000 to $199,999","3,219","6,926","32,792","23,568","87,658","4,969","1,784"
"$200,000 to $299,999","6,230","26,137","67,087","45,321","96,717","16,841","6,458"
"$300,000 to $499,999","14,503","83,934","92,271","40,652","75,167","79,638","35,572"
"$500,000 to $999,999","127,752","92,229","35,515","19,192","39,055","140,981","53,042"
"$1,000,000 or more","194,861","26,480","4,268","5,197","18,504","25,555","3,861"
Median (dollars),"1,061,900","491,700","301,600","267,400","193,900","576,700","534,600"
MORTGAGE STATUS,,,,,,,
Owner-occupied units,"358,228","244,613","262,278","157,390","476,375","273,428","103,019"
Housing units with a mortgage,"249,944","177,141","197,802","110,185","285,425","205,899","86,735"
Housing units without a mortgage,"108,284","67,472","64,476","47,205","190,950","67,529","16,284"
SELECTED MONTHLY OWNER COSTS (SMOC),,,,,,,
Housing units with a mortgage,"249,944","177,141","197,802","110,185","285,425","205,899","86,735"
Less than $500,580,423,"2,160",580,"1,377",369,147
$500 to $999,"3,794","4,004","20,078","17,211","31,229","3,198","1,523"
"$1,000 to $1,499","9,908","15,688","55,090","39,084","86,279","12,207","5,399"
"$1,500 to $1,999","17,001","30,460","50,695","24,950","68,296","27,915","9,241"
"$2,000 to $2,499","26,748","32,810","32,139","12,883","36,727","39,042","15,056"
"$2,500 to $2,999","32,585","29,531","19,814","6,875","20,074","38,794","16,974"
"$3,000 or more","159,328","64,225","17,826","8,602","41,443","84,374","38,395"
Median (dollars),"3,548","2,588","1,704","1,478","1,654","2,761","2,854"
Housing units without a mortgage,"108,284","67,472","64,476","47,205","190,950","67,529","16,284"
Less than $250,"4,860","1,776","4,264","2,752","12,149","1,521",708
$250 to $399,"8,072","3,111","12,528","10,947","30,121","2,278",970
$400 to $599,"18,207","11,490","22,492","16,169","50,987","6,802","2,792"
$600 to $799,"20,308","15,333","15,366","9,016","39,074","15,935","3,981"
$800 to $999,"15,342","13,284","5,104","3,905","22,204","16,570","3,907"
"$1,000 or more","41,495","22,478","4,722","4,416","36,415","24,423","3,926"
Median (dollars),834,830,536,507,610,885,789
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,,,,
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"249,067","176,484","197,317","109,574","284,255","205,068","86,485"
Less than 20.0 percent,"95,279","82,229","113,510","52,035","125,146","94,964","41,987"
20.0 to 24.9 percent,"38,268","28,711","29,655","17,926","43,212","35,180","16,981"
25.0 to 29.9 percent,"30,179","17,955","17,873","11,020","29,736","22,566","9,241"
30.0 to 34.9 percent,"21,019","12,568","9,619","6,950","20,704","15,546","6,260"
35.0 percent or more,"64,322","35,021","26,660","21,643","65,457","36,812","12,016"
Not computed,877,657,485,611,"1,170",831,250
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"107,231","67,024","64,092","46,684","188,359","66,894","16,043"
Less than 10.0 percent,"54,494","37,059","38,564","23,635","77,082","37,189","9,809"
10.0 to 14.9 percent,"17,925","10,885","10,867","8,946","39,867","11,362","2,495"
15.0 to 19.9 percent,"9,806","4,874","5,076","4,974","23,031","5,784","1,293"
20.0 to 24.9 percent,"6,007","3,528","2,568","2,536","12,899","3,399",755
25.0 to 29.9 percent,"3,789","1,899","1,813","1,624","8,240","2,153",441
30.0 to 34.9 percent,"2,981","1,528","1,389","1,199","5,615","1,440",351
35.0 percent or more,"12,229","7,251","3,815","3,770","21,625","5,567",899
Not computed,"1,053",448,384,521,"2,591",635,241
GROSS RENT,,,,,,,
Occupied units paying rent,"270,454","124,575","144,759","127,360","458,924","122,109","28,511"
Less than $500,"8,694","4,105","4,115","9,891","14,917","3,188",385
$500 to $999,"13,681","5,975","35,689","32,814","144,207","3,817","1,542"
"$1,000 to $1,499","25,357","25,302","70,960","53,027","191,234","16,114","4,367"
"$1,500 to $1,999","45,205","47,386","25,270","21,702","74,552","47,603","9,630"
"$2,000 to $2,499","54,745","23,792","5,774","6,427","21,230","28,096","6,647"
"$2,500 to $2,999","50,469","9,823","1,408","1,798","7,084","12,843","3,289"
"$3,000 or more","72,303","8,192","1,543","1,701","5,700","10,448","2,651"
Median (dollars),"2,386","1,784","1,204","1,172","1,159","1,898","1,913"
No rent paid,"6,632","3,637","3,515","4,441","10,697","3,116","1,035"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,
Occupied units paying rent (excluding units where GRAPI cannot be computed),"266,993","123,025","143,110","124,898","447,825","120,954","28,036"
Less than 15.0 percent,"41,139","12,523","20,485","14,539","55,640","14,080","3,769"
15.0 to 19.9 percent,"37,094","16,051","21,745","16,073","65,040","17,655","4,649"
20.0 to 24.9 percent,"37,300","18,659","21,045","16,178","64,492","18,432","4,259"
25.0 to 29.9 percent,"30,575","13,847","17,684","16,423","53,429","15,515","2,956"
30.0 to 34.9 percent,"24,412","11,760","12,821","12,669","41,985","11,031","2,141"
35.0 percent or more,"96,473","50,185","49,330","49,016","167,239","44,241","10,262"
HOUSING OCCUPANCY,,,,,,,
Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
Vacant housing units,"38,373","14,089","30,962","30,696","85,730","16,060","3,637"
Homeowner vacancy rate,0.5,0.3,0.4,1.8,0.8,0.4,0
Rental vacancy rate,4.8,2.9,7.4,6.5,9.7,4.2,4
UNITS IN STRUCTURE,,,,,,,
Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"1-unit, detached","354,857","191,194","301,116","180,319","551,541","194,451","74,767"
"1-unit, attached","75,341","71,518","62,046","36,614","41,008","96,542","47,315"
2 units,"9,437","3,456","4,802","15,177","13,287","3,135","1,343"
3 or 4 units,"37,027","5,308","11,474","10,758","49,000","5,613","1,126"
5 to 9 units,"35,605","20,104","21,854","19,625","76,641","21,110","4,565"
10 to 19 units,"34,759","29,373","29,977","29,915","85,513","39,896","8,758"
20 or more units,"137,967","84,650","68,189","73,688","244,401","67,811","10,439"
Mobile home,"17,619","1,115","12,685","5,555","17,259","2,191",925
"Boat, RV, van, etc.","1,310",0,113,642,392,257,0
YEAR STRUCTURE BUILT,,,,,,,
Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
Built 2020 or later,"13,847","8,365","35,265","30,537","33,438","7,714","6,463"
Built 2010 to 2019,"69,081","37,972","110,920","59,459","146,030","34,140","34,786"
Built 2000 to 2009,"64,816","42,498","127,262","49,150","137,671","46,469","47,595"
Built 1990 to 1999,"63,415","40,693","85,448","34,292","107,939","58,076","28,431"
Built 1980 to 1989,"79,551","81,004","66,406","51,396","178,173","97,311","13,255"
Built 1970 to 1979,"139,826","55,824","39,145","44,903","164,877","82,858","10,476"
Built 1960 to 1969,"125,699","56,261","24,156","33,953","130,256","55,521","2,484"
Built 1950 to 1959,"92,344","45,347","11,933","32,795","112,847","34,027","1,971"
Built 1940 to 1949,"21,940","21,531","4,299","12,974","30,731","7,154",697
Built 1939 or earlier,"33,403","17,223","7,422","22,834","37,080","7,736","3,080"
ROOMS,,,,,,,
Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
1 room,"39,733","12,285","10,515","14,073","43,077","8,795","2,063"
2 rooms,"45,838","18,709","18,790","25,112","80,161","15,634","1,983"
3 rooms,"91,950","42,580","49,717","46,703","156,552","43,363","8,791"
4 rooms,"128,236","51,812","62,815","72,607","187,118","62,033","13,337"
5 rooms,"106,587","45,696","81,839","59,323","180,699","41,070","14,263"
6 rooms,"110,070","46,833","77,326","59,548","169,903","51,562","19,760"
7 rooms,"73,249","41,635","54,438","32,473","97,268","43,227","17,902"
8 rooms,"60,038","46,893","49,941","28,037","69,991","45,873","18,304"
9 rooms or more,"48,221","100,275","106,875","34,417","94,273","119,449","52,835"
Median rooms,4.9,6.2,5.9,5,4.9,6.4,7.3
BEDROOMS,,,,,,,
Total housing units,"703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
No bedroom,"42,629","13,501","10,971","15,328","48,210","9,724","2,157"
1 bedroom,"97,699","53,093","47,704","61,722","225,781","48,175","8,393"
2 bedrooms,"172,805","82,558","102,185","104,189","263,140","88,520","20,264"
3 bedrooms,"204,696","106,660","192,654","128,765","342,787","113,610","42,317"
4 bedrooms,"147,029","97,252","114,301","51,726","166,548","109,709","48,014"
5 or more bedrooms,"39,064","53,654","44,441","10,563","32,576","61,268","28,093"
HOUSING TENURE,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
Owner-occupied,"360,190","252,963","307,341","180,349","499,830","280,307","113,560"
Renter-occupied,"305,359","139,666","173,953","161,248","493,482","134,639","32,041"
Average household size of owner-occupied unit,2.88,2.83,2.62,2.11,2.87,2.81,3.15
Average household size of renter-occupied unit,2.62,2.39,2.1,1.93,2.31,2.55,2.42
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
Moved in 2021 or later,"200,386","106,426","151,418","133,403","354,255","115,112","34,555"
Moved in 2018 to 2020,"102,458","70,377","104,517","68,384","184,226","74,830","36,868"
Moved in 2010 to 2017,"140,402","84,723","106,007","60,647","183,558","84,967","37,278"
Moved in 2000 to 2009,"101,268","61,904","66,355","40,028","135,065","65,663","24,643"
Moved in 1990 to 1999,"59,302","35,802","34,148","21,095","71,029","39,599","9,152"
Moved in 1989 and earlier,"61,733","33,397","18,849","18,040","65,179","34,775","3,105"
VEHICLES AVAILABLE,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
No vehicles available,"39,177","34,860","21,397","21,833","65,606","18,340","4,160"
1 vehicle available,"217,368","138,942","149,182","138,299","382,710","136,189","36,397"
2 vehicles available,"250,244","149,718","208,475","127,495","347,605","175,286","66,646"
3 or more vehicles available,"158,760","69,109","102,240","53,970","197,391","85,131","38,398"
HOUSE HEATING FUEL,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
Utility gas,"385,101","206,169","198,851","101,575","353,376","222,818","85,387"
"Bottled, tank, or LP gas","14,966","7,526","13,967","4,894","13,109","7,927","11,726"
Electricity,"244,417","164,798","263,761","230,138","615,644","176,144","45,498"
"Fuel oil, kerosene, etc.",528,"8,851",770,402,424,"3,540","1,734"
Coal or coke,40,155,0,0,0,111,0
Wood,"1,004",745,654,277,425,331,513
Solar energy,"6,558","1,219","1,186",327,"2,532",272,188
Other fuel,"1,137",464,671,"1,053","1,392","2,014",243
No fuel used,"11,798","2,702","1,434","2,931","6,410","1,789",312
SELECTED CHARACTERISTICS,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
Lacking complete plumbing facilities,"4,007",780,197,751,"4,311",866,216
Lacking complete kitchen facilities,"7,697","1,738","2,245","2,683","9,679","1,570",814
No telephone service available,"7,409","2,588","1,343","1,930","8,457","2,435",702
OCCUPANTS PER ROOM,,,,,,,
Occupied housing units,"665,549","392,629","481,294","341,597","993,312","414,946","145,601"
1.00 or less,"616,408","380,206","472,468","329,124","928,631","399,390","143,168"
1.01 to 1.50,"25,793","8,449","5,872","7,848","42,968","8,966","1,705"
1.51 or more,"23,348","3,974","2,954","4,625","21,713","6,590",728
VALUE,,,,,,,
Owner-occupied units,"360,190","252,963","307,341","180,349","499,830","280,307","113,560"
"Less than $50,000","5,404","4,342","6,941","2,620","18,841","3,281","1,535"
"$50,000 to $99,999","2,613","1,575","2,757","2,163","12,859","2,094",444
"$100,000 to $149,999","4,490","1,779","3,928","2,530","25,278","1,148",651
"$150,000 to $199,999","3,426","3,929","7,665","5,035","39,444","2,286",201
"$200,000 to $299,999","6,816","15,142","31,951","27,261","134,150","9,589","1,976"
"$300,000 to $499,999","9,244","57,675","110,895","71,727","153,070","43,519","15,151"
"$500,000 to $999,999","62,003","121,743","122,827","48,413","84,403","159,664","69,956"
"$1,000,000 or more","266,194","46,778","20,377","20,600","31,785","58,726","23,646"
Median (dollars),"1,443,100","636,200","482,100","437,700","319,100","727,200","734,700"
MORTGAGE STATUS,,,,,,,
Owner-occupied units,"360,190","252,963","307,341","180,349","499,830","280,307","113,560"
Housing units with a mortgage,"235,931","180,196","225,926","126,900","285,924","195,790","89,200"
Housing units without a mortgage,"124,259","72,767","81,415","53,449","213,906","84,517","24,360"
SELECTED MONTHLY OWNER COSTS (SMOC),,,,,,,
Housing units with a mortgage,"235,931","180,196","225,926","126,900","285,924","195,790","89,200"
Less than $500,915,749,"1,127",718,564,939,332
$500 to $999,"2,822","2,860","14,633","9,048","12,278","2,121",843
"$1,000 to $1,499","5,905","12,238","40,226","31,310","44,164","7,236","3,547"
"$1,500 to $1,999","10,357","23,298","53,705","29,098","66,499","16,530","6,659"
"$2,000 to $2,499","16,394","32,947","45,800","21,253","54,812","30,182","15,125"
"$2,500 to $2,999","21,728","29,577","28,557","13,790","31,358","33,950","15,176"
"$3,000 or more","177,810","78,527","41,878","21,683","76,249","104,832","47,518"
Median (dollars),"4,000+","2,804","2,036","1,882","2,177","3,123","3,103"
Housing units without a mortgage,"124,259","72,767","81,415","53,449","213,906","84,517","24,360"
Less than $250,"2,032",917,"2,666","1,473","7,201","1,726",187
$250 to $399,"4,449","2,045","9,658","7,298","19,464","1,370",689
$400 to $599,"10,495","8,036","26,856","18,726","39,204","6,071","1,725"
$600 to $799,"16,373","15,240","20,669","11,434","42,283","13,489","5,743"
$800 to $999,"20,100","14,320","9,731","6,162","36,127","15,640","6,663"
"$1,000 or more","70,810","32,209","11,835","8,356","69,627","46,221","9,353"
Median (dollars),"1,143",940,614,591,795,"1,044",929
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,,,,
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"235,054","179,457","225,347","126,252","284,122","195,719","88,917"
Less than 20.0 percent,"102,008","89,490","130,804","59,279","117,113","94,810","51,060"
20.0 to 24.9 percent,"34,701","25,098","26,111","18,195","41,268","33,837","12,790"
25.0 to 29.9 percent,"24,384","18,573","20,832","13,564","30,045","19,776","9,130"
30.0 to 34.9 percent,"18,452","10,085","13,064","9,207","22,170","10,506","4,338"
35.0 percent or more,"55,509","36,211","34,536","26,007","73,526","36,790","11,599"
Not computed,877,739,579,648,"1,802",71,283
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"122,501","71,910","80,004","52,727","210,047","83,549","24,360"
Less than 10.0 percent,"59,652","41,009","47,792","28,289","77,154","42,664","16,029"
10.0 to 14.9 percent,"21,393","12,266","12,617","9,993","45,929","14,848","3,233"
15.0 to 19.9 percent,"9,668","4,764","5,714","4,248","26,138","7,489","1,499"
20.0 to 24.9 percent,"6,458","3,487","3,343","3,111","15,897","5,092","1,044"
25.0 to 29.9 percent,"4,876","2,267","2,316","2,622","9,410","2,487",400
30.0 to 34.9 percent,"3,222","1,041","1,481",831,"8,175","2,189",335
35.0 percent or more,"17,232","7,076","6,741","3,633","27,344","8,780","1,820"
Not computed,"1,758",857,"1,411",722,"3,859",968,0
GROSS RENT,,,,,,,
Occupied units paying rent,"298,289","136,129","170,330","157,969","483,411","132,232",N
Less than $500,"8,051","3,589","3,720","8,462","11,769","2,431",N
$500 to $999,"9,861","4,120","15,907","11,906","34,470","4,339",N
"$1,000 to $1,499","14,764","15,326","45,753","46,619","164,863","10,773",N
"$1,500 to $1,999","33,031","46,510","64,978","50,157","158,173","36,201",N
"$2,000 to $2,499","50,491","33,512","26,376","25,635","68,334","39,636",N
"$2,500 to $2,999","58,537","15,465","8,671","8,450","26,713","18,565",N
"$3,000 or more","123,554","17,607","4,925","6,740","19,089","20,287",N
Median (dollars),"2,781","1,984","1,652","1,620","1,597","2,156","2,321"
No rent paid,"7,070","3,537","3,623","3,279","10,071","2,407",N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,
Occupied units paying rent (excluding units where GRAPI cannot be computed),"293,621","133,138","168,415","155,336","473,885","130,720","30,829"
Less than 15.0 percent,"47,883","13,133","23,112","16,158","39,852","14,691","3,586"
15.0 to 19.9 percent,"39,932","17,562","21,474","18,173","58,728","19,063","3,955"
20.0 to 24.9 percent,"35,999","15,895","20,226","22,333","55,863","19,642","5,546"
25.0 to 29.9 percent,"33,119","15,137","24,394","19,261","62,501","18,335","4,108"
30.0 to 34.9 percent,"26,905","11,935","19,205","13,258","49,977","13,242","2,381"
35.0 percent or more,"109,783","59,476","60,004","66,153","206,964","45,747","11,253"
Not computed,"11,738","6,528","5,538","5,912","19,597","3,919","1,212"
