label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
"$500,000 to $999,999","62,003","±3,309",17.2%,±0.9,"121,743","±3,471",48.1%,±1.3,"122,827","±4,886",40.0%,±1.5,"48,413","±2,890",26.8%,±1.7,"84,403","±5,194",16.9%,±1.0,"159,664","±4,457",57.0%,±1.5,"69,956","±3,285",61.6%,±2.1,2023_housing_characteristics
"$1,000,000 or more","266,194","±4,861",73.9%,±1.0,"46,778","±2,984",18.5%,±1.1,"20,377","±2,138",6.6%,±0.7,"20,600","±2,281",11.4%,±1.3,"31,785","±2,430",6.4%,±0.5,"58,726","±2,904",21.0%,±0.9,"23,646","±2,080",20.8%,±1.9,2023_housing_characteristics
Median (dollars),"1,443,100","±31,167",(X),(X),"636,200","±10,274",(X),(X),"482,100","±7,288",(X),(X),"437,700","±10,844",(X),(X),"319,100","±4,928",(X),(X),"727,200","±10,270",(X),(X),"734,700","±16,731",(X),(X),2023_housing_characteristics
Owner-occupied units,"360,190","±5,723","360,190",(X),"252,963","±4,412","252,963",(X),"307,341","±5,811","307,341",(X),"180,349","±6,145","180,349",(X),"499,830","±7,833","499,830",(X),"280,307","±4,684","280,307",(X),"113,560","±2,790","113,560",(X),2023_housing_characteristics
Housing units with a mortgage,"235,931","±5,927",65.5%,±1.2,"180,196","±4,390",71.2%,±1.2,"225,926","±6,785",73.5%,±1.3,"126,900","±6,346",70.4%,±1.9,"285,924","±8,959",57.2%,±1.3,"195,790","±5,040",69.8%,±1.3,"89,200","±3,145",78.5%,±1.8,2023_housing_characteristics
Housing units without a mortgage,"124,259","±4,395",34.5%,±1.2,"72,767","±3,394",28.8%,±1.2,"81,415","±3,921",26.5%,±1.3,"53,449","±3,190",29.6%,±1.9,"213,906","±6,519",42.8%,±1.3,"84,517","±3,908",30.2%,±1.3,"24,360","±2,100",21.5%,±1.8,2023_housing_characteristics
Housing units with a mortgage,"235,931","±5,927","235,931",(X),"180,196","±4,390","180,196",(X),"225,926","±6,785","225,926",(X),"126,900","±6,346","126,900",(X),"285,924","±8,959","285,924",(X),"195,790","±5,040","195,790",(X),"89,200","±3,145","89,200",(X),2023_housing_characteristics
Less than $500,915,±440,0.4%,±0.2,749,±371,0.4%,±0.2,"1,127",±724,0.5%,±0.3,718,±626,0.6%,±0.5,564,±329,0.2%,±0.1,939,±344,0.5%,±0.2,332,±254,0.4%,±0.3,2023_housing_characteristics
$500 to $999,"2,822","±1,012",1.2%,±0.4,"2,860","±1,024",1.6%,±0.6,"14,633","±2,468",6.5%,±1.1,"9,048","±2,062",7.1%,±1.6,"12,278","±2,032",4.3%,±0.7,"2,121",±712,1.1%,±0.4,843,±534,0.9%,±0.6,2023_housing_characteristics
"$1,000 to $1,499","5,905","±1,037",2.5%,±0.4,"12,238","±1,862",6.8%,±1.0,"40,226","±3,295",17.8%,±1.3,"31,310","±4,223",24.7%,±2.8,"44,164","±3,723",15.4%,±1.2,"7,236","±1,297",3.7%,±0.7,"3,547",±932,4.0%,±1.0,2023_housing_characteristics
"$1,500 to $1,999","10,357","±1,209",4.4%,±0.5,"23,298","±2,457",12.9%,±1.3,"53,705","±4,050",23.8%,±1.7,"29,098","±3,362",22.9%,±2.4,"66,499","±4,795",23.3%,±1.6,"16,530","±1,782",8.4%,±0.9,"6,659","±1,292",7.5%,±1.4,2023_housing_characteristics
"$2,000 to $2,499","16,394","±2,221",6.9%,±0.9,"32,947","±2,801",18.3%,±1.5,"45,800","±3,866",20.3%,±1.6,"21,253","±2,956",16.7%,±2.0,"54,812","±4,009",19.2%,±1.4,"30,182","±2,532",15.4%,±1.2,"15,125","±1,932",17.0%,±2.1,2023_housing_characteristics
"$2,500 to $2,999","21,728","±2,557",9.2%,±1.0,"29,577","±3,071",16.4%,±1.6,"28,557","±3,508",12.6%,±1.4,"13,790","±1,958",10.9%,±1.6,"31,358","±3,310",11.0%,±1.1,"33,950","±2,638",17.3%,±1.3,"15,176","±2,090",17.0%,±2.3,2023_housing_characteristics
"$3,000 or more","177,810","±5,524",75.4%,±1.2,"78,527","±3,676",43.6%,±1.8,"41,878","±3,756",18.5%,±1.6,"21,683","±2,499",17.1%,±1.9,"76,249","±5,178",26.7%,±1.5,"104,832","±4,601",53.5%,±1.7,"47,518","±3,052",53.3%,±2.9,2023_housing_characteristics
Median (dollars),"4,000+",***,(X),(X),"2,804",±51,(X),(X),"2,036",±48,(X),(X),"1,882",±62,(X),(X),"2,177",±43,(X),(X),"3,123",±57,(X),(X),"3,103",±87,(X),(X),2023_housing_characteristics
Housing units without a mortgage,"124,259","±4,395","124,259",(X),"72,767","±3,394","72,767",(X),"81,415","±3,921","81,415",(X),"53,449","±3,190","53,449",(X),"213,906","±6,519","213,906",(X),"84,517","±3,908","84,517",(X),"24,360","±2,100","24,360",(X),2023_housing_characteristics
Less than $250,"2,032",±666,1.6%,±0.5,917,±401,1.3%,±0.6,"2,666",±926,3.3%,±1.1,"1,473",±551,2.8%,±1.0,"7,201","±1,384",3.4%,±0.6,"1,726",±910,2.0%,±1.1,187,±183,0.8%,±0.7,2023_housing_characteristics
$250 to $399,"4,449","±1,070",3.6%,±0.9,"2,045",±726,2.8%,±1.0,"9,658","±1,659",11.9%,±2.1,"7,298","±1,090",13.7%,±1.9,"19,464","±2,393",9.1%,±1.1,"1,370",±498,1.6%,±0.6,689,±456,2.8%,±1.8,2023_housing_characteristics
$400 to $599,"10,495","±1,624",8.4%,±1.2,"8,036","±1,439",11.0%,±1.9,"26,856","±2,773",33.0%,±3.0,"18,726","±2,238",35.0%,±3.4,"39,204","±3,552",18.3%,±1.6,"6,071","±1,490",7.2%,±1.7,"1,725",±586,7.1%,±2.5,2023_housing_characteristics
$600 to $799,"16,373","±2,191",13.2%,±1.7,"15,240","±1,960",20.9%,±2.4,"20,669","±2,529",25.4%,±2.6,"11,434","±1,697",21.4%,±2.8,"42,283","±3,549",19.8%,±1.5,"13,489","±1,968",16.0%,±2.2,"5,743","±1,292",23.6%,±4.8,2023_housing_characteristics
$800 to $999,"20,100","±2,246",16.2%,±1.6,"14,320","±1,911",19.7%,±2.4,"9,731","±1,663",12.0%,±2.0,"6,162","±1,394",11.5%,±2.6,"36,127","±3,048",16.9%,±1.3,"15,640","±1,915",18.5%,±2.0,"6,663","±1,350",27.4%,±5.0,2023_housing_characteristics
"$1,000 or more","70,810","±3,708",57.0%,±2.2,"32,209","±2,472",44.3%,±2.9,"11,835","±1,580",14.5%,±1.9,"8,356","±1,318",15.6%,±2.4,"69,627","±4,259",32.6%,±1.7,"46,221","±2,745",54.7%,±2.6,"9,353","±1,327",38.4%,±4.4,2023_housing_characteristics
Median (dollars),"1,143",±40,(X),(X),940,±29,(X),(X),614,±21,(X),(X),591,±20,(X),(X),795,±18,(X),(X),"1,044",±23,(X),(X),929,±29,(X),(X),2023_housing_characteristics
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"235,054","±5,933","235,054",(X),"179,457","±4,332","179,457",(X),"225,347","±6,789","225,347",(X),"126,252","±6,369","126,252",(X),"284,122","±8,996","284,122",(X),"195,719","±5,055","195,719",(X),"88,917","±3,162","88,917",(X),2023_housing_characteristics
Less than 20.0 percent,"102,008","±4,745",43.4%,±1.6,"89,490","±3,632",49.9%,±1.7,"130,804","±5,737",58.0%,±1.8,"59,279","±4,607",47.0%,±3.0,"117,113","±5,665",41.2%,±1.8,"94,810","±3,624",48.4%,±1.6,"51,060","±3,425",57.4%,±2.8,2023_housing_characteristics
20.0 to 24.9 percent,"34,701","±2,721",14.8%,±1.1,"25,098","±2,287",14.0%,±1.2,"26,111","±2,767",11.6%,±1.2,"18,195","±2,610",14.4%,±1.9,"41,268","±3,601",14.5%,±1.2,"33,837","±3,054",17.3%,±1.5,"12,790","±1,672",14.4%,±1.9,2023_housing_characteristics
25.0 to 29.9 percent,"24,384","±2,176",10.4%,±0.9,"18,573","±2,044",10.3%,±1.1,"20,832","±3,260",9.2%,±1.4,"13,564","±2,239",10.7%,±1.7,"30,045","±3,517",10.6%,±1.1,"19,776","±2,155",10.1%,±1.1,"9,130","±1,492",10.3%,±1.7,2023_housing_characteristics
30.0 to 34.9 percent,"18,452","±2,262",7.9%,±0.9,"10,085","±1,877",5.6%,±1.0,"13,064","±1,963",5.8%,±0.8,"9,207","±2,035",7.3%,±1.6,"22,170","±3,554",7.8%,±1.2,"10,506","±1,589",5.4%,±0.8,"4,338","±1,144",4.9%,±1.3,2023_housing_characteristics
35.0 percent or more,"55,509","±3,387",23.6%,±1.3,"36,211","±2,848",20.2%,±1.5,"34,536","±3,360",15.3%,±1.5,"26,007","±3,124",20.6%,±2.2,"73,526","±5,721",25.9%,±1.7,"36,790","±3,193",18.8%,±1.5,"11,599","±1,703",13.0%,±1.9,2023_housing_characteristics
Not computed,877,±432,(X),(X),739,±570,(X),(X),579,±372,(X),(X),648,±658,(X),(X),"1,802",±902,(X),(X),71,±85,(X),(X),283,±326,(X),(X),2023_housing_characteristics
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"122,501","±4,402","122,501",(X),"71,910","±3,399","71,910",(X),"80,004","±3,969","80,004",(X),"52,727","±3,183","52,727",(X),"210,047","±6,574","210,047",(X),"83,549","±3,870","83,549",(X),"24,360","±2,100","24,360",(X),2023_housing_characteristics
Less than 10.0 percent,"59,652","±3,328",48.7%,±2.1,"41,009","±2,462",57.0%,±2.9,"47,792","±3,265",59.7%,±2.8,"28,289","±2,778",53.7%,±3.8,"77,154","±4,753",36.7%,±2.0,"42,664","±2,933",51.1%,±2.3,"16,029","±1,930",65.8%,±5.0,2023_housing_characteristics
10.0 to 14.9 percent,"21,393","±2,602",17.5%,±2.0,"12,266","±1,844",17.1%,±2.3,"12,617","±2,008",15.8%,±2.5,"9,993","±1,775",19.0%,±3.0,"45,929","±3,540",21.9%,±1.5,"14,848","±1,829",17.8%,±2.1,"3,233",±839,13.3%,±3.3,2023_housing_characteristics
15.0 to 19.9 percent,"9,668","±1,207",7.9%,±1.0,"4,764","±1,087",6.6%,±1.5,"5,714","±1,256",7.1%,±1.5,"4,248","±1,055",8.1%,±2.0,"26,138","±3,116",12.4%,±1.4,"7,489","±1,249",9.0%,±1.5,"1,499",±533,6.2%,±2.1,2023_housing_characteristics
20.0 to 24.9 percent,"6,458","±1,351",5.3%,±1.1,"3,487","±1,160",4.8%,±1.6,"3,343","±1,065",4.2%,±1.3,"3,111","±1,060",5.9%,±2.0,"15,897","±2,183",7.6%,±1.0,"5,092",±940,6.1%,±1.1,"1,044",±574,4.3%,±2.3,2023_housing_characteristics
25.0 to 29.9 percent,"4,876",±892,4.0%,±0.7,"2,267","±1,015",3.2%,±1.4,"2,316",±820,2.9%,±1.0,"2,622",±863,5.0%,±1.6,"9,410","±1,674",4.5%,±0.8,"2,487",±639,3.0%,±0.8,400,±326,1.6%,±1.3,2023_housing_characteristics
30.0 to 34.9 percent,"3,222",±819,2.6%,±0.7,"1,041",±485,1.4%,±0.7,"1,481",±795,1.9%,±1.0,831,±463,1.6%,±0.9,"8,175","±1,576",3.9%,±0.7,"2,189",±796,2.6%,±1.0,335,±368,1.4%,±1.5,2023_housing_characteristics
35.0 percent or more,"17,232","±1,953",14.1%,±1.5,"7,076","±1,288",9.8%,±1.7,"6,741","±1,613",8.4%,±2.0,"3,633",±940,6.9%,±1.8,"27,344","±3,167",13.0%,±1.4,"8,780","±1,434",10.5%,±1.6,"1,820",±797,7.5%,±3.2,2023_housing_characteristics
Not computed,"1,758",±752,(X),(X),857,±421,(X),(X),"1,411",±845,(X),(X),722,±476,(X),(X),"3,859","±1,182",(X),(X),968,±508,(X),(X),0,±216,(X),(X),2023_housing_characteristics
Occupied units paying rent,"298,289","±6,420","298,289",(X),"136,129","±4,687","136,129",(X),"170,330","±6,352","170,330",(X),"157,969","±6,681","157,969",(X),"483,411","±8,838","483,411",(X),"132,232","±4,562","132,232",(X),N,N,N,N,2023_housing_characteristics
Less than $500,"8,051","±1,557",2.7%,±0.5,"3,589","±1,169",2.6%,±0.8,"3,720","±1,324",2.2%,±0.8,"8,462","±1,846",5.4%,±1.1,"11,769","±2,448",2.4%,±0.5,"2,431",±850,1.8%,±0.6,N,N,N,N,2023_housing_characteristics
$500 to $999,"9,861","±1,387",3.3%,±0.5,"4,120","±1,188",3.0%,±0.9,"15,907","±2,478",9.3%,±1.4,"11,906","±2,405",7.5%,±1.5,"34,470","±4,416",7.1%,±0.9,"4,339","±1,416",3.3%,±1.0,N,N,N,N,2023_housing_characteristics
"$1,000 to $1,499","14,764","±2,261",4.9%,±0.7,"15,326","±1,986",11.3%,±1.5,"45,753","±4,949",26.9%,±2.6,"46,619","±5,149",29.5%,±3.2,"164,863","±8,446",34.1%,±1.6,"10,773","±1,954",8.1%,±1.4,N,N,N,N,2023_housing_characteristics
"$1,500 to $1,999","33,031","±3,587",11.1%,±1.2,"46,510","±3,535",34.2%,±2.3,"64,978","±4,965",38.1%,±2.7,"50,157","±5,154",31.8%,±2.9,"158,173","±7,688",32.7%,±1.5,"36,201","±3,227",27.4%,±2.3,N,N,N,N,2023_housing_characteristics
"$2,000 to $2,499","50,491","±3,914",16.9%,±1.3,"33,512","±3,533",24.6%,±2.4,"26,376","±3,566",15.5%,±2.1,"25,635","±3,978",16.2%,±2.4,"68,334","±5,009",14.1%,±1.0,"39,636","±3,786",30.0%,±2.5,N,N,N,N,2023_housing_characteristics
"$2,500 to $2,999","58,537","±4,241",19.6%,±1.4,"15,465","±2,622",11.4%,±1.9,"8,671","±2,038",5.1%,±1.2,"8,450","±2,033",5.3%,±1.3,"26,713","±3,796",5.5%,±0.8,"18,565","±2,088",14.0%,±1.6,N,N,N,N,2023_housing_characteristics
"$3,000 or more","123,554","±4,875",41.4%,±1.4,"17,607","±2,437",12.9%,±1.7,"4,925","±1,440",2.9%,±0.8,"6,740","±1,843",4.3%,±1.1,"19,089","±2,854",3.9%,±0.6,"20,287","±2,271",15.3%,±1.7,N,N,N,N,2023_housing_characteristics
Median (dollars),"2,781",±37,(X),(X),"1,984",±35,(X),(X),"1,652",±30,(X),(X),"1,620",±48,(X),(X),"1,597",±21,(X),(X),"2,156",±35,(X),(X),"2,321",±89,(X),(X),2023_housing_characteristics
No rent paid,"7,070","±1,820",(X),(X),"3,537","±1,215",(X),(X),"3,623","±1,035",(X),(X),"3,279","±1,203",(X),(X),"10,071","±1,827",(X),(X),"2,407",±833,(X),(X),N,N,(X),(X),2023_housing_characteristics
Occupied units paying rent (excluding units where GRAPI cannot be computed),"293,621","±6,477","293,621",(X),"133,138","±5,263","133,138",(X),"168,415","±6,508","168,415",(X),"155,336","±6,822","155,336",(X),"473,885","±9,243","473,885",(X),"130,720","±4,598","130,720",(X),"30,829","±2,681","30,829",(X),2023_housing_characteristics
Less than 15.0 percent,"47,883","±3,477",16.3%,±1.1,"13,133","±2,112",9.9%,±1.7,"23,112","±3,174",13.7%,±1.8,"16,158","±2,553",10.4%,±1.6,"39,852","±4,405",8.4%,±0.9,"14,691","±2,297",11.2%,±1.7,"3,586",±975,11.6%,±3.0,2023_housing_characteristics
15.0 to 19.9 percent,"39,932","±3,926",13.6%,±1.3,"17,562","±2,846",13.2%,±2.0,"21,474","±3,119",12.8%,±1.8,"18,173","±2,909",11.7%,±1.9,"58,728","±5,361",12.4%,±1.1,"19,063","±2,644",14.6%,±1.9,"3,955","±1,210",12.8%,±3.8,2023_housing_characteristics
20.0 to 24.9 percent,"35,999","±3,179",12.3%,±1.1,"15,895","±2,304",11.9%,±1.6,"20,226","±3,111",12.0%,±1.7,"22,333","±3,246",14.4%,±2.2,"55,863","±5,791",11.8%,±1.2,"19,642","±2,856",15.0%,±2.2,"5,546","±1,312",18.0%,±4.1,2023_housing_characteristics
25.0 to 29.9 percent,"33,119","±3,641",11.3%,±1.2,"15,137","±2,064",11.4%,±1.4,"24,394","±3,419",14.5%,±2.0,"19,261","±3,400",12.4%,±2.0,"62,501","±6,161",13.2%,±1.3,"18,335","±2,938",14.0%,±2.2,"4,108","±1,323",13.3%,±4.1,2023_housing_characteristics
30.0 to 34.9 percent,"26,905","±3,538",9.2%,±1.2,"11,935","±1,778",9.0%,±1.3,"19,205","±2,936",11.4%,±1.7,"13,258","±3,098",8.5%,±1.9,"49,977","±4,952",10.5%,±1.1,"13,242","±2,276",10.1%,±1.7,"2,381",±826,7.7%,±2.7,2023_housing_characteristics
35.0 percent or more,"109,783","±5,299",37.4%,±1.5,"59,476","±4,308",44.7%,±2.7,"60,004","±4,472",35.6%,±2.5,"66,153","±5,574",42.6%,±3.0,"206,964","±9,396",43.7%,±1.7,"45,747","±3,845",35.0%,±2.8,"11,253","±1,981",36.5%,±5.1,2023_housing_characteristics
Not computed,"11,738","±2,177",(X),(X),"6,528","±1,898",(X),(X),"5,538","±1,357",(X),(X),"5,912","±1,861",(X),(X),"19,597","±3,038",(X),(X),"3,919","±1,186",(X),(X),"1,212",±667,(X),(X),2023_housing_characteristics
