label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
"$1,000,000 or more","67,044","±3,106",19.5%,±0.9,"19,449","±1,511",8.2%,±0.6,"2,647",±749,1.2%,±0.3,"2,892",±692,2.1%,±0.5,"7,740",±984,1.7%,±0.2,"14,626","±1,641",5.4%,±0.6,"2,733",±885,3.4%,±1.1,2010_housing_characteristics
Median (dollars),"639,400","±8,631",(X),(X),"447,200","±7,017",(X),(X),"232,800","±4,066",(X),(X),"172,500","±3,433",(X),(X),"129,300","±2,620",(X),(X),"462,000","±6,395",(X),(X),"447,100","±12,816",(X),(X),2010_housing_characteristics
Owner-occupied units,"342,955","±4,963","342,955",(X),"238,022","±4,307","238,022",(X),"224,624","±3,870","224,624",(X),"135,598","±3,957","135,598",(X),"448,918","±6,552","448,918",(X),"272,224","±4,427","272,224",(X),"80,627","±2,460","80,627",(X),2010_housing_characteristics
Housing units with a mortgage,"256,276","±5,674",74.7%,±1.0,"188,428","±4,264",79.2%,±0.9,"184,459","±4,000",82.1%,±1.1,"99,978","±4,078",73.7%,±1.9,"311,935","±6,743",69.5%,±0.9,"225,962","±5,228",83.0%,±1.0,"72,843","±2,442",90.3%,±1.3,2010_housing_characteristics
Housing units without a mortgage,"86,679","±3,495",25.3%,±1.0,"49,594","±2,234",20.8%,±0.9,"40,165","±2,588",17.9%,±1.1,"35,620","±2,709",26.3%,±1.9,"136,983","±4,287",30.5%,±0.9,"46,262","±2,670",17.0%,±1.0,"7,784","±1,104",9.7%,±1.3,2010_housing_characteristics
Housing units with a mortgage,"256,276","±5,674","256,276",(X),"188,428","±4,264","188,428",(X),"184,459","±4,000","184,459",(X),"99,978","±4,078","99,978",(X),"311,935","±6,743","311,935",(X),"225,962","±5,228","225,962",(X),"72,843","±2,442","72,843",(X),2010_housing_characteristics
Less than $300,441,±292,0.2%,±0.1,0,±289,0.0%,±0.1,216,±272,0.1%,±0.1,0,±287,0.0%,±0.2,55,±92,0.0%,±0.1,128,±157,0.1%,±0.1,0,±287,0.0%,±0.3,2010_housing_characteristics
$300 to $499,"1,586",±584,0.6%,±0.2,104,±128,0.1%,±0.1,"1,536",±689,0.8%,±0.4,"1,794",±674,1.8%,±0.7,"3,103",±922,1.0%,±0.3,326,±253,0.1%,±0.1,408,±416,0.6%,±0.6,2010_housing_characteristics
$500 to $699,"2,152",±704,0.8%,±0.3,"1,271",±486,0.7%,±0.3,"4,407",±930,2.4%,±0.5,"3,738",±888,3.7%,±0.9,"10,300","±1,301",3.3%,±0.4,"1,370",±450,0.6%,±0.2,239,±169,0.3%,±0.2,2010_housing_characteristics
$700 to $999,"4,788","±1,034",1.9%,±0.4,"5,128","±1,215",2.7%,±0.6,"18,284","±1,796",9.9%,±0.9,"18,114","±1,945",18.1%,±1.8,"39,066","±2,786",12.5%,±0.8,"6,174","±1,116",2.7%,±0.5,"1,606",±687,2.2%,±0.9,2010_housing_characteristics
"$1,000 to $1,499","16,484","±1,998",6.4%,±0.8,"20,393","±2,338",10.8%,±1.2,"62,193","±3,758",33.7%,±1.9,"37,051","±2,834",37.1%,±2.2,"115,767","±5,695",37.1%,±1.5,"26,465","±2,246",11.7%,±1.0,"4,702",±990,6.5%,±1.4,2010_housing_characteristics
"$1,500 to $1,999","28,710","±2,920",11.2%,±1.1,"31,984","±2,346",17.0%,±1.2,"45,699","±3,045",24.8%,±1.6,"21,427","±2,309",21.4%,±2.1,"69,691","±3,598",22.3%,±1.2,"37,296","±3,152",16.5%,±1.3,"7,782","±1,346",10.7%,±1.8,2010_housing_characteristics
"$2,000 or more","202,115","±4,991",78.9%,±1.2,"129,548","±3,785",68.8%,±1.5,"52,124","±2,872",28.3%,±1.4,"17,854","±1,854",17.9%,±1.9,"73,953","±3,738",23.7%,±1.1,"154,203","±5,627",68.2%,±1.7,"58,106","±2,789",79.8%,±2.5,2010_housing_characteristics
Median (dollars),"2,994",±43,(X),(X),"2,498",±43,(X),(X),"1,552",±30,(X),(X),"1,366",±26,(X),(X),"1,443",±20,(X),(X),"2,468",±40,(X),(X),"2,766",±64,(X),(X),2010_housing_characteristics
Housing units without a mortgage,"86,679","±3,495","86,679",(X),"49,594","±2,234","49,594",(X),"40,165","±2,588","40,165",(X),"35,620","±2,709","35,620",(X),"136,983","±4,287","136,983",(X),"46,262","±2,670","46,262",(X),"7,784","±1,104","7,784",(X),2010_housing_characteristics
Less than $100,"1,051",±498,1.2%,±0.6,440,±264,0.9%,±0.5,50,±82,0.1%,±0.2,141,±135,0.4%,±0.4,"1,006",±431,0.7%,±0.3,615,±323,1.3%,±0.7,61,±103,0.8%,±1.3,2010_housing_characteristics
$100 to $199,"3,040",±718,3.5%,±0.8,123,±143,0.2%,±0.3,"1,432",±854,3.6%,±2.1,"1,377",±567,3.9%,±1.6,"3,805",±830,2.8%,±0.6,680,±361,1.5%,±0.8,95,±134,1.2%,±1.7,2010_housing_characteristics
$200 to $299,"8,855","±1,367",10.2%,±1.5,879,±392,1.8%,±0.8,"4,619",±968,11.5%,±2.4,"5,310",±964,14.9%,±2.5,"15,946","±1,891",11.6%,±1.4,"1,608",±522,3.5%,±1.1,357,±288,4.6%,±3.6,2010_housing_characteristics
$300 to $399,"14,202","±1,385",16.4%,±1.4,"2,309",±697,4.7%,±1.4,"7,935","±1,281",19.8%,±2.9,"7,440",±920,20.9%,±2.3,"19,493","±1,679",14.2%,±1.2,"2,867",±807,6.2%,±1.7,331,±229,4.3%,±3.0,2010_housing_characteristics
$400 or more,"59,531","±3,064",68.7%,±2.1,"45,843","±2,169",92.4%,±1.7,"26,129","±2,287",65.1%,±3.8,"21,352","±2,144",59.9%,±3.4,"96,733","±4,435",70.6%,±1.9,"40,492","±2,547",87.5%,±2.0,"6,940","±1,037",89.2%,±5.0,2010_housing_characteristics
Median (dollars),539,±17,(X),(X),740,±24,(X),(X),477,±19,(X),(X),450,±16,(X),(X),527,±14,(X),(X),698,±20,(X),(X),761,±59,(X),(X),2010_housing_characteristics
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","±5,648","255,336",(X),"188,258","±4,267","188,258",(X),"183,731","±4,024","183,731",(X),"99,648","±4,066","99,648",(X),"310,211","±6,815","310,211",(X),"224,894","±5,265","224,894",(X),"72,843","±2,442","72,843",(X),2010_housing_characteristics
Less than 20.0 percent,"61,314","±3,545",24.0%,±1.4,"64,835","±2,885",34.4%,±1.5,"74,034","±3,735",40.3%,±1.8,"34,055","±2,261",34.2%,±2.0,"107,386","±4,737",34.6%,±1.4,"90,026","±3,817",40.0%,±1.6,"21,660","±1,531",29.7%,±2.2,2010_housing_characteristics
20.0 to 24.9 percent,"37,831","±2,986",14.8%,±1.1,"29,894","±2,720",15.9%,±1.3,"31,134","±2,312",16.9%,±1.2,"16,174","±1,637",16.2%,±1.6,"50,155","±3,409",16.2%,±1.0,"35,636","±2,903",15.8%,±1.2,"13,947","±1,840",19.1%,±2.4,2010_housing_characteristics
25.0 to 29.9 percent,"31,228","±2,586",12.2%,±0.9,"23,658","±2,145",12.6%,±1.1,"24,304","±2,196",13.2%,±1.2,"12,866","±1,690",12.9%,±1.6,"36,860","±3,423",11.9%,±1.0,"28,240","±2,890",12.6%,±1.2,"11,662","±1,414",16.0%,±1.9,2010_housing_characteristics
30.0 to 34.9 percent,"27,748","±2,314",10.9%,±0.9,"17,168","±2,299",9.1%,±1.2,"13,720","±1,803",7.5%,±1.0,"9,562","±1,319",9.6%,±1.3,"27,941","±3,087",9.0%,±1.0,"21,979","±2,079",9.8%,±0.9,"8,127","±1,511",11.2%,±2.0,2010_housing_characteristics
35.0 percent or more,"97,215","±4,198",38.1%,±1.4,"52,703","±3,326",28.0%,±1.6,"40,539","±3,137",22.1%,±1.6,"26,991","±2,624",27.1%,±2.3,"87,869","±5,035",28.3%,±1.5,"49,013","±3,410",21.8%,±1.4,"17,447","±1,854",24.0%,±2.4,2010_housing_characteristics
Not computed,940,±513,(X),(X),170,±160,(X),(X),728,±500,(X),(X),330,±227,(X),(X),"1,724",±624,(X),(X),"1,068",±525,(X),(X),0,±287,(X),(X),2010_housing_characteristics
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","±3,504","85,119",(X),"49,093","±2,338","49,093",(X),"39,783","±2,594","39,783",(X),"35,270","±2,723","35,270",(X),"135,379","±4,341","135,379",(X),"46,100","±2,655","46,100",(X),"7,734","±1,109","7,734",(X),2010_housing_characteristics
Less than 10.0 percent,"43,387","±2,632",51.0%,±2.3,"21,364","±1,820",43.5%,±2.9,"19,599","±1,919",49.3%,±3.6,"14,035","±1,791",39.8%,±3.9,"45,898","±3,166",33.9%,±1.8,"22,766","±2,182",49.4%,±3.3,"3,922",±896,50.7%,±8.5,2010_housing_characteristics
10.0 to 14.9 percent,"14,242","±1,551",16.7%,±1.7,"8,649","±1,049",17.6%,±2.1,"7,305","±1,203",18.4%,±2.9,"6,780","±1,050",19.2%,±2.9,"30,191","±2,340",22.3%,±1.6,"8,953","±1,165",19.4%,±2.3,"1,636",±557,21.2%,±7.0,2010_housing_characteristics
15.0 to 19.9 percent,"8,796","±1,283",10.3%,±1.5,"5,044","±1,103",10.3%,±2.1,"3,291",±816,8.3%,±1.9,"5,284","±1,095",15.0%,±2.8,"17,372","±1,795",12.8%,±1.3,"4,911","±1,127",10.7%,±2.3,513,±349,6.6%,±4.4,2010_housing_characteristics
20.0 to 24.9 percent,"5,781","±1,251",6.8%,±1.4,"4,211",±903,8.6%,±1.8,"2,416",±751,6.1%,±1.8,"2,666",±930,7.6%,±2.6,"11,075","±1,439",8.2%,±1.1,"2,498",±733,5.4%,±1.6,342,±231,4.4%,±2.8,2010_housing_characteristics
25.0 to 29.9 percent,"2,687",±742,3.2%,±0.9,"2,390",±747,4.9%,±1.5,"1,781",±646,4.5%,±1.6,"1,781",±591,5.0%,±1.6,"8,194","±1,217",6.1%,±0.9,"2,169",±800,4.7%,±1.7,115,±152,1.5%,±2.0,2010_housing_characteristics
30.0 to 34.9 percent,"2,337",±726,2.7%,±0.8,"1,381",±480,2.8%,±0.9,"1,633",±683,4.1%,±1.7,"1,211",±514,3.4%,±1.4,"5,391","±1,013",4.0%,±0.8,978,±391,2.1%,±0.8,111,±133,1.4%,±1.7,2010_housing_characteristics
35.0 percent or more,"7,889","±1,238",9.3%,±1.4,"6,054","±1,027",12.3%,±2.1,"3,758",±955,9.4%,±2.3,"3,513",±927,10.0%,±2.4,"17,258","±1,850",12.7%,±1.3,"3,825",±902,8.3%,±1.9,"1,095",±433,14.2%,±5.2,2010_housing_characteristics
Not computed,"1,560",±724,(X),(X),501,±382,(X),(X),382,±259,(X),(X),350,±221,(X),(X),"1,604",±608,(X),(X),162,±159,(X),(X),50,±84,(X),(X),2010_housing_characteristics
Occupied units paying rent,"250,980","±5,530","250,980",(X),"117,459","±4,096","117,459",(X),"110,703","±3,849","110,703",(X),"110,360","±3,857","110,360",(X),"384,011","±7,396","384,011",(X),"114,961","±4,243","114,961",(X),N,N,N,(X),2010_housing_characteristics
Less than $200,"1,021",±497,0.4%,±0.2,"2,039",±655,1.7%,±0.6,"1,690",±704,1.5%,±0.6,"2,863",±782,2.6%,±0.7,"5,256","±1,053",1.4%,±0.3,"2,027",±590,1.8%,±0.5,N,N,N,N,2010_housing_characteristics
$200 to $299,"5,127","±1,227",2.0%,±0.5,"1,240",±498,1.1%,±0.4,"2,170",±921,2.0%,±0.8,"2,366",±748,2.1%,±0.7,"4,224","±1,086",1.1%,±0.3,605,±386,0.5%,±0.3,N,N,N,N,2010_housing_characteristics
$300 to $499,"5,300","±1,033",2.1%,±0.4,"1,572",±640,1.3%,±0.5,"5,175","±1,246",4.7%,±1.1,"8,749","±1,562",7.9%,±1.4,"17,951","±2,320",4.7%,±0.6,"1,707",±883,1.5%,±0.8,N,N,N,N,2010_housing_characteristics
$500 to $749,"13,324","±2,024",5.3%,±0.8,"3,953","±1,242",3.4%,±1.0,"24,699","±3,293",22.3%,±2.6,"36,505","±3,108",33.1%,±2.5,"119,461","±5,034",31.1%,±1.2,"3,533","±1,003",3.1%,±0.8,N,N,N,N,2010_housing_characteristics
$750 to $999,"26,134","±2,942",10.4%,±1.1,"8,622","±1,571",7.3%,±1.3,"43,244","±3,261",39.1%,±3.0,"36,308","±2,778",32.9%,±2.4,"113,779","±5,482",29.6%,±1.3,"7,203","±1,473",6.3%,±1.3,N,N,N,N,2010_housing_characteristics
"$1,000 to $1,499","90,157","±5,262",35.9%,±2.0,"44,756","±2,946",38.1%,±2.2,"25,547","±2,901",23.1%,±2.6,"18,407","±2,177",16.7%,±1.8,"93,761","±4,212",24.4%,±1.0,"42,118","±2,633",36.6%,±2.3,N,N,N,N,2010_housing_characteristics
"$1,500 or more","109,917","±5,126",43.8%,±1.8,"55,277","±3,361",47.1%,±2.4,"8,178","±1,306",7.4%,±1.2,"5,162","±1,330",4.7%,±1.2,"29,579","±2,854",7.7%,±0.7,"57,768","±3,824",50.3%,±2.4,N,N,N,N,2010_housing_characteristics
Median (dollars),"1,418",±21,(X),(X),"1,466",±26,(X),(X),858,±13,(X),(X),776,±15,(X),(X),836,±9,(X),(X),"1,504",±34,(X),(X),"1,574",±100,(X),(X),2010_housing_characteristics
No rent paid,"5,300","±1,144",(X),(X),"3,995","±1,044",(X),(X),"2,727",±796,(X),(X),"3,941",±933,(X),(X),"10,487","±1,556",(X),(X),"2,230",±754,(X),(X),N,N,(X),(X),2010_housing_characteristics
Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","±5,624","246,834",(X),"115,699","±4,037","115,699",(X),"108,871","±3,896","108,871",(X),"108,353","±3,811","108,353",(X),"374,383","±7,504","374,383",(X),"113,436","±4,301","113,436",(X),"21,113","±1,953","21,113",(X),2010_housing_characteristics
Less than 15.0 percent,"36,283","±3,210",14.7%,±1.2,"8,821","±1,634",7.6%,±1.4,"11,627","±1,705",10.7%,±1.6,"9,995","±1,613",9.2%,±1.4,"44,054","±3,476",11.8%,±0.9,"15,523","±2,274",13.7%,±1.9,"2,531","±1,038",12.0%,±4.7,2010_housing_characteristics
15.0 to 19.9 percent,"35,384","±3,322",14.3%,±1.3,"14,408","±1,844",12.5%,±1.6,"17,253","±2,243",15.8%,±1.9,"13,427","±2,183",12.4%,±2.0,"47,499","±3,862",12.7%,±1.0,"15,889","±2,301",14.0%,±2.0,"2,879",±912,13.6%,±4.3,2010_housing_characteristics
20.0 to 24.9 percent,"29,917","±2,668",12.1%,±1.1,"16,713","±2,108",14.4%,±1.6,"15,393","±1,863",14.1%,±1.7,"13,793","±2,225",12.7%,±2.0,"52,580","±3,231",14.0%,±0.9,"17,011","±2,399",15.0%,±2.0,"3,121","±1,085",14.8%,±4.8,2010_housing_characteristics
25.0 to 29.9 percent,"27,507","±3,050",11.1%,±1.2,"13,017","±1,889",11.3%,±1.6,"14,664","±1,816",13.5%,±1.5,"12,307","±1,898",11.4%,±1.7,"43,569","±3,480",11.6%,±0.9,"14,887","±2,366",13.1%,±2.1,"3,144","±1,011",14.9%,±4.5,2010_housing_characteristics
30.0 to 34.9 percent,"23,888","±2,770",9.7%,±1.1,"12,304","±1,891",10.6%,±1.6,"8,336","±1,642",7.7%,±1.5,"9,961","±1,849",9.2%,±1.7,"33,645","±3,724",9.0%,±1.0,"10,229","±2,025",9.0%,±1.8,"2,406",±850,11.4%,±3.9,2010_housing_characteristics
35.0 percent or more,"93,855","±4,180",38.0%,±1.4,"50,436","±3,388",43.6%,±2.5,"41,598","±2,964",38.2%,±2.3,"48,870","±3,425",45.1%,±2.6,"153,036","±6,559",40.9%,±1.5,"39,897","±3,560",35.2%,±2.9,"7,032","±1,224",33.3%,±5.1,2010_housing_characteristics
Not computed,"9,446","±1,489",(X),(X),"5,755","±1,190",(X),(X),"4,559","±1,239",(X),(X),"5,948","±1,141",(X),(X),"20,115","±2,383",(X),(X),"3,755","±1,237",(X),(X),"1,239",±645,(X),(X),2010_housing_characteristics
