Label (Grouping),"Santa Clara County, California!!Occupied housing units!!Estimate","Santa Clara County, California!!Owner-occupied housing units!!Estimate","Santa Clara County, California!!Renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Occupied housing units!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Renter-occupied housing units!!Estimate","Wake County, North Carolina!!Occupied housing units!!Estimate","Wake County, North Carolina!!Owner-occupied housing units!!Estimate","Wake County, North Carolina!!Renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Occupied housing units!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Renter-occupied housing units!!Estimate","Dallas County, Texas!!Occupied housing units!!Estimate","Dallas County, Texas!!Owner-occupied housing units!!Estimate","Dallas County, Texas!!Renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Occupied housing units!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Occupied housing units!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Renter-occupied housing units!!Estimate",Year,Data Type,"Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate","Santa Clara County, California!!Percent","Montgomery County, Maryland!!Percent","Wake County, North Carolina!!Percent","Davidson County, Tennessee!!Percent","Dallas County, Texas!!Percent","Fairfax County, Virginia!!Percent","Loudoun County, Virginia!!Percent","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Mean income (dollars)!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Mean income (dollars)!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Mean income (dollars)!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Mean income (dollars)!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Mean income (dollars)!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Mean income (dollars)!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Mean income (dollars)!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Margin of Error","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Margin of Error","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Margin of Error","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Margin of Error","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Margin of Error","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Santa Clara County, California!!Owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Number!!Estimate","Santa Clara County, California!!Percent Distribution!!Estimate","Montgomery County, Maryland!!Number!!Estimate","Montgomery County, Maryland!!Percent Distribution!!Estimate","Wake County, North Carolina!!Number!!Estimate","Wake County, North Carolina!!Percent Distribution!!Estimate","Davidson County, Tennessee!!Number!!Estimate","Davidson County, Tennessee!!Percent Distribution!!Estimate","Dallas County, Texas!!Number!!Estimate","Dallas County, Texas!!Percent Distribution!!Estimate","Fairfax County, Virginia!!Number!!Estimate","Fairfax County, Virginia!!Percent Distribution!!Estimate","Loudoun County, Virginia!!Number!!Estimate","Loudoun County, Virginia!!Percent Distribution!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent occupied housing units!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units!!Estimate","Santa Clara County, California!!Percent renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent occupied housing units!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent renter-occupied housing units!!Estimate","Wake County, North Carolina!!Percent occupied housing units!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units!!Estimate","Wake County, North Carolina!!Percent renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent occupied housing units!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent renter-occupied housing units!!Estimate","Dallas County, Texas!!Percent occupied housing units!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units!!Estimate","Dallas County, Texas!!Percent renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent occupied housing units!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent occupied housing units!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent renter-occupied housing units!!Estimate","Santa Clara County, California!!Married-couple family household!!Estimate","Santa Clara County, California!!Male householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Female householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Nonfamily household!!Estimate","Montgomery County, Maryland!!Married-couple family household!!Estimate","Montgomery County, Maryland!!Male householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Female householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Nonfamily household!!Estimate","Wake County, North Carolina!!Married-couple family household!!Estimate","Wake County, North Carolina!!Male householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Female householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Nonfamily household!!Estimate","Davidson County, Tennessee!!Married-couple family household!!Estimate","Davidson County, Tennessee!!Male householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Female householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Nonfamily household!!Estimate","Dallas County, Texas!!Married-couple family household!!Estimate","Dallas County, Texas!!Male householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Female householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Nonfamily household!!Estimate","Fairfax County, Virginia!!Married-couple family household!!Estimate","Fairfax County, Virginia!!Male householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Female householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Nonfamily household!!Estimate","Loudoun County, Virginia!!Married-couple family household!!Estimate","Loudoun County, Virginia!!Male householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Female householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Nonfamily household!!Estimate"
    1.51 or more occupants per room,2.5%,0.8%,4.7%,1.0%,0.2%,2.5%,0.6%,0.1%,1.6%,0.7%,0.3%,1.3%,2.1%,0.9%,3.3%,1.1%,0.2%,3.0%,0.3%,0.1%,1.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Family households,72.0%,78.6%,63.5%,69.3%,76.2%,57.0%,67.9%,77.4%,51.7%,56.4%,64.6%,46.6%,65.2%,75.2%,55.3%,70.6%,76.6%,58.5%,77.6%,82.7%,59.1%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Married-couple family,56.9%,67.2%,43.7%,53.5%,64.7%,33.4%,52.3%,66.9%,27.8%,38.1%,50.3%,23.6%,43.3%,58.8%,27.8%,57.5%,66.3%,39.6%,66.1%,73.0%,41.1%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 15 to 34 years,8.2%,3.9%,13.7%,6.0%,4.5%,8.8%,8.5%,7.3%,10.4%,8.5%,7.7%,9.4%,8.2%,5.8%,10.6%,7.3%,5.1%,11.7%,8.5%,7.3%,12.6%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 35 to 64 years,39.0%,48.7%,26.6%,36.9%,45.4%,21.6%,36.0%,48.3%,15.3%,23.5%,32.3%,13.0%,28.3%,40.9%,15.7%,39.9%,47.1%,25.3%,50.8%,57.7%,25.7%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 65 years and over,9.7%,14.6%,3.4%,10.6%,14.8%,3.1%,7.8%,11.3%,2.0%,6.2%,10.3%,1.3%,6.8%,12.1%,1.5%,10.3%,14.0%,2.6%,6.8%,8.0%,2.7%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other family,15.1%,11.4%,19.8%,15.8%,11.4%,23.6%,15.5%,10.5%,23.9%,18.3%,14.3%,22.9%,21.9%,16.4%,27.5%,13.1%,10.3%,18.8%,11.5%,9.6%,18.1%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Male householder, no wife present",5.0%,4.0%,6.4%,4.6%,2.9%,7.7%,4.3%,3.4%,5.9%,4.5%,3.3%,5.9%,6.1%,4.8%,7.4%,3.8%,3.0%,5.5%,3.7%,2.9%,6.8%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 15 to 34 years,1.3%,0.5%,2.3%,1.3%,0.4%,3.0%,1.5%,0.7%,2.8%,1.5%,0.5%,2.7%,2.1%,0.8%,3.5%,0.8%,0.5%,1.5%,0.5%,0.1%,2.1%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 35 to 64 years,3.3%,2.8%,3.8%,2.7%,1.9%,4.2%,2.5%,2.4%,2.8%,2.5%,2.3%,2.7%,3.5%,3.3%,3.6%,2.6%,2.2%,3.4%,2.8%,2.4%,4.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 65 years and over,0.5%,0.6%,0.3%,0.6%,0.6%,0.5%,0.3%,0.3%,0.3%,0.5%,0.6%,0.4%,0.5%,0.7%,0.3%,0.4%,0.3%,0.6%,0.4%,0.4%,0.5%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Female householder, no husband present",10.1%,7.4%,13.5%,11.2%,8.6%,15.9%,11.2%,7.2%,18.0%,13.8%,11.0%,17.1%,15.8%,11.6%,20.1%,9.3%,7.3%,13.3%,7.7%,6.8%,11.3%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 15 to 34 years,1.6%,0.4%,3.1%,1.7%,0.5%,3.9%,2.2%,0.5%,5.1%,4.7%,1.3%,8.8%,4.6%,1.0%,8.3%,1.6%,0.6%,3.8%,0.9%,0.3%,3.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 35 to 64 years,6.9%,4.8%,9.6%,7.7%,5.9%,10.9%,7.6%,5.3%,11.6%,7.2%,7.2%,7.3%,9.3%,7.6%,11.0%,6.5%,5.1%,9.2%,6.2%,5.8%,7.7%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 65 years and over,1.6%,2.2%,0.8%,1.8%,2.1%,1.2%,1.3%,1.3%,1.3%,1.8%,2.6%,1.0%,1.9%,2.9%,0.9%,1.2%,1.6%,0.4%,0.6%,0.7%,0.4%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Nonfamily households,28.0%,21.4%,36.5%,30.7%,23.8%,43.0%,32.1%,22.6%,48.3%,43.6%,35.4%,53.4%,34.8%,24.8%,44.7%,29.4%,23.4%,41.5%,22.4%,17.3%,40.9%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Householder living alone,20.6%,17.4%,24.7%,25.4%,20.4%,34.3%,24.6%,19.2%,33.7%,33.4%,29.3%,38.2%,28.2%,21.2%,35.2%,22.7%,20.0%,28.2%,16.3%,13.3%,27.0%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 15 to 34 years,3.2%,0.9%,6.2%,3.8%,1.3%,8.3%,5.4%,1.7%,11.6%,7.6%,3.2%,12.8%,6.3%,1.2%,11.5%,3.4%,1.5%,7.2%,2.6%,1.0%,8.3%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 35 to 64 years,9.7%,8.1%,11.8%,12.2%,10.4%,15.5%,13.0%,11.3%,15.8%,17.0%,15.2%,19.1%,14.5%,11.5%,17.6%,12.3%,11.3%,14.4%,8.3%,7.4%,11.5%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 65 years and over,7.7%,8.4%,6.7%,9.4%,8.7%,10.4%,6.2%,6.1%,6.3%,8.8%,10.9%,6.3%,7.3%,8.5%,6.1%,7.0%,7.2%,6.6%,5.4%,4.9%,7.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Householder not living alone,7.4%,4.0%,11.8%,5.3%,3.4%,8.7%,7.6%,3.4%,14.6%,10.2%,6.1%,15.2%,6.6%,3.7%,9.5%,6.7%,3.4%,13.3%,6.1%,4.0%,13.9%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 15 to 34 years,3.9%,0.7%,8.0%,2.8%,0.7%,6.4%,4.8%,1.1%,11.0%,6.3%,2.1%,11.3%,3.5%,0.7%,6.3%,3.3%,0.8%,8.6%,3.2%,1.9%,7.8%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 35 to 64 years,2.7%,2.1%,3.4%,1.9%,1.8%,2.1%,2.5%,1.9%,3.5%,3.5%,3.3%,3.7%,2.7%,2.4%,2.9%,2.8%,2.1%,4.2%,2.6%,1.8%,5.5%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder 65 years and over,0.8%,1.1%,0.3%,0.7%,0.9%,0.2%,0.3%,0.4%,0.2%,0.5%,0.6%,0.2%,0.4%,0.6%,0.2%,0.6%,0.6%,0.6%,0.4%,0.4%,0.6%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILY TYPE AND PRESENCE OF OWN CHILDREN,,,,,,,,,,,,,,,,,,,,,,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    With related children of householder under 18 years,37.1%,36.6%,37.8%,35.3%,34.7%,36.3%,37.4%,39.8%,33.3%,27.8%,25.4%,30.7%,35.8%,34.8%,36.8%,35.4%,35.3%,35.6%,46.7%,49.6%,36.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        With own children of householder under 18 years,33.9%,33.0%,35.1%,32.6%,32.1%,33.6%,35.6%,38.3%,30.9%,25.2%,22.4%,28.7%,31.5%,29.3%,33.7%,33.3%,32.9%,33.9%,44.7%,47.6%,34.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Under 6 years only,8.1%,6.2%,10.5%,7.5%,6.9%,8.8%,8.6%,8.8%,8.2%,7.9%,6.6%,9.4%,6.9%,4.6%,9.1%,7.5%,6.9%,8.6%,9.4%,9.2%,9.9%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Under 6 years and 6 to 17 years,5.9%,5.0%,7.1%,6.1%,4.5%,9.1%,6.3%,5.8%,7.2%,5.1%,3.6%,7.0%,7.5%,5.7%,9.3%,6.0%,5.1%,7.9%,8.4%,9.3%,5.2%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            6 to 17 years only,19.9%,21.8%,17.5%,19.0%,20.8%,15.8%,20.7%,23.7%,15.5%,12.2%,12.2%,12.2%,17.1%,19.0%,15.3%,19.7%,20.9%,17.3%,26.9%,29.1%,19.1%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        No own children of householder under 18 years,3.2%,3.6%,2.7%,2.6%,2.6%,2.7%,1.8%,1.5%,2.4%,2.6%,3.0%,2.0%,4.3%,5.5%,3.1%,2.2%,2.4%,1.7%,2.0%,2.0%,2.0%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    No related children of householder under 18 years,62.9%,63.4%,62.2%,64.7%,65.3%,63.7%,62.6%,60.2%,66.7%,72.2%,74.6%,69.3%,64.2%,65.2%,63.2%,64.6%,64.7%,64.4%,53.3%,50.4%,63.8%,2015,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,,,,,,,,,,,,,,,,,,,,,,2020,tenure,"635,314","372,825","410,552","289,191","945,996","398,653","132,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Owner occupied,,,,,,,,,,,,,,,,,,,,,,2020,tenure,"358,228","244,613","262,278","157,390","476,375","273,428","103,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Renter occupied,,,,,,,,,,,,,,,,,,,,,,2020,tenure,"277,086","128,212","148,274","131,801","469,621","125,225","29,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,,,,2020,economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 16 years and over,,,,,,,,,,,,,,,,,,,,,,2020,economics,"1,549,653","831,326","860,482","560,745","2,011,053","908,390","304,587","1,549,653","831,326","860,482","560,745","2,011,053","908,390","304,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        In labor force,,,,,,,,,,,,,,,,,,,,,,2020,economics,"1,048,784","589,878","605,844","402,930","1,385,999","648,900","229,691",67.7%,71.0%,70.4%,71.9%,68.9%,71.4%,75.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Civilian labor force,,,,,,,,,,,,,,,,,,,,,,2020,economics,"1,047,831","586,232","604,772","402,373","1,384,986","637,618","228,195",67.6%,70.5%,70.3%,71.8%,68.9%,70.2%,74.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
