Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
    Building and grounds cleaning and maintenance occupations,"35,146","18,045",51.3%,"17,101",48.7%,"22,688","7,873",34.7%,"14,815",65.3%,"15,251","8,828",57.9%,"6,423",42.1%,"12,206","5,940",48.7%,"6,266",51.3%,"55,904","26,944",48.2%,"28,960",51.8%,"21,929","11,316",51.6%,"10,613",48.4%,"4,703","1,854",39.4%,"2,849",60.6%,,,,,,,
    Personal care and service occupations,"42,851","9,190",21.4%,"33,661",78.6%,"22,546","5,322",23.6%,"17,224",76.4%,"13,720","3,774",27.5%,"9,946",72.5%,"14,850","3,898",26.2%,"10,952",73.8%,"39,826","9,550",24.0%,"30,276",76.0%,"26,300","4,403",16.7%,"21,897",83.3%,"8,149","2,219",27.2%,"5,930",72.8%,,,,,,,
Sales and office occupations:,"172,746","75,125",43.5%,"97,621",56.5%,"96,424","39,664",41.1%,"56,760",58.9%,"125,447","55,753",44.4%,"69,694",55.6%,"86,837","34,722",40.0%,"52,115",60.0%,"305,813","122,102",39.9%,"183,711",60.1%,"110,523","47,636",43.1%,"62,887",56.9%,"39,086","17,080",43.7%,"22,006",56.3%,,,,,,,
    Sales and related occupations,"83,478","44,300",53.1%,"39,178",46.9%,"45,810","23,687",51.7%,"22,123",48.3%,"67,219","38,576",57.4%,"28,643",42.6%,"36,091","18,337",50.8%,"17,754",49.2%,"137,094","66,827",48.7%,"70,267",51.3%,"50,556","26,478",52.4%,"24,078",47.6%,"18,649","10,048",53.9%,"8,601",46.1%,,,,,,,
    Office and administrative support occupations,"89,268","30,825",34.5%,"58,443",65.5%,"50,614","15,977",31.6%,"34,637",68.4%,"58,228","17,177",29.5%,"41,051",70.5%,"50,746","16,385",32.3%,"34,361",67.7%,"168,719","55,275",32.8%,"113,444",67.2%,"59,967","21,158",35.3%,"38,809",64.7%,"20,437","7,032",34.4%,"13,405",65.6%,,,,,,,
"Natural resources, construction, and maintenance occupations:","61,531","59,298",96.4%,"2,233",3.6%,"32,922","32,187",97.8%,735,2.2%,"37,370","34,867",93.3%,"2,503",6.7%,"28,282","27,356",96.7%,926,3.3%,"142,722","139,126",97.5%,"3,596",2.5%,"33,906","32,447",95.7%,"1,459",4.3%,"8,581","7,953",92.7%,628,7.3%,,,,,,,
"    Farming, fishing, and forestry occupations","3,197","2,370",74.1%,827,25.9%,899,840,93.4%,59,6.6%,"1,122",777,69.3%,345,30.7%,0,0,-,0,-,"2,575","1,973",76.6%,602,23.4%,541,253,46.8%,288,53.2%,225,94,41.8%,131,58.2%,,,,,,,
    Construction and extraction occupations,"36,989","36,302",98.1%,687,1.9%,"24,702","24,301",98.4%,401,1.6%,"24,852","23,327",93.9%,"1,525",6.1%,"18,842","18,240",96.8%,602,3.2%,"102,236","101,077",98.9%,"1,159",1.1%,"22,811","22,117",97.0%,694,3.0%,"4,797","4,656",97.1%,141,2.9%,,,,,,,
"    Installation, maintenance, and repair occupations","21,345","20,626",96.6%,719,3.4%,"7,321","7,046",96.2%,275,3.8%,"11,396","10,763",94.4%,633,5.6%,"9,440","9,116",96.6%,324,3.4%,"37,911","36,076",95.2%,"1,835",4.8%,"10,554","10,077",95.5%,477,4.5%,"3,559","3,203",90.0%,356,10.0%,,,,,,,
"Production, transportation, and material moving occupations:","74,606","54,196",72.6%,"20,410",27.4%,"26,027","21,204",81.5%,"4,823",18.5%,"35,560","27,700",77.9%,"7,860",22.1%,"42,868","31,061",72.5%,"11,807",27.5%,"166,294","128,678",77.4%,"37,616",22.6%,"28,728","21,948",76.4%,"6,780",23.6%,"11,793","9,507",80.6%,"2,286",19.4%,,,,,,,
    Production occupations,"42,819","28,056",65.5%,"14,763",34.5%,"8,847","6,019",68.0%,"2,828",32.0%,"13,721","9,329",68.0%,"4,392",32.0%,"17,131","10,134",59.2%,"6,997",40.8%,"68,416","47,520",69.5%,"20,896",30.5%,"8,978","5,761",64.2%,"3,217",35.8%,"3,794","2,180",57.5%,"1,614",42.5%,,,,,,,
    Transportation occupations,"18,420","15,255",82.8%,"3,165",17.2%,"13,403","12,160",90.7%,"1,243",9.3%,"14,950","12,091",80.9%,"2,859",19.1%,"11,402","9,951",87.3%,"1,451",12.7%,"49,209","44,003",89.4%,"5,206",10.6%,"14,768","12,531",84.9%,"2,237",15.1%,"5,346","4,736",88.6%,610,11.4%,,,,,,,
Civilian employed population 16 years and over,"1,003,304","560,555",55.9%,"442,749",44.1%,"559,029","287,272",51.4%,"271,757",48.6%,"579,420","302,907",52.3%,"276,513",47.7%,"383,444","194,858",50.8%,"188,586",49.2%,"1,315,440","712,370",54.2%,"603,070",45.8%,"611,782","325,491",53.2%,"286,291",46.8%,"220,064","118,520",53.9%,"101,544",46.1%,,,,,,,
"    Management, business, science, and arts occupations:","557,191","317,330",57.0%,"239,861",43.0%,"320,180","160,321",50.1%,"159,859",49.9%,"309,554","156,787",50.6%,"152,767",49.4%,"170,940","79,986",46.8%,"90,954",53.2%,"480,246","233,583",48.6%,"246,663",51.4%,"360,066","190,329",52.9%,"169,737",47.1%,"131,832","71,257",54.1%,"60,575",45.9%,,,,,,,
"        Management, business, and financial occupations:","200,756","109,319",54.5%,"91,437",45.5%,"122,839","63,719",51.9%,"59,120",48.1%,"131,866","70,679",53.6%,"61,187",46.4%,"68,969","34,395",49.9%,"34,574",50.1%,"217,229","114,551",52.7%,"102,678",47.3%,"156,959","85,398",54.4%,"71,561",45.6%,"59,600","32,330",54.2%,"27,270",45.8%,,,,,,,
            Management occupations,"132,889","80,121",60.3%,"52,768",39.7%,"73,873","40,044",54.2%,"33,829",45.8%,"81,413","47,777",58.7%,"33,636",41.3%,"42,959","22,781",53.0%,"20,178",47.0%,"127,735","73,926",57.9%,"53,809",42.1%,"93,405","54,999",58.9%,"38,406",41.1%,"36,490","21,427",58.7%,"15,063",41.3%,,,,,,,
            Business and financial operations occupations,"67,867","29,198",43.0%,"38,669",57.0%,"48,966","23,675",48.3%,"25,291",51.7%,"50,453","22,902",45.4%,"27,551",54.6%,"26,010","11,614",44.7%,"14,396",55.3%,"89,494","40,625",45.4%,"48,869",54.6%,"63,554","30,399",47.8%,"33,155",52.2%,"23,110","10,903",47.2%,"12,207",52.8%,,,,,,,
"        Computer, engineering, and science occupations:","211,626","158,615",75.0%,"53,011",25.0%,"79,122","52,675",66.6%,"26,447",33.4%,"74,406","53,735",72.2%,"20,671",27.8%,"23,853","16,623",69.7%,"7,230",30.3%,"79,907","58,675",73.4%,"21,232",26.6%,"93,648","65,843",70.3%,"27,805",29.7%,"39,961","29,511",73.8%,"10,450",26.2%,,,,,,,
            Computer and mathematical occupations,"128,048","97,382",76.1%,"30,666",23.9%,"40,980","29,397",71.7%,"11,583",28.3%,"46,167","34,205",74.1%,"11,962",25.9%,"13,908","10,336",74.3%,"3,572",25.7%,"51,122","36,928",72.2%,"14,194",27.8%,"67,202","48,069",71.5%,"19,133",28.5%,"30,204","22,106",73.2%,"8,098",26.8%,,,,,,,
            Architecture and engineering occupations,"66,382","52,680",79.4%,"13,702",20.6%,"13,583","10,674",78.6%,"2,909",21.4%,"17,454","14,009",80.3%,"3,445",19.7%,"5,522","4,583",83.0%,939,17.0%,"21,164","17,774",84.0%,"3,390",16.0%,"15,654","12,282",78.5%,"3,372",21.5%,"7,163","5,818",81.2%,"1,345",18.8%,,,,,,,
"            Life, physical, and social science occupations","17,196","8,553",49.7%,"8,643",50.3%,"24,559","12,604",51.3%,"11,955",48.7%,"10,785","5,521",51.2%,"5,264",48.8%,"4,423","1,704",38.5%,"2,719",61.5%,"7,621","3,973",52.1%,"3,648",47.9%,"10,792","5,492",50.9%,"5,300",49.1%,"2,594","1,587",61.2%,"1,007",38.8%,,,,,,,
"        Education, legal, community service, arts, and media occupations:","100,669","37,147",36.9%,"63,522",63.1%,"85,615","33,385",39.0%,"52,230",61.0%,"69,608","24,559",35.3%,"45,049",64.7%,"52,846","22,259",42.1%,"30,587",57.9%,"122,380","43,836",35.8%,"78,544",64.2%,"82,513","31,691",38.4%,"50,822",61.6%,"24,405","7,349",30.1%,"17,056",69.9%,,,,,,,
            Community and social service occupations,"11,622","3,848",33.1%,"7,774",66.9%,"10,200","3,951",38.7%,"6,249",61.3%,"10,213","3,140",30.7%,"7,073",69.3%,"6,494","2,019",31.1%,"4,475",68.9%,"15,640","5,878",37.6%,"9,762",62.4%,"8,921","2,989",33.5%,"5,932",66.5%,"2,269",440,19.4%,"1,829",80.6%,,,,,,,
            Legal occupations,"11,488","5,104",44.4%,"6,384",55.6%,"18,736","10,142",54.1%,"8,594",45.9%,"8,203","3,682",44.9%,"4,521",55.1%,"6,471","3,071",47.5%,"3,400",52.5%,"18,356","8,932",48.7%,"9,424",51.3%,"16,907","9,952",58.9%,"6,955",41.1%,"2,760","1,735",62.9%,"1,025",37.1%,,,,,,,
"            Educational instruction, and library occupations","56,163","17,085",30.4%,"39,078",69.6%,"37,859","10,622",28.1%,"27,237",71.9%,"36,159","9,960",27.5%,"26,199",72.5%,"23,358","7,539",32.3%,"15,819",67.7%,"63,287","16,484",26.0%,"46,803",74.0%,"38,486","10,555",27.4%,"27,931",72.6%,"14,293","2,947",20.6%,"11,346",79.4%,,,,,,,
"            Arts, design, entertainment, sports, and media occupations","21,396","11,110",51.9%,"10,286",48.1%,"18,820","8,670",46.1%,"10,150",53.9%,"15,033","7,777",51.7%,"7,256",48.3%,"16,523","9,630",58.3%,"6,893",41.7%,"25,097","12,542",50.0%,"12,555",50.0%,"18,199","8,195",45.0%,"10,004",55.0%,"5,083","2,227",43.8%,"2,856",56.2%,,,,,,,
        Healthcare practitioners and technical occupations:,"44,140","12,249",27.8%,"31,891",72.2%,"32,604","10,542",32.3%,"22,062",67.7%,"33,674","7,814",23.2%,"25,860",76.8%,"25,272","6,709",26.5%,"18,563",73.5%,"60,730","16,521",27.2%,"44,209",72.8%,"26,946","7,397",27.5%,"19,549",72.5%,"7,866","2,067",26.3%,"5,799",73.7%,,,,,,,
            Health diagnosing and treating practitioners and other technical occupations,"33,094","8,600",26.0%,"24,494",74.0%,"24,721","8,113",32.8%,"16,608",67.2%,"24,508","6,033",24.6%,"18,475",75.4%,"19,161","4,910",25.6%,"14,251",74.4%,"40,825","11,582",28.4%,"29,243",71.6%,"20,424","5,558",27.2%,"14,866",72.8%,"5,881","1,553",26.4%,"4,328",73.6%,,,,,,,
            Health technologists and technicians,"11,046","3,649",33.0%,"7,397",67.0%,"7,883","2,429",30.8%,"5,454",69.2%,"9,166","1,781",19.4%,"7,385",80.6%,"6,111","1,799",29.4%,"4,312",70.6%,"19,905","4,939",24.8%,"14,966",75.2%,"6,522","1,839",28.2%,"4,683",71.8%,"1,985",514,25.9%,"1,471",74.1%,,,,,,,
    Service occupations:,"143,895","64,231",44.6%,"79,664",55.4%,"82,859","33,238",40.1%,"49,621",59.9%,"73,620","33,020",44.9%,"40,600",55.1%,"59,561","26,589",44.6%,"32,972",55.4%,"218,849","93,995",42.9%,"124,854",57.1%,"88,671","38,100",43.0%,"50,571",57.0%,"28,217","12,470",44.2%,"15,747",55.8%,,,,,,,
        Healthcare support occupations,"30,682","6,929",22.6%,"23,753",77.4%,"13,577","2,186",16.1%,"11,391",83.9%,"11,465","1,868",16.3%,"9,597",83.7%,"7,657","1,634",21.3%,"6,023",78.7%,"36,015","5,403",15.0%,"30,612",85.0%,"10,128","2,123",21.0%,"8,005",79.0%,"2,837",528,18.6%,"2,309",81.4%,,,,,,,
        Protective service occupations:,"13,125","10,435",79.5%,"2,690",20.5%,"7,879","6,393",81.1%,"1,486",18.9%,"7,619","5,452",71.6%,"2,167",28.4%,"5,342","3,676",68.8%,"1,666",31.2%,"20,640","14,838",71.9%,"5,802",28.1%,"12,223","9,198",75.3%,"3,025",24.7%,"4,833","3,944",81.6%,889,18.4%,,,,,,,
"            Firefighting and prevention, and other protective service workers including supervisors","9,628","7,599",78.9%,"2,029",21.1%,"4,632","3,694",79.7%,938,20.3%,"4,350","3,063",70.4%,"1,287",29.6%,"3,779","2,502",66.2%,"1,277",33.8%,"14,673","10,489",71.5%,"4,184",28.5%,"7,254","5,307",73.2%,"1,947",26.8%,"2,538","1,885",74.3%,653,25.7%,,,,,,,
            Law enforcement workers including supervisors,"3,497","2,836",81.1%,661,18.9%,"3,247","2,699",83.1%,548,16.9%,"3,269","2,389",73.1%,880,26.9%,"1,563","1,174",75.1%,389,24.9%,"5,967","4,349",72.9%,"1,618",27.1%,"4,969","3,891",78.3%,"1,078",21.7%,"2,295","2,059",89.7%,236,10.3%,,,,,,,
        Food preparation and serving related occupations,"44,920","23,922",53.3%,"20,998",46.7%,"23,001","11,344",49.3%,"11,657",50.7%,"26,115","13,334",51.1%,"12,781",48.9%,"24,788","12,096",48.8%,"12,692",51.2%,"72,879","34,485",47.3%,"38,394",52.7%,"28,425","13,950",49.1%,"14,475",50.9%,"8,831","4,143",46.9%,"4,688",53.1%,,,,,,,
        Building and grounds cleaning and maintenance occupations,"29,038","17,651",60.8%,"11,387",39.2%,"20,632","9,311",45.1%,"11,321",54.9%,"14,985","9,285",62.0%,"5,700",38.0%,"12,754","7,033",55.1%,"5,721",44.9%,"57,694","30,883",53.5%,"26,811",46.5%,"19,074","9,019",47.3%,"10,055",52.7%,"4,811","2,651",55.1%,"2,160",44.9%,,,,,,,
        Personal care and service occupations,"26,130","5,294",20.3%,"20,836",79.7%,"17,770","4,004",22.5%,"13,766",77.5%,"13,436","3,081",22.9%,"10,355",77.1%,"9,020","2,150",23.8%,"6,870",76.2%,"31,621","8,386",26.5%,"23,235",73.5%,"18,821","3,810",20.2%,"15,011",79.8%,"6,905","1,204",17.4%,"5,701",82.6%,,,,,,,
    Sales and office occupations:,"164,306","66,758",40.6%,"97,548",59.4%,"91,947","37,729",41.0%,"54,218",59.0%,"121,006","49,810",41.2%,"71,196",58.8%,"81,666","31,093",38.1%,"50,573",61.9%,"287,903","110,013",38.2%,"177,890",61.8%,"98,762","40,873",41.4%,"57,889",58.6%,"39,460","17,140",43.4%,"22,320",56.6%,,,,,,,
        Sales and related occupations,"78,080","40,473",51.8%,"37,607",48.2%,"43,765","23,281",53.2%,"20,484",46.8%,"62,827","32,989",52.5%,"29,838",47.5%,"38,063","19,514",51.3%,"18,549",48.7%,"131,235","65,903",50.2%,"65,332",49.8%,"46,443","24,468",52.7%,"21,975",47.3%,"20,448","10,856",53.1%,"9,592",46.9%,,,,,,,
        Office and administrative support occupations,"86,226","26,285",30.5%,"59,941",69.5%,"48,182","14,448",30.0%,"33,734",70.0%,"58,179","16,821",28.9%,"41,358",71.1%,"43,603","11,579",26.6%,"32,024",73.4%,"156,668","44,110",28.2%,"112,558",71.8%,"52,319","16,405",31.4%,"35,914",68.6%,"19,012","6,284",33.1%,"12,728",66.9%,,,,,,,
"    Natural resources, construction, and maintenance occupations:","57,949","55,081",95.1%,"2,868",4.9%,"31,763","30,460",95.9%,"1,303",4.1%,"31,914","30,418",95.3%,"1,496",4.7%,"25,310","23,884",94.4%,"1,426",5.6%,"151,245","146,304",96.7%,"4,941",3.3%,"31,547","30,499",96.7%,"1,048",3.3%,"9,337","9,034",96.8%,303,3.2%,,,,,,,
"        Farming, fishing, and forestry occupations","3,479","2,238",64.3%,"1,241",35.7%,492,232,47.2%,260,52.8%,732,509,69.5%,223,30.5%,454,306,67.4%,148,32.6%,"1,223",825,67.5%,398,32.5%,251,211,84.1%,40,15.9%,551,524,95.1%,27,4.9%,,,,,,,
        Construction and extraction occupations,"36,553","35,739",97.8%,814,2.2%,"21,192","20,543",96.9%,649,3.1%,"20,091","19,332",96.2%,759,3.8%,"17,560","16,812",95.7%,748,4.3%,"110,347","107,795",97.7%,"2,552",2.3%,"22,147","21,361",96.5%,786,3.5%,"5,834","5,705",97.8%,129,2.2%,,,,,,,
"        Installation, maintenance, and repair occupations","17,917","17,104",95.5%,813,4.5%,"10,079","9,685",96.1%,394,3.9%,"11,091","10,577",95.4%,514,4.6%,"7,296","6,766",92.7%,530,7.3%,"39,675","37,684",95.0%,"1,991",5.0%,"9,149","8,927",97.6%,222,2.4%,"2,952","2,805",95.0%,147,5.0%,,,,,,,
"    Production, transportation, and material moving occupations:","79,963","57,155",71.5%,"22,808",28.5%,"32,280","25,524",79.1%,"6,756",20.9%,"43,326","32,872",75.9%,"10,454",24.1%,"45,967","33,306",72.5%,"12,661",27.5%,"177,197","128,475",72.5%,"48,722",27.5%,"32,736","25,690",78.5%,"7,046",21.5%,"11,218","8,619",76.8%,"2,599",23.2%,,,,,,,
        Production occupations,"40,150","25,670",63.9%,"14,480",36.1%,"9,919","6,846",69.0%,"3,073",31.0%,"16,535","11,456",69.3%,"5,079",30.7%,"17,259","11,097",64.3%,"6,162",35.7%,"66,973","43,172",64.5%,"23,801",35.5%,"9,023","5,779",64.0%,"3,244",36.0%,"3,336","2,299",68.9%,"1,037",31.1%,,,,,,,
        Transportation occupations,"20,789","17,780",85.5%,"3,009",14.5%,"14,073","12,486",88.7%,"1,587",11.3%,"15,260","12,463",81.7%,"2,797",18.3%,"14,045","11,596",82.6%,"2,449",17.4%,"51,643","44,232",85.6%,"7,411",14.4%,"15,083","13,344",88.5%,"1,739",11.5%,"5,274","4,392",83.3%,882,16.7%,,,,,,,
Civilian employed population 16 years and over,"1,011,709","558,143",55.2%,"453,566",44.8%,"567,498","287,248",50.6%,"280,250",49.4%,"646,091","337,351",52.2%,"308,740",47.8%,"409,433","209,153",51.1%,"200,280",48.9%,"1,348,084","725,866",53.8%,"622,218",46.2%,"614,947","325,968",53.0%,"288,979",47.0%,"236,508","129,252",54.7%,"107,256",45.3%,,,,,,,
"    Management, business, science, and arts occupations:","597,771","337,063",56.4%,"260,708",43.6%,"341,339","167,242",49.0%,"174,097",51.0%,"382,817","198,278",51.8%,"184,539",48.2%,"214,372","99,912",46.6%,"114,460",53.4%,"545,454","266,443",48.8%,"279,011",51.2%,"386,226","201,781",52.2%,"184,445",47.8%,"153,579","85,270",55.5%,"68,309",44.5%,,,,,,,
"        Management, business, and financial occupations:","206,613","111,655",54.0%,"94,958",46.0%,"132,768","66,251",49.9%,"66,517",50.1%,"163,480","87,161",53.3%,"76,319",46.7%,"94,500","47,051",49.8%,"47,449",50.2%,"245,578","127,510",51.9%,"118,068",48.1%,"164,849","84,001",51.0%,"80,848",49.0%,"69,603","39,466",56.7%,"30,137",43.3%,,,,,,,
            Management occupations,"141,992","84,040",59.2%,"57,952",40.8%,"79,547","40,306",50.7%,"39,241",49.3%,"106,445","62,508",58.7%,"43,937",41.3%,"59,885","31,856",53.2%,"28,029",46.8%,"140,029","79,062",56.5%,"60,967",43.5%,"97,233","52,487",54.0%,"44,746",46.0%,"46,185","28,068",60.8%,"18,117",39.2%,,,,,,,
            Business and financial operations occupations,"64,621","27,615",42.7%,"37,006",57.3%,"53,221","25,945",48.7%,"27,276",51.3%,"57,035","24,653",43.2%,"32,382",56.8%,"34,615","15,195",43.9%,"19,420",56.1%,"105,549","48,448",45.9%,"57,101",54.1%,"67,616","31,514",46.6%,"36,102",53.4%,"23,418","11,398",48.7%,"12,020",51.3%,,,,,,,
"        Computer, engineering, and science occupations:","246,259","176,586",71.7%,"69,673",28.3%,"89,450","57,308",64.1%,"32,142",35.9%,"104,955","74,944",71.4%,"30,011",28.6%,"30,229","21,308",70.5%,"8,921",29.5%,"95,923","73,534",76.7%,"22,389",23.3%,"105,473","77,090",73.1%,"28,383",26.9%,"47,836","34,912",73.0%,"12,924",27.0%,,,,,,,
            Computer and mathematical occupations,"144,198","102,663",71.2%,"41,535",28.8%,"45,981","31,434",68.4%,"14,547",31.6%,"57,141","42,707",74.7%,"14,434",25.3%,"18,804","13,578",72.2%,"5,226",27.8%,"61,944","48,659",78.6%,"13,285",21.4%,"73,478","54,960",74.8%,"18,518",25.2%,"38,056","27,659",72.7%,"10,397",27.3%,,,,,,,
            Architecture and engineering occupations,"80,862","63,236",78.2%,"17,626",21.8%,"13,166","10,183",77.3%,"2,983",22.7%,"27,760","21,917",79.0%,"5,843",21.0%,"6,443","5,176",80.3%,"1,267",19.7%,"23,923","19,695",82.3%,"4,228",17.7%,"21,413","16,611",77.6%,"4,802",22.4%,"7,638","6,005",78.6%,"1,633",21.4%,,,,,,,
"            Life, physical, and social science occupations","21,199","10,687",50.4%,"10,512",49.6%,"30,303","15,691",51.8%,"14,612",48.2%,"20,054","10,320",51.5%,"9,734",48.5%,"4,982","2,554",51.3%,"2,428",48.7%,"10,056","5,180",51.5%,"4,876",48.5%,"10,582","5,519",52.2%,"5,063",47.8%,"2,142","1,248",58.3%,894,41.7%,,,,,,,
"        Education, legal, community service, arts, and media occupations:","97,203","33,617",34.6%,"63,586",65.4%,"88,547","35,958",40.6%,"52,589",59.4%,"73,147","25,576",35.0%,"47,571",65.0%,"59,148","24,159",40.8%,"34,989",59.2%,"137,547","48,831",35.5%,"88,716",64.5%,"85,288","32,527",38.1%,"52,761",61.9%,"27,363","8,583",31.4%,"18,780",68.6%,,,,,,,
            Community and social service occupations,"11,669","3,931",33.7%,"7,738",66.3%,"10,112","3,187",31.5%,"6,925",68.5%,"9,881","3,712",37.6%,"6,169",62.4%,"5,464","1,858",34.0%,"3,606",66.0%,"16,444","4,951",30.1%,"11,493",69.9%,"6,554","2,229",34.0%,"4,325",66.0%,"3,008","1,057",35.1%,"1,951",64.9%,,,,,,,
            Legal occupations,"8,996","3,813",42.4%,"5,183",57.6%,"19,276","11,134",57.8%,"8,142",42.2%,"9,009","3,510",39.0%,"5,499",61.0%,"8,230","3,916",47.6%,"4,314",52.4%,"21,807","11,049",50.7%,"10,758",49.3%,"20,606","12,232",59.4%,"8,374",40.6%,"1,728",958,55.4%,770,44.6%,,,,,,,
"            Educational instruction, and library occupations","54,545","16,000",29.3%,"38,545",70.7%,"39,379","11,219",28.5%,"28,160",71.5%,"36,832","10,727",29.1%,"26,105",70.9%,"25,483","6,998",27.5%,"18,485",72.5%,"73,393","19,100",26.0%,"54,293",74.0%,"34,772","8,796",25.3%,"25,976",74.7%,"17,567","4,853",27.6%,"12,714",72.4%,,,,,,,
"            Arts, design, entertainment, sports, and media occupations","21,993","9,873",44.9%,"12,120",55.1%,"19,780","10,418",52.7%,"9,362",47.3%,"17,425","7,627",43.8%,"9,798",56.2%,"19,971","11,387",57.0%,"8,584",43.0%,"25,903","13,731",53.0%,"12,172",47.0%,"23,356","9,270",39.7%,"14,086",60.3%,"5,060","1,715",33.9%,"3,345",66.1%,,,,,,,
        Healthcare practitioners and technical occupations:,"47,696","15,205",31.9%,"32,491",68.1%,"30,574","7,725",25.3%,"22,849",74.7%,"41,235","10,597",25.7%,"30,638",74.3%,"30,495","7,394",24.2%,"23,101",75.8%,"66,406","16,568",24.9%,"49,838",75.1%,"30,616","8,163",26.7%,"22,453",73.3%,"8,777","2,309",26.3%,"6,468",73.7%,,,,,,,
            Health diagnosing and treating practitioners and other technical occupations,"34,408","10,319",30.0%,"24,089",70.0%,"24,519","5,891",24.0%,"18,628",76.0%,"30,024","7,939",26.4%,"22,085",73.6%,"24,240","6,906",28.5%,"17,334",71.5%,"46,064","11,538",25.0%,"34,526",75.0%,"23,693","6,223",26.3%,"17,470",73.7%,"5,732","1,250",21.8%,"4,482",78.2%,,,,,,,
            Health technologists and technicians,"13,288","4,886",36.8%,"8,402",63.2%,"6,055","1,834",30.3%,"4,221",69.7%,"11,211","2,658",23.7%,"8,553",76.3%,"6,255",488,7.8%,"5,767",92.2%,"20,342","5,030",24.7%,"15,312",75.3%,"6,923","1,940",28.0%,"4,983",72.0%,"3,045","1,059",34.8%,"1,986",65.2%,,,,,,,
    Service occupations:,"137,955","57,722",41.8%,"80,233",58.2%,"80,400","28,895",35.9%,"51,505",64.1%,"73,915","31,792",43.0%,"42,123",57.0%,"56,465","22,722",40.2%,"33,743",59.8%,"197,941","81,932",41.4%,"116,009",58.6%,"77,647","34,076",43.9%,"43,571",56.1%,"25,099","9,738",38.8%,"15,361",61.2%,,,,,,,
        Healthcare support occupations,"34,653","8,638",24.9%,"26,015",75.1%,"13,359","2,370",17.7%,"10,989",82.3%,"11,918",996,8.4%,"10,922",91.6%,"8,951","1,419",15.9%,"7,532",84.1%,"32,581","5,523",17.0%,"27,058",83.0%,"10,392","1,691",16.3%,"8,701",83.7%,"3,747",847,22.6%,"2,900",77.4%,,,,,,,
        Protective service occupations:,"12,765","10,411",81.6%,"2,354",18.4%,"8,545","5,857",68.5%,"2,688",31.5%,"8,608","6,443",74.8%,"2,165",25.2%,"4,442","2,956",66.5%,"1,486",33.5%,"22,573","13,899",61.6%,"8,674",38.4%,"12,065","8,769",72.7%,"3,296",27.3%,"5,741","4,279",74.5%,"1,462",25.5%,,,,,,,
"            Firefighting and prevention, and other protective service workers including supervisors","9,380","7,678",81.9%,"1,702",18.1%,"5,924","4,177",70.5%,"1,747",29.5%,"4,153","2,749",66.2%,"1,404",33.8%,"3,081","1,804",58.6%,"1,277",41.4%,"15,068","9,265",61.5%,"5,803",38.5%,"7,642","5,442",71.2%,"2,200",28.8%,"2,863","1,859",64.9%,"1,004",35.1%,,,,,,,
            Law enforcement workers including supervisors,"3,385","2,733",80.7%,652,19.3%,"2,621","1,680",64.1%,941,35.9%,"4,455","3,694",82.9%,761,17.1%,"1,361","1,152",84.6%,209,15.4%,"7,505","4,634",61.7%,"2,871",38.3%,"4,423","3,327",75.2%,"1,096",24.8%,"2,878","2,420",84.1%,458,15.9%,,,,,,,
