label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
Bottled tank or LP gas,14966,7526,13967,4894,13109,7927,11726
Electricity,244417,164798,263761,230138,615644,176144,45498
Fuel oil kerosene etc.,528,8851,770,402,424,3540,1734
Coal or coke,40,155,0,0,0,111,0
Wood,1004,745,654,277,425,331,513
Solar energy,6558,1219,1186,327,2532,272,188
Other fuel,1137,464,671,1053,1392,2014,243
No fuel used,11798,2702,1434,2931,6410,1789,312
Lacking complete plumbing facilities,4007,780,197,751,4311,866,216
Lacking complete kitchen facilities,7697,1738,2245,2683,9679,1570,814
No telephone service available,7409,2588,1343,1930,8457,2435,702
1.00 or less,616408,380206,472468,329124,928631,399390,143168
1.01 to 1.50,25793,8449,5872,7848,42968,8966,1705
1.51 or more,23348,3974,2954,4625,21713,6590,728
Owner-occupied units,360190,252963,307341,180349,499830,280307,113560
Less than $50000,5404,4342,6941,2620,18841,3281,1535
$50000 to $99999,2613,1575,2757,2163,12859,2094,444
$100000 to $149999,4490,1779,3928,2530,25278,1148,651
$150000 to $199999,3426,3929,7665,5035,39444,2286,201
$200000 to $299999,6816,15142,31951,27261,134150,9589,1976
$300000 to $499999,9244,57675,110895,71727,153070,43519,15151
$500000 to $999999,62003,121743,122827,48413,84403,159664,69956
$1000000 or more,266194,46778,20377,20600,31785,58726,23646
Median (dollars),1443100,636200,482100,437700,319100,727200,734700
Housing units with a mortgage,235931,180196,225926,126900,285924,195790,89200
Housing units without a mortgage,124259,72767,81415,53449,213906,84517,24360
Less than $500,915,749,1127,718,564,939,332
$500 to $999,2822,2860,14633,9048,12278,2121,843
$1000 to $1499,5905,12238,40226,31310,44164,7236,3547
$1500 to $1999,10357,23298,53705,29098,66499,16530,6659
$2000 to $2499,16394,32947,45800,21253,54812,30182,15125
$2500 to $2999,21728,29577,28557,13790,31358,33950,15176
$3000 or more,177810,78527,41878,21683,76249,104832,47518
Median (dollars),4000+,2804,2036,1882,2177,3123,3103
Less than $250,2032,917,2666,1473,7201,1726,187
$250 to $399,4449,2045,9658,7298,19464,1370,689
$400 to $599,10495,8036,26856,18726,39204,6071,1725
$600 to $799,16373,15240,20669,11434,42283,13489,5743
$800 to $999,20100,14320,9731,6162,36127,15640,6663
$1000 or more,70810,32209,11835,8356,69627,46221,9353
Median (dollars),1143,940,614,591,795,1044,929
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),235054,179457,225347,126252,284122,195719,88917
Less than 20.0 percent,102008,89490,130804,59279,117113,94810,51060
20.0 to 24.9 percent,34701,25098,26111,18195,41268,33837,12790
25.0 to 29.9 percent,24384,18573,20832,13564,30045,19776,9130
30.0 to 34.9 percent,18452,10085,13064,9207,22170,10506,4338
35.0 percent or more,55509,36211,34536,26007,73526,36790,11599
Not computed,877,739,579,648,1802,71,283
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),122501,71910,80004,52727,210047,83549,24360
Less than 10.0 percent,59652,41009,47792,28289,77154,42664,16029
10.0 to 14.9 percent,21393,12266,12617,9993,45929,14848,3233
15.0 to 19.9 percent,9668,4764,5714,4248,26138,7489,1499
20.0 to 24.9 percent,6458,3487,3343,3111,15897,5092,1044
25.0 to 29.9 percent,4876,2267,2316,2622,9410,2487,400
30.0 to 34.9 percent,3222,1041,1481,831,8175,2189,335
35.0 percent or more,17232,7076,6741,3633,27344,8780,1820
Not computed,1758,857,1411,722,3859,968,0
Occupied units paying rent,298289,136129,170330,157969,483411,132232,N
Less than $500,8051,3589,3720,8462,11769,2431,N
$500 to $999,9861,4120,15907,11906,34470,4339,N
$1000 to $1499,14764,15326,45753,46619,164863,10773,N
$1500 to $1999,33031,46510,64978,50157,158173,36201,N
$2000 to $2499,50491,33512,26376,25635,68334,39636,N
$2500 to $2999,58537,15465,8671,8450,26713,18565,N
$3000 or more,123554,17607,4925,6740,19089,20287,N
Median (dollars),2781,1984,1652,1620,1597,2156,2321
No rent paid,7070,3537,3623,3279,10071,2407,N
Occupied units paying rent (excluding units where GRAPI cannot be computed),293621,133138,168415,155336,473885,130720,30829
Less than 15.0 percent,47883,13133,23112,16158,39852,14691,3586
15.0 to 19.9 percent,39932,17562,21474,18173,58728,19063,3955
20.0 to 24.9 percent,35999,15895,20226,22333,55863,19642,5546
25.0 to 29.9 percent,33119,15137,24394,19261,62501,18335,4108
30.0 to 34.9 percent,26905,11935,19205,13258,49977,13242,2381
35.0 percent or more,109783,59476,60004,66153,206964,45747,11253
Not computed,11738,6528,5538,5912,19597,3919,1212
