label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Management business science and arts occupations:,557191,317330,57.00%,239861,43.00%,320180,160321,50.10%,159859,49.90%,309554,156787,50.60%,152767,49.40%,170940,79986,46.80%,90954,53.20%,480246,233583,48.60%,246663,51.40%,360066,190329,52.90%,169737,47.10%,131832,71257,54.10%,60575,45.90%,NA,NA,NA,NA,NA,NA,NA
Management business and financial occupations:,200756,109319,54.50%,91437,45.50%,122839,63719,51.90%,59120,48.10%,131866,70679,53.60%,61187,46.40%,68969,34395,49.90%,34574,50.10%,217229,114551,52.70%,102678,47.30%,156959,85398,54.40%,71561,45.60%,59600,32330,54.20%,27270,45.80%,NA,NA,NA,NA,NA,NA,NA
Management occupations,132889,80121,60.30%,52768,39.70%,73873,40044,54.20%,33829,45.80%,81413,47777,58.70%,33636,41.30%,42959,22781,53.00%,20178,47.00%,127735,73926,57.90%,53809,42.10%,93405,54999,58.90%,38406,41.10%,36490,21427,58.70%,15063,41.30%,NA,NA,NA,NA,NA,NA,NA
Business and financial operations occupations,67867,29198,43.00%,38669,57.00%,48966,23675,48.30%,25291,51.70%,50453,22902,45.40%,27551,54.60%,26010,11614,44.70%,14396,55.30%,89494,40625,45.40%,48869,54.60%,63554,30399,47.80%,33155,52.20%,23110,10903,47.20%,12207,52.80%,NA,NA,NA,NA,NA,NA,NA
Computer engineering and science occupations:,211626,158615,75.00%,53011,25.00%,79122,52675,66.60%,26447,33.40%,74406,53735,72.20%,20671,27.80%,23853,16623,69.70%,7230,30.30%,79907,58675,73.40%,21232,26.60%,93648,65843,70.30%,27805,29.70%,39961,29511,73.80%,10450,26.20%,NA,NA,NA,NA,NA,NA,NA
Computer and mathematical occupations,128048,97382,76.10%,30666,23.90%,40980,29397,71.70%,11583,28.30%,46167,34205,74.10%,11962,25.90%,13908,10336,74.30%,3572,25.70%,51122,36928,72.20%,14194,27.80%,67202,48069,71.50%,19133,28.50%,30204,22106,73.20%,8098,26.80%,NA,NA,NA,NA,NA,NA,NA
Architecture and engineering occupations,66382,52680,79.40%,13702,20.60%,13583,10674,78.60%,2909,21.40%,17454,14009,80.30%,3445,19.70%,5522,4583,83.00%,939,17.00%,21164,17774,84.00%,3390,16.00%,15654,12282,78.50%,3372,21.50%,7163,5818,81.20%,1345,18.80%,NA,NA,NA,NA,NA,NA,NA
Life physical and social science occupations,17196,8553,49.70%,8643,50.30%,24559,12604,51.30%,11955,48.70%,10785,5521,51.20%,5264,48.80%,4423,1704,38.50%,2719,61.50%,7621,3973,52.10%,3648,47.90%,10792,5492,50.90%,5300,49.10%,2594,1587,61.20%,1007,38.80%,NA,NA,NA,NA,NA,NA,NA
Education legal community service arts and media occupations:,100669,37147,36.90%,63522,63.10%,85615,33385,39.00%,52230,61.00%,69608,24559,35.30%,45049,64.70%,52846,22259,42.10%,30587,57.90%,122380,43836,35.80%,78544,64.20%,82513,31691,38.40%,50822,61.60%,24405,7349,30.10%,17056,69.90%,NA,NA,NA,NA,NA,NA,NA
Community and social service occupations,11622,3848,33.10%,7774,66.90%,10200,3951,38.70%,6249,61.30%,10213,3140,30.70%,7073,69.30%,6494,2019,31.10%,4475,68.90%,15640,5878,37.60%,9762,62.40%,8921,2989,33.50%,5932,66.50%,2269,440,19.40%,1829,80.60%,NA,NA,NA,NA,NA,NA,NA
Legal occupations,11488,5104,44.40%,6384,55.60%,18736,10142,54.10%,8594,45.90%,8203,3682,44.90%,4521,55.10%,6471,3071,47.50%,3400,52.50%,18356,8932,48.70%,9424,51.30%,16907,9952,58.90%,6955,41.10%,2760,1735,62.90%,1025,37.10%,NA,NA,NA,NA,NA,NA,NA
Educational instruction and library occupations,56163,17085,30.40%,39078,69.60%,37859,10622,28.10%,27237,71.90%,36159,9960,27.50%,26199,72.50%,23358,7539,32.30%,15819,67.70%,63287,16484,26.00%,46803,74.00%,38486,10555,27.40%,27931,72.60%,14293,2947,20.60%,11346,79.40%,NA,NA,NA,NA,NA,NA,NA
Arts design entertainment sports and media occupations,21396,11110,51.90%,10286,48.10%,18820,8670,46.10%,10150,53.90%,15033,7777,51.70%,7256,48.30%,16523,9630,58.30%,6893,41.70%,25097,12542,50.00%,12555,50.00%,18199,8195,45.00%,10004,55.00%,5083,2227,43.80%,2856,56.20%,NA,NA,NA,NA,NA,NA,NA
Healthcare practitioners and technical occupations:,44140,12249,27.80%,31891,72.20%,32604,10542,32.30%,22062,67.70%,33674,7814,23.20%,25860,76.80%,25272,6709,26.50%,18563,73.50%,60730,16521,27.20%,44209,72.80%,26946,7397,27.50%,19549,72.50%,7866,2067,26.30%,5799,73.70%,NA,NA,NA,NA,NA,NA,NA
Health diagnosing and treating practitioners and other technical occupations,33094,8600,26.00%,24494,74.00%,24721,8113,32.80%,16608,67.20%,24508,6033,24.60%,18475,75.40%,19161,4910,25.60%,14251,74.40%,40825,11582,28.40%,29243,71.60%,20424,5558,27.20%,14866,72.80%,5881,1553,26.40%,4328,73.60%,NA,NA,NA,NA,NA,NA,NA
Health technologists and technicians,11046,3649,33.00%,7397,67.00%,7883,2429,30.80%,5454,69.20%,9166,1781,19.40%,7385,80.60%,6111,1799,29.40%,4312,70.60%,19905,4939,24.80%,14966,75.20%,6522,1839,28.20%,4683,71.80%,1985,514,25.90%,1471,74.10%,NA,NA,NA,NA,NA,NA,NA
Service occupations:,143895,64231,44.60%,79664,55.40%,82859,33238,40.10%,49621,59.90%,73620,33020,44.90%,40600,55.10%,59561,26589,44.60%,32972,55.40%,218849,93995,42.90%,124854,57.10%,88671,38100,43.00%,50571,57.00%,28217,12470,44.20%,15747,55.80%,NA,NA,NA,NA,NA,NA,NA
Healthcare support occupations,30682,6929,22.60%,23753,77.40%,13577,2186,16.10%,11391,83.90%,11465,1868,16.30%,9597,83.70%,7657,1634,21.30%,6023,78.70%,36015,5403,15.00%,30612,85.00%,10128,2123,21.00%,8005,79.00%,2837,528,18.60%,2309,81.40%,NA,NA,NA,NA,NA,NA,NA
Protective service occupations:,13125,10435,79.50%,2690,20.50%,7879,6393,81.10%,1486,18.90%,7619,5452,71.60%,2167,28.40%,5342,3676,68.80%,1666,31.20%,20640,14838,71.90%,5802,28.10%,12223,9198,75.30%,3025,24.70%,4833,3944,81.60%,889,18.40%,NA,NA,NA,NA,NA,NA,NA
Firefighting and prevention and other protective service workers including supervisors,9628,7599,78.90%,2029,21.10%,4632,3694,79.70%,938,20.30%,4350,3063,70.40%,1287,29.60%,3779,2502,66.20%,1277,33.80%,14673,10489,71.50%,4184,28.50%,7254,5307,73.20%,1947,26.80%,2538,1885,74.30%,653,25.70%,NA,NA,NA,NA,NA,NA,NA
Law enforcement workers including supervisors,3497,2836,81.10%,661,18.90%,3247,2699,83.10%,548,16.90%,3269,2389,73.10%,880,26.90%,1563,1174,75.10%,389,24.90%,5967,4349,72.90%,1618,27.10%,4969,3891,78.30%,1078,21.70%,2295,2059,89.70%,236,10.30%,NA,NA,NA,NA,NA,NA,NA
Food preparation and serving related occupations,44920,23922,53.30%,20998,46.70%,23001,11344,49.30%,11657,50.70%,26115,13334,51.10%,12781,48.90%,24788,12096,48.80%,12692,51.20%,72879,34485,47.30%,38394,52.70%,28425,13950,49.10%,14475,50.90%,8831,4143,46.90%,4688,53.10%,NA,NA,NA,NA,NA,NA,NA
Building and grounds cleaning and maintenance occupations,29038,17651,60.80%,11387,39.20%,20632,9311,45.10%,11321,54.90%,14985,9285,62.00%,5700,38.00%,12754,7033,55.10%,5721,44.90%,57694,30883,53.50%,26811,46.50%,19074,9019,47.30%,10055,52.70%,4811,2651,55.10%,2160,44.90%,NA,NA,NA,NA,NA,NA,NA
Personal care and service occupations,26130,5294,20.30%,20836,79.70%,17770,4004,22.50%,13766,77.50%,13436,3081,22.90%,10355,77.10%,9020,2150,23.80%,6870,76.20%,31621,8386,26.50%,23235,73.50%,18821,3810,20.20%,15011,79.80%,6905,1204,17.40%,5701,82.60%,NA,NA,NA,NA,NA,NA,NA
Sales and office occupations:,164306,66758,40.60%,97548,59.40%,91947,37729,41.00%,54218,59.00%,121006,49810,41.20%,71196,58.80%,81666,31093,38.10%,50573,61.90%,287903,110013,38.20%,177890,61.80%,98762,40873,41.40%,57889,58.60%,39460,17140,43.40%,22320,56.60%,NA,NA,NA,NA,NA,NA,NA
Sales and related occupations,78080,40473,51.80%,37607,48.20%,43765,23281,53.20%,20484,46.80%,62827,32989,52.50%,29838,47.50%,38063,19514,51.30%,18549,48.70%,131235,65903,50.20%,65332,49.80%,46443,24468,52.70%,21975,47.30%,20448,10856,53.10%,9592,46.90%,NA,NA,NA,NA,NA,NA,NA
Office and administrative support occupations,86226,26285,30.50%,59941,69.50%,48182,14448,30.00%,33734,70.00%,58179,16821,28.90%,41358,71.10%,43603,11579,26.60%,32024,73.40%,156668,44110,28.20%,112558,71.80%,52319,16405,31.40%,35914,68.60%,19012,6284,33.10%,12728,66.90%,NA,NA,NA,NA,NA,NA,NA
Natural resources construction and maintenance occupations:,57949,55081,95.10%,2868,4.90%,31763,30460,95.90%,1303,4.10%,31914,30418,95.30%,1496,4.70%,25310,23884,94.40%,1426,5.60%,151245,146304,96.70%,4941,3.30%,31547,30499,96.70%,1048,3.30%,9337,9034,96.80%,303,3.20%,NA,NA,NA,NA,NA,NA,NA
Farming fishing and forestry occupations,3479,2238,64.30%,1241,35.70%,492,232,47.20%,260,52.80%,732,509,69.50%,223,30.50%,454,306,67.40%,148,32.60%,1223,825,67.50%,398,32.50%,251,211,84.10%,40,15.90%,551,524,95.10%,27,4.90%,NA,NA,NA,NA,NA,NA,NA
Construction and extraction occupations,36553,35739,97.80%,814,2.20%,21192,20543,96.90%,649,3.10%,20091,19332,96.20%,759,3.80%,17560,16812,95.70%,748,4.30%,110347,107795,97.70%,2552,2.30%,22147,21361,96.50%,786,3.50%,5834,5705,97.80%,129,2.20%,NA,NA,NA,NA,NA,NA,NA
Installation maintenance and repair occupations,17917,17104,95.50%,813,4.50%,10079,9685,96.10%,394,3.90%,11091,10577,95.40%,514,4.60%,7296,6766,92.70%,530,7.30%,39675,37684,95.00%,1991,5.00%,9149,8927,97.60%,222,2.40%,2952,2805,95.00%,147,5.00%,NA,NA,NA,NA,NA,NA,NA
Production transportation and material moving occupations:,79963,57155,71.50%,22808,28.50%,32280,25524,79.10%,6756,20.90%,43326,32872,75.90%,10454,24.10%,45967,33306,72.50%,12661,27.50%,177197,128475,72.50%,48722,27.50%,32736,25690,78.50%,7046,21.50%,11218,8619,76.80%,2599,23.20%,NA,NA,NA,NA,NA,NA,NA
Production occupations,40150,25670,63.90%,14480,36.10%,9919,6846,69.00%,3073,31.00%,16535,11456,69.30%,5079,30.70%,17259,11097,64.30%,6162,35.70%,66973,43172,64.50%,23801,35.50%,9023,5779,64.00%,3244,36.00%,3336,2299,68.90%,1037,31.10%,NA,NA,NA,NA,NA,NA,NA
Transportation occupations,20789,17780,85.50%,3009,14.50%,14073,12486,88.70%,1587,11.30%,15260,12463,81.70%,2797,18.30%,14045,11596,82.60%,2449,17.40%,51643,44232,85.60%,7411,14.40%,15083,13344,88.50%,1739,11.50%,5274,4392,83.30%,882,16.70%,NA,NA,NA,NA,NA,NA,NA
Civilian employed population 16 years and over,1011709,558143,55.20%,453566,44.80%,567498,287248,50.60%,280250,49.40%,646091,337351,52.20%,308740,47.80%,409433,209153,51.10%,200280,48.90%,1348084,725866,53.80%,622218,46.20%,614947,325968,53.00%,288979,47.00%,236508,129252,54.70%,107256,45.30%,NA,NA,NA,NA,NA,NA,NA
Management business science and arts occupations:,597771,337063,56.40%,260708,43.60%,341339,167242,49.00%,174097,51.00%,382817,198278,51.80%,184539,48.20%,214372,99912,46.60%,114460,53.40%,545454,266443,48.80%,279011,51.20%,386226,201781,52.20%,184445,47.80%,153579,85270,55.50%,68309,44.50%,NA,NA,NA,NA,NA,NA,NA
Management business and financial occupations:,206613,111655,54.00%,94958,46.00%,132768,66251,49.90%,66517,50.10%,163480,87161,53.30%,76319,46.70%,94500,47051,49.80%,47449,50.20%,245578,127510,51.90%,118068,48.10%,164849,84001,51.00%,80848,49.00%,69603,39466,56.70%,30137,43.30%,NA,NA,NA,NA,NA,NA,NA
Management occupations,141992,84040,59.20%,57952,40.80%,79547,40306,50.70%,39241,49.30%,106445,62508,58.70%,43937,41.30%,59885,31856,53.20%,28029,46.80%,140029,79062,56.50%,60967,43.50%,97233,52487,54.00%,44746,46.00%,46185,28068,60.80%,18117,39.20%,NA,NA,NA,NA,NA,NA,NA
Business and financial operations occupations,64621,27615,42.70%,37006,57.30%,53221,25945,48.70%,27276,51.30%,57035,24653,43.20%,32382,56.80%,34615,15195,43.90%,19420,56.10%,105549,48448,45.90%,57101,54.10%,67616,31514,46.60%,36102,53.40%,23418,11398,48.70%,12020,51.30%,NA,NA,NA,NA,NA,NA,NA
Computer engineering and science occupations:,246259,176586,71.70%,69673,28.30%,89450,57308,64.10%,32142,35.90%,104955,74944,71.40%,30011,28.60%,30229,21308,70.50%,8921,29.50%,95923,73534,76.70%,22389,23.30%,105473,77090,73.10%,28383,26.90%,47836,34912,73.00%,12924,27.00%,NA,NA,NA,NA,NA,NA,NA
Computer and mathematical occupations,144198,102663,71.20%,41535,28.80%,45981,31434,68.40%,14547,31.60%,57141,42707,74.70%,14434,25.30%,18804,13578,72.20%,5226,27.80%,61944,48659,78.60%,13285,21.40%,73478,54960,74.80%,18518,25.20%,38056,27659,72.70%,10397,27.30%,NA,NA,NA,NA,NA,NA,NA
Architecture and engineering occupations,80862,63236,78.20%,17626,21.80%,13166,10183,77.30%,2983,22.70%,27760,21917,79.00%,5843,21.00%,6443,5176,80.30%,1267,19.70%,23923,19695,82.30%,4228,17.70%,21413,16611,77.60%,4802,22.40%,7638,6005,78.60%,1633,21.40%,NA,NA,NA,NA,NA,NA,NA
Life physical and social science occupations,21199,10687,50.40%,10512,49.60%,30303,15691,51.80%,14612,48.20%,20054,10320,51.50%,9734,48.50%,4982,2554,51.30%,2428,48.70%,10056,5180,51.50%,4876,48.50%,10582,5519,52.20%,5063,47.80%,2142,1248,58.30%,894,41.70%,NA,NA,NA,NA,NA,NA,NA
Education legal community service arts and media occupations:,97203,33617,34.60%,63586,65.40%,88547,35958,40.60%,52589,59.40%,73147,25576,35.00%,47571,65.00%,59148,24159,40.80%,34989,59.20%,137547,48831,35.50%,88716,64.50%,85288,32527,38.10%,52761,61.90%,27363,8583,31.40%,18780,68.60%,NA,NA,NA,NA,NA,NA,NA
Community and social service occupations,11669,3931,33.70%,7738,66.30%,10112,3187,31.50%,6925,68.50%,9881,3712,37.60%,6169,62.40%,5464,1858,34.00%,3606,66.00%,16444,4951,30.10%,11493,69.90%,6554,2229,34.00%,4325,66.00%,3008,1057,35.10%,1951,64.90%,NA,NA,NA,NA,NA,NA,NA
Legal occupations,8996,3813,42.40%,5183,57.60%,19276,11134,57.80%,8142,42.20%,9009,3510,39.00%,5499,61.00%,8230,3916,47.60%,4314,52.40%,21807,11049,50.70%,10758,49.30%,20606,12232,59.40%,8374,40.60%,1728,958,55.40%,770,44.60%,NA,NA,NA,NA,NA,NA,NA
Educational instruction and library occupations,54545,16000,29.30%,38545,70.70%,39379,11219,28.50%,28160,71.50%,36832,10727,29.10%,26105,70.90%,25483,6998,27.50%,18485,72.50%,73393,19100,26.00%,54293,74.00%,34772,8796,25.30%,25976,74.70%,17567,4853,27.60%,12714,72.40%,NA,NA,NA,NA,NA,NA,NA
Arts design entertainment sports and media occupations,21993,9873,44.90%,12120,55.10%,19780,10418,52.70%,9362,47.30%,17425,7627,43.80%,9798,56.20%,19971,11387,57.00%,8584,43.00%,25903,13731,53.00%,12172,47.00%,23356,9270,39.70%,14086,60.30%,5060,1715,33.90%,3345,66.10%,NA,NA,NA,NA,NA,NA,NA
Healthcare practitioners and technical occupations:,47696,15205,31.90%,32491,68.10%,30574,7725,25.30%,22849,74.70%,41235,10597,25.70%,30638,74.30%,30495,7394,24.20%,23101,75.80%,66406,16568,24.90%,49838,75.10%,30616,8163,26.70%,22453,73.30%,8777,2309,26.30%,6468,73.70%,NA,NA,NA,NA,NA,NA,NA
Health diagnosing and treating practitioners and other technical occupations,34408,10319,30.00%,24089,70.00%,24519,5891,24.00%,18628,76.00%,30024,7939,26.40%,22085,73.60%,24240,6906,28.50%,17334,71.50%,46064,11538,25.00%,34526,75.00%,23693,6223,26.30%,17470,73.70%,5732,1250,21.80%,4482,78.20%,NA,NA,NA,NA,NA,NA,NA
Health technologists and technicians,13288,4886,36.80%,8402,63.20%,6055,1834,30.30%,4221,69.70%,11211,2658,23.70%,8553,76.30%,6255,488,7.80%,5767,92.20%,20342,5030,24.70%,15312,75.30%,6923,1940,28.00%,4983,72.00%,3045,1059,34.80%,1986,65.20%,NA,NA,NA,NA,NA,NA,NA
Service occupations:,137955,57722,41.80%,80233,58.20%,80400,28895,35.90%,51505,64.10%,73915,31792,43.00%,42123,57.00%,56465,22722,40.20%,33743,59.80%,197941,81932,41.40%,116009,58.60%,77647,34076,43.90%,43571,56.10%,25099,9738,38.80%,15361,61.20%,NA,NA,NA,NA,NA,NA,NA
Healthcare support occupations,34653,8638,24.90%,26015,75.10%,13359,2370,17.70%,10989,82.30%,11918,996,8.40%,10922,91.60%,8951,1419,15.90%,7532,84.10%,32581,5523,17.00%,27058,83.00%,10392,1691,16.30%,8701,83.70%,3747,847,22.60%,2900,77.40%,NA,NA,NA,NA,NA,NA,NA
Protective service occupations:,12765,10411,81.60%,2354,18.40%,8545,5857,68.50%,2688,31.50%,8608,6443,74.80%,2165,25.20%,4442,2956,66.50%,1486,33.50%,22573,13899,61.60%,8674,38.40%,12065,8769,72.70%,3296,27.30%,5741,4279,74.50%,1462,25.50%,NA,NA,NA,NA,NA,NA,NA
Firefighting and prevention and other protective service workers including supervisors,9380,7678,81.90%,1702,18.10%,5924,4177,70.50%,1747,29.50%,4153,2749,66.20%,1404,33.80%,3081,1804,58.60%,1277,41.40%,15068,9265,61.50%,5803,38.50%,7642,5442,71.20%,2200,28.80%,2863,1859,64.90%,1004,35.10%,NA,NA,NA,NA,NA,NA,NA
Law enforcement workers including supervisors,3385,2733,80.70%,652,19.30%,2621,1680,64.10%,941,35.90%,4455,3694,82.90%,761,17.10%,1361,1152,84.60%,209,15.40%,7505,4634,61.70%,2871,38.30%,4423,3327,75.20%,1096,24.80%,2878,2420,84.10%,458,15.90%,NA,NA,NA,NA,NA,NA,NA
Food preparation and serving related occupations,43299,21002,48.50%,22297,51.50%,21840,7978,36.50%,13862,63.50%,24096,9532,39.60%,14564,60.40%,23084,10603,45.90%,12481,54.10%,67476,31833,47.20%,35643,52.80%,25765,13755,53.40%,12010,46.60%,5263,2274,43.20%,2989,56.80%,NA,NA,NA,NA,NA,NA,NA
Building and grounds cleaning and maintenance occupations,22237,11330,51.00%,10907,49.00%,19493,7907,40.60%,11586,59.40%,16082,11484,71.40%,4598,28.60%,8877,4479,50.50%,4398,49.50%,47561,23085,48.50%,24476,51.50%,13672,6315,46.20%,7357,53.80%,5680,1734,30.50%,3946,69.50%,NA,NA,NA,NA,NA,NA,NA
Personal care and service occupations,25001,6341,25.40%,18660,74.60%,17163,4783,27.90%,12380,72.10%,13211,3337,25.30%,9874,74.70%,11111,3265,29.40%,7846,70.60%,27750,7592,27.40%,20158,72.60%,15753,3546,22.50%,12207,77.50%,4668,604,12.90%,4064,87.10%,NA,NA,NA,NA,NA,NA,NA
Sales and office occupations:,144739,56656,39.10%,88083,60.90%,78791,32539,41.30%,46252,58.70%,113520,47876,42.20%,65644,57.80%,67601,28938,42.80%,38663,57.20%,266679,99835,37.40%,166844,62.60%,88548,37508,42.40%,51040,57.60%,33534,14245,42.50%,19289,57.50%,NA,NA,NA,NA,NA,NA,NA
Sales and related occupations,65929,33936,51.50%,31993,48.50%,37031,19237,51.90%,17794,48.10%,60868,33297,54.70%,27571,45.30%,32988,17894,54.20%,15094,45.80%,120809,57769,47.80%,63040,52.20%,44369,22511,50.70%,21858,49.30%,17085,10565,61.80%,6520,38.20%,NA,NA,NA,NA,NA,NA,NA
Office and administrative support occupations,78810,22720,28.80%,56090,71.20%,41760,13302,31.90%,28458,68.10%,52652,14579,27.70%,38073,72.30%,34613,11044,31.90%,23569,68.10%,145870,42066,28.80%,103804,71.20%,44179,14997,33.90%,29182,66.10%,16449,3680,22.40%,12769,77.60%,NA,NA,NA,NA,NA,NA,NA
Natural resources construction and maintenance occupations:,53674,51131,95.30%,2543,4.70%,35768,34191,95.60%,1577,4.40%,31263,29064,93.00%,2199,7.00%,26848,24444,91.00%,2404,9.00%,145353,136625,94.00%,8728,6.00%,27874,26690,95.80%,1184,4.20%,10700,10217,95.50%,483,4.50%,NA,NA,NA,NA,NA,NA,NA
Farming fishing and forestry occupations,2765,1493,54.00%,1272,46.00%,429,274,63.90%,155,36.10%,876,508,58.00%,368,42.00%,46,0,0.00%,46,100.00%,2812,1338,47.60%,1474,52.40%,445,395,88.80%,50,11.20%,445,386,86.70%,59,13.30%,NA,NA,NA,NA,NA,NA,NA
Construction and extraction occupations,34710,34094,98.20%,616,1.80%,22718,22020,96.90%,698,3.10%,20715,19831,95.70%,884,4.30%,18864,17267,91.50%,1597,8.50%,105623,100848,95.50%,4775,4.50%,19343,18564,96.00%,779,4.00%,6661,6434,96.60%,227,3.40%,NA,NA,NA,NA,NA,NA,NA
Installation maintenance and repair occupations,16199,15544,96.00%,655,4.00%,12621,11897,94.30%,724,5.70%,9672,8725,90.20%,947,9.80%,7938,7177,90.40%,761,9.60%,36918,34439,93.30%,2479,6.70%,8086,7731,95.60%,355,4.40%,3594,3397,94.50%,197,5.50%,NA,NA,NA,NA,NA,NA,NA
Production transportation and material moving occupations:,77570,55571,71.60%,21999,28.40%,31200,24381,78.10%,6819,21.90%,44576,30341,68.10%,14235,31.90%,44147,33137,75.10%,11010,24.90%,192657,141031,73.20%,51626,26.80%,34652,25913,74.80%,8739,25.20%,13596,9782,71.90%,3814,28.10%,NA,NA,NA,NA,NA,NA,NA
Production occupations,37686,25242,67.00%,12444,33.00%,9062,6384,70.40%,2678,29.60%,17865,10928,61.20%,6937,38.80%,15587,10922,70.10%,4665,29.90%,68012,47518,69.90%,20494,30.10%,8901,5686,63.90%,3215,36.10%,3676,1992,54.20%,1684,45.80%,NA,NA,NA,NA,NA,NA,NA
Transportation occupations,19794,16426,83.00%,3368,17.00%,13145,11309,86.00%,1836,14.00%,13152,9425,71.70%,3727,28.30%,14763,12701,86.00%,2062,14.00%,53268,45656,85.70%,7612,14.30%,17690,14390,81.30%,3300,18.70%,5947,4535,76.30%,1412,23.70%,NA,NA,NA,NA,NA,NA,NA
Material moving occupations,20090,13903,69.20%,6187,30.80%,8993,6688,74.40%,2305,25.60%,13559,9988,73.70%,3571,26.30%,13797,9514,69.00%,4283,31.00%,71377,47857,67.00%,23520,33.00%,8061,5837,72.40%,2224,27.60%,3973,3255,81.90%,718,18.1%,NA,NA,NA,NA,NA,NA,NA
