Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    16 years and over,78.4%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.3
    18 years and over,75.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    60 years and over,15.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.4
    62 years and over,13.8%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.4
    65 years and over,11.1%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    75 years and over,5.1%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Male!!Margin of Error",
    Median age (years),36.2,"Montgomery County, Maryland!!Male!!Margin of Error",±0.3
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Montgomery County, Maryland!!Male!!Margin of Error",
    Sex,0.2%,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
    Age,1.6%,"Montgomery County, Maryland!!Male!!Margin of Error",(X)
Total population,"1,787,694","Montgomery County, Maryland!!Female!!Estimate","507,289"
AGE,,"Montgomery County, Maryland!!Female!!Estimate",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Female!!Estimate",6.1%
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Female!!Estimate",6.3%
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Female!!Estimate",6.3%
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Female!!Estimate",5.6%
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Female!!Estimate",5.3%
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Female!!Estimate",6.7%
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Female!!Estimate",6.9%
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Female!!Estimate",6.9%
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Female!!Estimate",7.7%
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Female!!Estimate",8.1%
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Female!!Estimate",7.9%
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Female!!Estimate",7.1%
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Female!!Estimate",5.5%
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Female!!Estimate",3.8%
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Female!!Estimate",3.0%
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Female!!Estimate",2.4%
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Female!!Estimate",2.0%
    85 years and over,1.6%,"Montgomery County, Maryland!!Female!!Estimate",2.6%
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Female!!Estimate",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Female!!Estimate",12.5%
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Female!!Estimate",3.9%
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Female!!Estimate",7.0%
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Female!!Estimate",39.1%
    16 years and over,78.4%,"Montgomery County, Maryland!!Female!!Estimate",80.1%
    18 years and over,75.9%,"Montgomery County, Maryland!!Female!!Estimate",77.4%
    60 years and over,15.9%,"Montgomery County, Maryland!!Female!!Estimate",19.2%
    62 years and over,13.8%,"Montgomery County, Maryland!!Female!!Estimate",16.7%
    65 years and over,11.1%,"Montgomery County, Maryland!!Female!!Estimate",13.7%
    75 years and over,5.1%,"Montgomery County, Maryland!!Female!!Estimate",7.0%
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Female!!Estimate",
    Median age (years),36.2,"Montgomery County, Maryland!!Female!!Estimate",40.0
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Montgomery County, Maryland!!Female!!Estimate",
    Sex,0.2%,"Montgomery County, Maryland!!Female!!Estimate",(X)
    Age,1.6%,"Montgomery County, Maryland!!Female!!Estimate",(X)
Total population,"1,787,694","Montgomery County, Maryland!!Female!!Margin of Error",±443
AGE,,"Montgomery County, Maryland!!Female!!Margin of Error",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.3
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.2
    85 years and over,1.6%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.2
    18 years and over,75.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    60 years and over,15.9%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    62 years and over,13.8%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.3
    65 years and over,11.1%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
    75 years and over,5.1%,"Montgomery County, Maryland!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Female!!Margin of Error",
    Median age (years),36.2,"Montgomery County, Maryland!!Female!!Margin of Error",±0.4
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Montgomery County, Maryland!!Female!!Margin of Error",
    Sex,0.2%,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
    Age,1.6%,"Montgomery County, Maryland!!Female!!Margin of Error",(X)
Total population,"1,787,694","Wake County, North Carolina!!Total!!Estimate","906,969"
AGE,,"Wake County, North Carolina!!Total!!Estimate",
    Under 5 years,7.0%,"Wake County, North Carolina!!Total!!Estimate",7.3%
    5 to 9 years,6.8%,"Wake County, North Carolina!!Total!!Estimate",7.3%
    10 to 14 years,6.5%,"Wake County, North Carolina!!Total!!Estimate",7.3%
    15 to 19 years,6.4%,"Wake County, North Carolina!!Total!!Estimate",7.0%
    20 to 24 years,6.4%,"Wake County, North Carolina!!Total!!Estimate",6.8%
    25 to 29 years,7.4%,"Wake County, North Carolina!!Total!!Estimate",7.4%
    30 to 34 years,7.6%,"Wake County, North Carolina!!Total!!Estimate",7.9%
    35 to 39 years,7.8%,"Wake County, North Carolina!!Total!!Estimate",8.1%
    40 to 44 years,7.8%,"Wake County, North Carolina!!Total!!Estimate",8.1%
    45 to 49 years,7.7%,"Wake County, North Carolina!!Total!!Estimate",7.7%
    50 to 54 years,7.1%,"Wake County, North Carolina!!Total!!Estimate",6.8%
    55 to 59 years,5.6%,"Wake County, North Carolina!!Total!!Estimate",5.3%
    60 to 64 years,4.9%,"Wake County, North Carolina!!Total!!Estimate",4.6%
    65 to 69 years,3.5%,"Wake County, North Carolina!!Total!!Estimate",3.0%
    70 to 74 years,2.5%,"Wake County, North Carolina!!Total!!Estimate",2.0%
    75 to 79 years,1.9%,"Wake County, North Carolina!!Total!!Estimate",1.5%
    80 to 84 years,1.6%,"Wake County, North Carolina!!Total!!Estimate",1.1%
    85 years and over,1.6%,"Wake County, North Carolina!!Total!!Estimate",0.9%
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Total!!Estimate",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Total!!Estimate",14.6%
    15 to 17 years,3.9%,"Wake County, North Carolina!!Total!!Estimate",4.1%
    18 to 24 years,8.9%,"Wake County, North Carolina!!Total!!Estimate",9.7%
    15 to 44 years,43.5%,"Wake County, North Carolina!!Total!!Estimate",45.2%
    16 years and over,78.4%,"Wake County, North Carolina!!Total!!Estimate",76.7%
    18 years and over,75.9%,"Wake County, North Carolina!!Total!!Estimate",74.0%
    60 years and over,15.9%,"Wake County, North Carolina!!Total!!Estimate",13.1%
    62 years and over,13.8%,"Wake County, North Carolina!!Total!!Estimate",11.1%
    65 years and over,11.1%,"Wake County, North Carolina!!Total!!Estimate",8.5%
    75 years and over,5.1%,"Wake County, North Carolina!!Total!!Estimate",3.5%
SUMMARY INDICATORS,,"Wake County, North Carolina!!Total!!Estimate",
    Median age (years),36.2,"Wake County, North Carolina!!Total!!Estimate",34.4
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Total!!Estimate",95.0
    Age dependency ratio,54.2,"Wake County, North Carolina!!Total!!Estimate",52.7
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Total!!Estimate",13.0
        Child dependency ratio,37.2,"Wake County, North Carolina!!Total!!Estimate",39.7
PERCENT IMPUTED,,"Wake County, North Carolina!!Total!!Estimate",
    Sex,0.2%,"Wake County, North Carolina!!Total!!Estimate",0.1%
    Age,1.6%,"Wake County, North Carolina!!Total!!Estimate",1.1%
Total population,"1,787,694","Wake County, North Carolina!!Total!!Margin of Error",*****
AGE,,"Wake County, North Carolina!!Total!!Margin of Error",
    Under 5 years,7.0%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
    20 to 24 years,6.4%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    25 to 29 years,7.4%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Wake County, North Carolina!!Total!!Margin of Error",±0.4
    40 to 44 years,7.8%,"Wake County, North Carolina!!Total!!Margin of Error",±0.4
    45 to 49 years,7.7%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    85 years and over,1.6%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
    18 years and over,75.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    62 years and over,13.8%,"Wake County, North Carolina!!Total!!Margin of Error",±0.3
    65 years and over,11.1%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Wake County, North Carolina!!Total!!Margin of Error",
    Median age (years),36.2,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
    Age dependency ratio,54.2,"Wake County, North Carolina!!Total!!Margin of Error",±0.2
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
        Child dependency ratio,37.2,"Wake County, North Carolina!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Wake County, North Carolina!!Total!!Margin of Error",
    Sex,0.2%,"Wake County, North Carolina!!Total!!Margin of Error",(X)
    Age,1.6%,"Wake County, North Carolina!!Total!!Margin of Error",(X)
Total population,"1,787,694","Wake County, North Carolina!!Male!!Estimate","441,775"
AGE,,"Wake County, North Carolina!!Male!!Estimate",
    Under 5 years,7.0%,"Wake County, North Carolina!!Male!!Estimate",7.6%
    5 to 9 years,6.8%,"Wake County, North Carolina!!Male!!Estimate",7.6%
    10 to 14 years,6.5%,"Wake County, North Carolina!!Male!!Estimate",7.7%
    15 to 19 years,6.4%,"Wake County, North Carolina!!Male!!Estimate",7.1%
    20 to 24 years,6.4%,"Wake County, North Carolina!!Male!!Estimate",7.3%
    25 to 29 years,7.4%,"Wake County, North Carolina!!Male!!Estimate",7.5%
    30 to 34 years,7.6%,"Wake County, North Carolina!!Male!!Estimate",7.8%
    35 to 39 years,7.8%,"Wake County, North Carolina!!Male!!Estimate",8.1%
    40 to 44 years,7.8%,"Wake County, North Carolina!!Male!!Estimate",8.1%
    45 to 49 years,7.7%,"Wake County, North Carolina!!Male!!Estimate",7.7%
    50 to 54 years,7.1%,"Wake County, North Carolina!!Male!!Estimate",6.8%
    55 to 59 years,5.6%,"Wake County, North Carolina!!Male!!Estimate",5.3%
    60 to 64 years,4.9%,"Wake County, North Carolina!!Male!!Estimate",4.2%
    65 to 69 years,3.5%,"Wake County, North Carolina!!Male!!Estimate",3.0%
    70 to 74 years,2.5%,"Wake County, North Carolina!!Male!!Estimate",1.8%
    75 to 79 years,1.9%,"Wake County, North Carolina!!Male!!Estimate",1.2%
    80 to 84 years,1.6%,"Wake County, North Carolina!!Male!!Estimate",0.9%
    85 years and over,1.6%,"Wake County, North Carolina!!Male!!Estimate",0.5%
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Male!!Estimate",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Male!!Estimate",15.3%
    15 to 17 years,3.9%,"Wake County, North Carolina!!Male!!Estimate",4.3%
    18 to 24 years,8.9%,"Wake County, North Carolina!!Male!!Estimate",10.1%
    15 to 44 years,43.5%,"Wake County, North Carolina!!Male!!Estimate",45.8%
    16 years and over,78.4%,"Wake County, North Carolina!!Male!!Estimate",75.7%
    18 years and over,75.9%,"Wake County, North Carolina!!Male!!Estimate",72.9%
    60 years and over,15.9%,"Wake County, North Carolina!!Male!!Estimate",11.6%
    62 years and over,13.8%,"Wake County, North Carolina!!Male!!Estimate",9.8%
    65 years and over,11.1%,"Wake County, North Carolina!!Male!!Estimate",7.4%
    75 years and over,5.1%,"Wake County, North Carolina!!Male!!Estimate",2.6%
SUMMARY INDICATORS,,"Wake County, North Carolina!!Male!!Estimate",
    Median age (years),36.2,"Wake County, North Carolina!!Male!!Estimate",33.5
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Wake County, North Carolina!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Wake County, North Carolina!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Wake County, North Carolina!!Male!!Estimate",
    Sex,0.2%,"Wake County, North Carolina!!Male!!Estimate",(X)
    Age,1.6%,"Wake County, North Carolina!!Male!!Estimate",(X)
Total population,"1,787,694","Wake County, North Carolina!!Male!!Margin of Error",±270
AGE,,"Wake County, North Carolina!!Male!!Margin of Error",
    Under 5 years,7.0%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Wake County, North Carolina!!Male!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Wake County, North Carolina!!Male!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Wake County, North Carolina!!Male!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Wake County, North Carolina!!Male!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Wake County, North Carolina!!Male!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Wake County, North Carolina!!Male!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Wake County, North Carolina!!Male!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Wake County, North Carolina!!Male!!Margin of Error",±0.2
    85 years and over,1.6%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    16 years and over,78.4%,"Wake County, North Carolina!!Male!!Margin of Error",±0.2
    18 years and over,75.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    60 years and over,15.9%,"Wake County, North Carolina!!Male!!Margin of Error",±0.4
    62 years and over,13.8%,"Wake County, North Carolina!!Male!!Margin of Error",±0.3
    65 years and over,11.1%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
    75 years and over,5.1%,"Wake County, North Carolina!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Wake County, North Carolina!!Male!!Margin of Error",
    Median age (years),36.2,"Wake County, North Carolina!!Male!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Wake County, North Carolina!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Wake County, North Carolina!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Wake County, North Carolina!!Male!!Margin of Error",
    Sex,0.2%,"Wake County, North Carolina!!Male!!Margin of Error",(X)
    Age,1.6%,"Wake County, North Carolina!!Male!!Margin of Error",(X)
Total population,"1,787,694","Wake County, North Carolina!!Female!!Estimate","465,194"
AGE,,"Wake County, North Carolina!!Female!!Estimate",
    Under 5 years,7.0%,"Wake County, North Carolina!!Female!!Estimate",7.0%
    5 to 9 years,6.8%,"Wake County, North Carolina!!Female!!Estimate",7.0%
    10 to 14 years,6.5%,"Wake County, North Carolina!!Female!!Estimate",7.0%
    15 to 19 years,6.4%,"Wake County, North Carolina!!Female!!Estimate",6.8%
    20 to 24 years,6.4%,"Wake County, North Carolina!!Female!!Estimate",6.3%
    25 to 29 years,7.4%,"Wake County, North Carolina!!Female!!Estimate",7.4%
    30 to 34 years,7.6%,"Wake County, North Carolina!!Female!!Estimate",7.9%
    35 to 39 years,7.8%,"Wake County, North Carolina!!Female!!Estimate",8.1%
    40 to 44 years,7.8%,"Wake County, North Carolina!!Female!!Estimate",8.0%
    45 to 49 years,7.7%,"Wake County, North Carolina!!Female!!Estimate",7.7%
    50 to 54 years,7.1%,"Wake County, North Carolina!!Female!!Estimate",6.8%
    55 to 59 years,5.6%,"Wake County, North Carolina!!Female!!Estimate",5.2%
    60 to 64 years,4.9%,"Wake County, North Carolina!!Female!!Estimate",5.0%
    65 to 69 years,3.5%,"Wake County, North Carolina!!Female!!Estimate",3.1%
    70 to 74 years,2.5%,"Wake County, North Carolina!!Female!!Estimate",2.1%
    75 to 79 years,1.9%,"Wake County, North Carolina!!Female!!Estimate",1.7%
    80 to 84 years,1.6%,"Wake County, North Carolina!!Female!!Estimate",1.3%
    85 years and over,1.6%,"Wake County, North Carolina!!Female!!Estimate",1.4%
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Female!!Estimate",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Female!!Estimate",14.0%
    15 to 17 years,3.9%,"Wake County, North Carolina!!Female!!Estimate",3.8%
    18 to 24 years,8.9%,"Wake County, North Carolina!!Female!!Estimate",9.3%
    15 to 44 years,43.5%,"Wake County, North Carolina!!Female!!Estimate",44.6%
    16 years and over,78.4%,"Wake County, North Carolina!!Female!!Estimate",77.7%
    18 years and over,75.9%,"Wake County, North Carolina!!Female!!Estimate",75.1%
    60 years and over,15.9%,"Wake County, North Carolina!!Female!!Estimate",14.6%
    62 years and over,13.8%,"Wake County, North Carolina!!Female!!Estimate",12.4%
    65 years and over,11.1%,"Wake County, North Carolina!!Female!!Estimate",9.6%
    75 years and over,5.1%,"Wake County, North Carolina!!Female!!Estimate",4.4%
SUMMARY INDICATORS,,"Wake County, North Carolina!!Female!!Estimate",
    Median age (years),36.2,"Wake County, North Carolina!!Female!!Estimate",35.3
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Wake County, North Carolina!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Wake County, North Carolina!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Wake County, North Carolina!!Female!!Estimate",
    Sex,0.2%,"Wake County, North Carolina!!Female!!Estimate",(X)
    Age,1.6%,"Wake County, North Carolina!!Female!!Estimate",(X)
Total population,"1,787,694","Wake County, North Carolina!!Female!!Margin of Error",±270
AGE,,"Wake County, North Carolina!!Female!!Margin of Error",
    Under 5 years,7.0%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    20 to 24 years,6.4%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    25 to 29 years,7.4%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Wake County, North Carolina!!Female!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Wake County, North Carolina!!Female!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
    85 years and over,1.6%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Wake County, North Carolina!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Wake County, North Carolina!!Female!!Margin of Error",±0.2
    18 years and over,75.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    60 years and over,15.9%,"Wake County, North Carolina!!Female!!Margin of Error",±0.4
    62 years and over,13.8%,"Wake County, North Carolina!!Female!!Margin of Error",±0.4
    65 years and over,11.1%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    75 years and over,5.1%,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Wake County, North Carolina!!Female!!Margin of Error",
    Median age (years),36.2,"Wake County, North Carolina!!Female!!Margin of Error",±0.1
    Sex ratio (males per 100 females),100.6,"Wake County, North Carolina!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Wake County, North Carolina!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Wake County, North Carolina!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Wake County, North Carolina!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Wake County, North Carolina!!Female!!Margin of Error",
    Sex,0.2%,"Wake County, North Carolina!!Female!!Margin of Error",(X)
    Age,1.6%,"Wake County, North Carolina!!Female!!Margin of Error",(X)
Total population,"1,787,694","Davidson County, Tennessee!!Total!!Estimate","628,133"
AGE,,"Davidson County, Tennessee!!Total!!Estimate",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Total!!Estimate",7.1%
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Total!!Estimate",5.9%
