Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    $500 to $749,"13,324","Montgomery County, Maryland!!Estimate Margin of Error","±1,242"
    $750 to $999,"26,134","Montgomery County, Maryland!!Estimate Margin of Error","±1,571"
"    $1,000 to $1,499","90,157","Montgomery County, Maryland!!Estimate Margin of Error","±2,946"
"    $1,500 or more","109,917","Montgomery County, Maryland!!Estimate Margin of Error","±3,361"
    Median (dollars),"1,418","Montgomery County, Maryland!!Estimate Margin of Error",±26
    No rent paid,"5,300","Montgomery County, Maryland!!Estimate Margin of Error","±1,044"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Montgomery County, Maryland!!Estimate Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Montgomery County, Maryland!!Estimate Margin of Error","±4,037"
    Less than 15.0 percent,"36,283","Montgomery County, Maryland!!Estimate Margin of Error","±1,634"
    15.0 to 19.9 percent,"35,384","Montgomery County, Maryland!!Estimate Margin of Error","±1,844"
    20.0 to 24.9 percent,"29,917","Montgomery County, Maryland!!Estimate Margin of Error","±2,108"
    25.0 to 29.9 percent,"27,507","Montgomery County, Maryland!!Estimate Margin of Error","±1,889"
    30.0 to 34.9 percent,"23,888","Montgomery County, Maryland!!Estimate Margin of Error","±1,891"
    35.0 percent or more,"93,855","Montgomery County, Maryland!!Estimate Margin of Error","±3,388"
    Not computed,"9,446","Montgomery County, Maryland!!Estimate Margin of Error","±1,190"
HOUSING OCCUPANCY,,"Montgomery County, Maryland!!Percent",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent","376,023"
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent",95.6%
    Vacant housing units,"32,720","Montgomery County, Maryland!!Percent",4.4%
    Homeowner vacancy rate,1.8,"Montgomery County, Maryland!!Percent",(X)
    Rental vacancy rate,4.1,"Montgomery County, Maryland!!Percent",(X)
UNITS IN STRUCTURE,,"Montgomery County, Maryland!!Percent",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent","376,023"
"    1-unit, detached","332,653","Montgomery County, Maryland!!Percent",48.0%
"    1-unit, attached","68,576","Montgomery County, Maryland!!Percent",18.3%
    2 units,"14,314","Montgomery County, Maryland!!Percent",0.5%
    3 or 4 units,"38,225","Montgomery County, Maryland!!Percent",1.1%
    5 to 9 units,"35,293","Montgomery County, Maryland!!Percent",5.0%
    10 to 19 units,"31,079","Montgomery County, Maryland!!Percent",10.0%
    20 or more units,"92,993","Montgomery County, Maryland!!Percent",16.9%
    Mobile home,"18,161","Montgomery County, Maryland!!Percent",0.1%
"    Boat, RV, van, etc.",661,"Montgomery County, Maryland!!Percent",0.0%
YEAR STRUCTURE BUILT,,"Montgomery County, Maryland!!Percent",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent","376,023"
    Built 2005 or later,"27,044","Montgomery County, Maryland!!Percent",4.5%
    Built 2000 to 2004,"37,364","Montgomery County, Maryland!!Percent",6.7%
    Built 1990 to 1999,"66,881","Montgomery County, Maryland!!Percent",12.3%
    Built 1980 to 1989,"75,301","Montgomery County, Maryland!!Percent",22.6%
    Built 1970 to 1979,"142,515","Montgomery County, Maryland!!Percent",16.7%
    Built 1960 to 1969,"125,418","Montgomery County, Maryland!!Percent",15.3%
    Built 1950 to 1959,"97,176","Montgomery County, Maryland!!Percent",12.3%
    Built 1940 to 1949,"26,180","Montgomery County, Maryland!!Percent",5.2%
    Built 1939 or earlier,"34,076","Montgomery County, Maryland!!Percent",4.4%
ROOMS,,"Montgomery County, Maryland!!Percent",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent","376,023"
    1 room,"18,306","Montgomery County, Maryland!!Percent",1.0%
    2 rooms,"25,842","Montgomery County, Maryland!!Percent",2.4%
    3 rooms,"77,744","Montgomery County, Maryland!!Percent",10.3%
    4 rooms,"122,207","Montgomery County, Maryland!!Percent",14.0%
    5 rooms,"113,419","Montgomery County, Maryland!!Percent",11.9%
    6 rooms,"108,419","Montgomery County, Maryland!!Percent",12.2%
    7 rooms,"77,656","Montgomery County, Maryland!!Percent",11.0%
    8 rooms,"46,464","Montgomery County, Maryland!!Percent",11.1%
    9 rooms or more,"41,898","Montgomery County, Maryland!!Percent",26.1%
    Median rooms,5.1,"Montgomery County, Maryland!!Percent",(X)
BEDROOMS,,"Montgomery County, Maryland!!Percent",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent","376,023"
    No bedroom,"19,944","Montgomery County, Maryland!!Percent",1.4%
    1 bedroom,"89,100","Montgomery County, Maryland!!Percent",13.2%
    2 bedrooms,"162,836","Montgomery County, Maryland!!Percent",20.8%
    3 bedrooms,"202,224","Montgomery County, Maryland!!Percent",28.7%
    4 bedrooms,"122,330","Montgomery County, Maryland!!Percent",23.6%
    5 or more bedrooms,"35,521","Montgomery County, Maryland!!Percent",12.3%
HOUSING TENURE,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    Owner-occupied,"342,955","Montgomery County, Maryland!!Percent",66.2%
    Renter-occupied,"256,280","Montgomery County, Maryland!!Percent",33.8%
    Average household size of owner-occupied unit,3.01,"Montgomery County, Maryland!!Percent",(X)
    Average household size of renter-occupied unit,2.86,"Montgomery County, Maryland!!Percent",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    Moved in 2005 or later,"282,245","Montgomery County, Maryland!!Percent",43.4%
    Moved in 2000 to 2004,"101,772","Montgomery County, Maryland!!Percent",18.5%
    Moved in 1990 to 1999,"101,476","Montgomery County, Maryland!!Percent",19.1%
    Moved in 1980 to 1989,"50,775","Montgomery County, Maryland!!Percent",10.3%
    Moved in 1970 to 1979,"35,403","Montgomery County, Maryland!!Percent",5.0%
    Moved in 1969 or earlier,"27,564","Montgomery County, Maryland!!Percent",3.8%
VEHICLES AVAILABLE,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    No vehicles available,"31,267","Montgomery County, Maryland!!Percent",8.1%
    1 vehicle available,"168,953","Montgomery County, Maryland!!Percent",32.8%
    2 vehicles available,"249,590","Montgomery County, Maryland!!Percent",39.4%
    3 or more vehicles available,"149,425","Montgomery County, Maryland!!Percent",19.7%
HOUSE HEATING FUEL,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    Utility gas,"401,603","Montgomery County, Maryland!!Percent",57.0%
"    Bottled, tank, or LP gas","8,862","Montgomery County, Maryland!!Percent",0.8%
    Electricity,"178,541","Montgomery County, Maryland!!Percent",38.0%
"    Fuel oil, kerosene, etc.",462,"Montgomery County, Maryland!!Percent",3.9%
    Coal or coke,0,"Montgomery County, Maryland!!Percent",0.0%
    Wood,"1,887","Montgomery County, Maryland!!Percent",0.1%
    Solar energy,850,"Montgomery County, Maryland!!Percent",0.0%
    Other fuel,"1,238","Montgomery County, Maryland!!Percent",0.1%
    No fuel used,"5,792","Montgomery County, Maryland!!Percent",0.1%
SELECTED CHARACTERISTICS,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    Lacking complete plumbing facilities,"3,645","Montgomery County, Maryland!!Percent",0.4%
    Lacking complete kitchen facilities,"6,765","Montgomery County, Maryland!!Percent",0.8%
    No telephone service available,"10,027","Montgomery County, Maryland!!Percent",1.5%
OCCUPANTS PER ROOM,,"Montgomery County, Maryland!!Percent",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent","359,476"
    1.00 or less,"551,916","Montgomery County, Maryland!!Percent",97.5%
    1.01 to 1.50,"32,292","Montgomery County, Maryland!!Percent",1.9%
    1.51 or more,"15,027","Montgomery County, Maryland!!Percent",0.7%
VALUE,,"Montgomery County, Maryland!!Percent",
    Owner-occupied units,"342,955","Montgomery County, Maryland!!Percent","238,022"
"    Less than $50,000","7,522","Montgomery County, Maryland!!Percent",0.8%
"    $50,000 to $99,999","9,155","Montgomery County, Maryland!!Percent",0.9%
"    $100,000 to $149,999","4,362","Montgomery County, Maryland!!Percent",1.7%
"    $150,000 to $199,999","5,612","Montgomery County, Maryland!!Percent",4.2%
"    $200,000 to $299,999","16,502","Montgomery County, Maryland!!Percent",13.9%
"    $300,000 to $499,999","70,855","Montgomery County, Maryland!!Percent",37.1%
"    $500,000 to $999,999","161,903","Montgomery County, Maryland!!Percent",33.3%
"    $1,000,000 or more","67,044","Montgomery County, Maryland!!Percent",8.2%
    Median (dollars),"639,400","Montgomery County, Maryland!!Percent",(X)
MORTGAGE STATUS,,"Montgomery County, Maryland!!Percent",
    Owner-occupied units,"342,955","Montgomery County, Maryland!!Percent","238,022"
    Housing units with a mortgage,"256,276","Montgomery County, Maryland!!Percent",79.2%
    Housing units without a mortgage,"86,679","Montgomery County, Maryland!!Percent",20.8%
SELECTED MONTHLY OWNER COSTS (SMOC),,"Montgomery County, Maryland!!Percent",
    Housing units with a mortgage,"256,276","Montgomery County, Maryland!!Percent","188,428"
    Less than $300,441,"Montgomery County, Maryland!!Percent",0.0%
    $300 to $499,"1,586","Montgomery County, Maryland!!Percent",0.1%
    $500 to $699,"2,152","Montgomery County, Maryland!!Percent",0.7%
    $700 to $999,"4,788","Montgomery County, Maryland!!Percent",2.7%
"    $1,000 to $1,499","16,484","Montgomery County, Maryland!!Percent",10.8%
"    $1,500 to $1,999","28,710","Montgomery County, Maryland!!Percent",17.0%
"    $2,000 or more","202,115","Montgomery County, Maryland!!Percent",68.8%
    Median (dollars),"2,994","Montgomery County, Maryland!!Percent",(X)
    Housing units without a mortgage,"86,679","Montgomery County, Maryland!!Percent","49,594"
    Less than $100,"1,051","Montgomery County, Maryland!!Percent",0.9%
    $100 to $199,"3,040","Montgomery County, Maryland!!Percent",0.2%
    $200 to $299,"8,855","Montgomery County, Maryland!!Percent",1.8%
    $300 to $399,"14,202","Montgomery County, Maryland!!Percent",4.7%
    $400 or more,"59,531","Montgomery County, Maryland!!Percent",92.4%
    Median (dollars),539,"Montgomery County, Maryland!!Percent",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Montgomery County, Maryland!!Percent",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Montgomery County, Maryland!!Percent","188,258"
    Less than 20.0 percent,"61,314","Montgomery County, Maryland!!Percent",34.4%
    20.0 to 24.9 percent,"37,831","Montgomery County, Maryland!!Percent",15.9%
    25.0 to 29.9 percent,"31,228","Montgomery County, Maryland!!Percent",12.6%
    30.0 to 34.9 percent,"27,748","Montgomery County, Maryland!!Percent",9.1%
    35.0 percent or more,"97,215","Montgomery County, Maryland!!Percent",28.0%
    Not computed,940,"Montgomery County, Maryland!!Percent",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Montgomery County, Maryland!!Percent","49,093"
    Less than 10.0 percent,"43,387","Montgomery County, Maryland!!Percent",43.5%
    10.0 to 14.9 percent,"14,242","Montgomery County, Maryland!!Percent",17.6%
    15.0 to 19.9 percent,"8,796","Montgomery County, Maryland!!Percent",10.3%
    20.0 to 24.9 percent,"5,781","Montgomery County, Maryland!!Percent",8.6%
    25.0 to 29.9 percent,"2,687","Montgomery County, Maryland!!Percent",4.9%
    30.0 to 34.9 percent,"2,337","Montgomery County, Maryland!!Percent",2.8%
    35.0 percent or more,"7,889","Montgomery County, Maryland!!Percent",12.3%
    Not computed,"1,560","Montgomery County, Maryland!!Percent",(X)
GROSS RENT,,"Montgomery County, Maryland!!Percent",
    Occupied units paying rent,"250,980","Montgomery County, Maryland!!Percent","117,459"
    Less than $200,"1,021","Montgomery County, Maryland!!Percent",1.7%
    $200 to $299,"5,127","Montgomery County, Maryland!!Percent",1.1%
    $300 to $499,"5,300","Montgomery County, Maryland!!Percent",1.3%
    $500 to $749,"13,324","Montgomery County, Maryland!!Percent",3.4%
    $750 to $999,"26,134","Montgomery County, Maryland!!Percent",7.3%
"    $1,000 to $1,499","90,157","Montgomery County, Maryland!!Percent",38.1%
"    $1,500 or more","109,917","Montgomery County, Maryland!!Percent",47.1%
    Median (dollars),"1,418","Montgomery County, Maryland!!Percent",(X)
    No rent paid,"5,300","Montgomery County, Maryland!!Percent",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Montgomery County, Maryland!!Percent",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Montgomery County, Maryland!!Percent","115,699"
    Less than 15.0 percent,"36,283","Montgomery County, Maryland!!Percent",7.6%
    15.0 to 19.9 percent,"35,384","Montgomery County, Maryland!!Percent",12.5%
    20.0 to 24.9 percent,"29,917","Montgomery County, Maryland!!Percent",14.4%
    25.0 to 29.9 percent,"27,507","Montgomery County, Maryland!!Percent",11.3%
    30.0 to 34.9 percent,"23,888","Montgomery County, Maryland!!Percent",10.6%
    35.0 percent or more,"93,855","Montgomery County, Maryland!!Percent",43.6%
    Not computed,"9,446","Montgomery County, Maryland!!Percent",(X)
HOUSING OCCUPANCY,,"Montgomery County, Maryland!!Percent Margin of Error",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",±0.7
    Vacant housing units,"32,720","Montgomery County, Maryland!!Percent Margin of Error",±0.7
    Homeowner vacancy rate,1.8,"Montgomery County, Maryland!!Percent Margin of Error",(X)
    Rental vacancy rate,4.1,"Montgomery County, Maryland!!Percent Margin of Error",(X)
UNITS IN STRUCTURE,,"Montgomery County, Maryland!!Percent Margin of Error",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
"    1-unit, detached","332,653","Montgomery County, Maryland!!Percent Margin of Error",±0.9
"    1-unit, attached","68,576","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    2 units,"14,314","Montgomery County, Maryland!!Percent Margin of Error",±0.2
    3 or 4 units,"38,225","Montgomery County, Maryland!!Percent Margin of Error",±0.2
    5 to 9 units,"35,293","Montgomery County, Maryland!!Percent Margin of Error",±0.6
    10 to 19 units,"31,079","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    20 or more units,"92,993","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    Mobile home,"18,161","Montgomery County, Maryland!!Percent Margin of Error",±0.1
"    Boat, RV, van, etc.",661,"Montgomery County, Maryland!!Percent Margin of Error",±0.1
YEAR STRUCTURE BUILT,,"Montgomery County, Maryland!!Percent Margin of Error",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Built 2005 or later,"27,044","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    Built 2000 to 2004,"37,364","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    Built 1990 to 1999,"66,881","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    Built 1980 to 1989,"75,301","Montgomery County, Maryland!!Percent Margin of Error",±1.2
    Built 1970 to 1979,"142,515","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    Built 1960 to 1969,"125,418","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    Built 1950 to 1959,"97,176","Montgomery County, Maryland!!Percent Margin of Error",±0.7
    Built 1940 to 1949,"26,180","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    Built 1939 or earlier,"34,076","Montgomery County, Maryland!!Percent Margin of Error",±0.4
ROOMS,,"Montgomery County, Maryland!!Percent Margin of Error",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
    1 room,"18,306","Montgomery County, Maryland!!Percent Margin of Error",±0.3
    2 rooms,"25,842","Montgomery County, Maryland!!Percent Margin of Error",±0.4
    3 rooms,"77,744","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    4 rooms,"122,207","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    5 rooms,"113,419","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    6 rooms,"108,419","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    7 rooms,"77,656","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    8 rooms,"46,464","Montgomery County, Maryland!!Percent Margin of Error",±0.7
    9 rooms or more,"41,898","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    Median rooms,5.1,"Montgomery County, Maryland!!Percent Margin of Error",(X)
BEDROOMS,,"Montgomery County, Maryland!!Percent Margin of Error",
    Total housing units,"631,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
    No bedroom,"19,944","Montgomery County, Maryland!!Percent Margin of Error",±0.4
    1 bedroom,"89,100","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    2 bedrooms,"162,836","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    3 bedrooms,"202,224","Montgomery County, Maryland!!Percent Margin of Error",±1.2
    4 bedrooms,"122,330","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    5 or more bedrooms,"35,521","Montgomery County, Maryland!!Percent Margin of Error",±0.8
HOUSING TENURE,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Owner-occupied,"342,955","Montgomery County, Maryland!!Percent Margin of Error",±1.1
    Renter-occupied,"256,280","Montgomery County, Maryland!!Percent Margin of Error",±1.1
    Average household size of owner-occupied unit,3.01,"Montgomery County, Maryland!!Percent Margin of Error",(X)
    Average household size of renter-occupied unit,2.86,"Montgomery County, Maryland!!Percent Margin of Error",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Moved in 2005 or later,"282,245","Montgomery County, Maryland!!Percent Margin of Error",±1.2
    Moved in 2000 to 2004,"101,772","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    Moved in 1990 to 1999,"101,476","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    Moved in 1980 to 1989,"50,775","Montgomery County, Maryland!!Percent Margin of Error",±0.7
    Moved in 1970 to 1979,"35,403","Montgomery County, Maryland!!Percent Margin of Error",±0.4
    Moved in 1969 or earlier,"27,564","Montgomery County, Maryland!!Percent Margin of Error",±0.3
VEHICLES AVAILABLE,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    No vehicles available,"31,267","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    1 vehicle available,"168,953","Montgomery County, Maryland!!Percent Margin of Error",±1.3
    2 vehicles available,"249,590","Montgomery County, Maryland!!Percent Margin of Error",±1.2
    3 or more vehicles available,"149,425","Montgomery County, Maryland!!Percent Margin of Error",±1.1
HOUSE HEATING FUEL,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Utility gas,"401,603","Montgomery County, Maryland!!Percent Margin of Error",±1.2
"    Bottled, tank, or LP gas","8,862","Montgomery County, Maryland!!Percent Margin of Error",±0.2
    Electricity,"178,541","Montgomery County, Maryland!!Percent Margin of Error",±1.2
"    Fuel oil, kerosene, etc.",462,"Montgomery County, Maryland!!Percent Margin of Error",±0.5
    Coal or coke,0,"Montgomery County, Maryland!!Percent Margin of Error",±0.1
    Wood,"1,887","Montgomery County, Maryland!!Percent Margin of Error",±0.1
    Solar energy,850,"Montgomery County, Maryland!!Percent Margin of Error",±0.1
    Other fuel,"1,238","Montgomery County, Maryland!!Percent Margin of Error",±0.1
    No fuel used,"5,792","Montgomery County, Maryland!!Percent Margin of Error",±0.1
SELECTED CHARACTERISTICS,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Lacking complete plumbing facilities,"3,645","Montgomery County, Maryland!!Percent Margin of Error",±0.2
    Lacking complete kitchen facilities,"6,765","Montgomery County, Maryland!!Percent Margin of Error",±0.2
    No telephone service available,"10,027","Montgomery County, Maryland!!Percent Margin of Error",±0.3
OCCUPANTS PER ROOM,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied housing units,"599,235","Montgomery County, Maryland!!Percent Margin of Error",(X)
    1.00 or less,"551,916","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    1.01 to 1.50,"32,292","Montgomery County, Maryland!!Percent Margin of Error",±0.4
    1.51 or more,"15,027","Montgomery County, Maryland!!Percent Margin of Error",±0.2
VALUE,,"Montgomery County, Maryland!!Percent Margin of Error",
    Owner-occupied units,"342,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
"    Less than $50,000","7,522","Montgomery County, Maryland!!Percent Margin of Error",±0.2
"    $50,000 to $99,999","9,155","Montgomery County, Maryland!!Percent Margin of Error",±0.3
"    $100,000 to $149,999","4,362","Montgomery County, Maryland!!Percent Margin of Error",±0.4
"    $150,000 to $199,999","5,612","Montgomery County, Maryland!!Percent Margin of Error",±0.7
"    $200,000 to $299,999","16,502","Montgomery County, Maryland!!Percent Margin of Error",±1.1
"    $300,000 to $499,999","70,855","Montgomery County, Maryland!!Percent Margin of Error",±1.4
"    $500,000 to $999,999","161,903","Montgomery County, Maryland!!Percent Margin of Error",±1.3
"    $1,000,000 or more","67,044","Montgomery County, Maryland!!Percent Margin of Error",±0.6
    Median (dollars),"639,400","Montgomery County, Maryland!!Percent Margin of Error",(X)
MORTGAGE STATUS,,"Montgomery County, Maryland!!Percent Margin of Error",
    Owner-occupied units,"342,955","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Housing units with a mortgage,"256,276","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    Housing units without a mortgage,"86,679","Montgomery County, Maryland!!Percent Margin of Error",±0.9
SELECTED MONTHLY OWNER COSTS (SMOC),,"Montgomery County, Maryland!!Percent Margin of Error",
    Housing units with a mortgage,"256,276","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than $300,441,"Montgomery County, Maryland!!Percent Margin of Error",±0.1
    $300 to $499,"1,586","Montgomery County, Maryland!!Percent Margin of Error",±0.1
    $500 to $699,"2,152","Montgomery County, Maryland!!Percent Margin of Error",±0.3
    $700 to $999,"4,788","Montgomery County, Maryland!!Percent Margin of Error",±0.6
"    $1,000 to $1,499","16,484","Montgomery County, Maryland!!Percent Margin of Error",±1.2
"    $1,500 to $1,999","28,710","Montgomery County, Maryland!!Percent Margin of Error",±1.2
"    $2,000 or more","202,115","Montgomery County, Maryland!!Percent Margin of Error",±1.5
    Median (dollars),"2,994","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Housing units without a mortgage,"86,679","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than $100,"1,051","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    $100 to $199,"3,040","Montgomery County, Maryland!!Percent Margin of Error",±0.3
    $200 to $299,"8,855","Montgomery County, Maryland!!Percent Margin of Error",±0.8
    $300 to $399,"14,202","Montgomery County, Maryland!!Percent Margin of Error",±1.4
    $400 or more,"59,531","Montgomery County, Maryland!!Percent Margin of Error",±1.7
    Median (dollars),539,"Montgomery County, Maryland!!Percent Margin of Error",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Montgomery County, Maryland!!Percent Margin of Error",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than 20.0 percent,"61,314","Montgomery County, Maryland!!Percent Margin of Error",±1.5
    20.0 to 24.9 percent,"37,831","Montgomery County, Maryland!!Percent Margin of Error",±1.3
    25.0 to 29.9 percent,"31,228","Montgomery County, Maryland!!Percent Margin of Error",±1.1
    30.0 to 34.9 percent,"27,748","Montgomery County, Maryland!!Percent Margin of Error",±1.2
    35.0 percent or more,"97,215","Montgomery County, Maryland!!Percent Margin of Error",±1.6
    Not computed,940,"Montgomery County, Maryland!!Percent Margin of Error",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than 10.0 percent,"43,387","Montgomery County, Maryland!!Percent Margin of Error",±2.9
    10.0 to 14.9 percent,"14,242","Montgomery County, Maryland!!Percent Margin of Error",±2.1
    15.0 to 19.9 percent,"8,796","Montgomery County, Maryland!!Percent Margin of Error",±2.1
    20.0 to 24.9 percent,"5,781","Montgomery County, Maryland!!Percent Margin of Error",±1.8
    25.0 to 29.9 percent,"2,687","Montgomery County, Maryland!!Percent Margin of Error",±1.5
    30.0 to 34.9 percent,"2,337","Montgomery County, Maryland!!Percent Margin of Error",±0.9
    35.0 percent or more,"7,889","Montgomery County, Maryland!!Percent Margin of Error",±2.1
    Not computed,"1,560","Montgomery County, Maryland!!Percent Margin of Error",(X)
GROSS RENT,,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied units paying rent,"250,980","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than $200,"1,021","Montgomery County, Maryland!!Percent Margin of Error",±0.6
    $200 to $299,"5,127","Montgomery County, Maryland!!Percent Margin of Error",±0.4
    $300 to $499,"5,300","Montgomery County, Maryland!!Percent Margin of Error",±0.5
    $500 to $749,"13,324","Montgomery County, Maryland!!Percent Margin of Error",±1.0
    $750 to $999,"26,134","Montgomery County, Maryland!!Percent Margin of Error",±1.3
"    $1,000 to $1,499","90,157","Montgomery County, Maryland!!Percent Margin of Error",±2.2
"    $1,500 or more","109,917","Montgomery County, Maryland!!Percent Margin of Error",±2.4
    Median (dollars),"1,418","Montgomery County, Maryland!!Percent Margin of Error",(X)
    No rent paid,"5,300","Montgomery County, Maryland!!Percent Margin of Error",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Montgomery County, Maryland!!Percent Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Montgomery County, Maryland!!Percent Margin of Error",(X)
    Less than 15.0 percent,"36,283","Montgomery County, Maryland!!Percent Margin of Error",±1.4
    15.0 to 19.9 percent,"35,384","Montgomery County, Maryland!!Percent Margin of Error",±1.6
    20.0 to 24.9 percent,"29,917","Montgomery County, Maryland!!Percent Margin of Error",±1.6
    25.0 to 29.9 percent,"27,507","Montgomery County, Maryland!!Percent Margin of Error",±1.6
    30.0 to 34.9 percent,"23,888","Montgomery County, Maryland!!Percent Margin of Error",±1.6
    35.0 percent or more,"93,855","Montgomery County, Maryland!!Percent Margin of Error",±2.5
    Not computed,"9,446","Montgomery County, Maryland!!Percent Margin of Error",(X)
HOUSING OCCUPANCY,,"Wake County, North Carolina!!Estimate",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate","372,737"
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    Vacant housing units,"32,720","Wake County, North Carolina!!Estimate","34,683"
    Homeowner vacancy rate,1.8,"Wake County, North Carolina!!Estimate",2.4
    Rental vacancy rate,4.1,"Wake County, North Carolina!!Estimate",9.9
UNITS IN STRUCTURE,,"Wake County, North Carolina!!Estimate",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate","372,737"
"    1-unit, detached","332,653","Wake County, North Carolina!!Estimate","227,378"
"    1-unit, attached","68,576","Wake County, North Carolina!!Estimate","35,010"
    2 units,"14,314","Wake County, North Carolina!!Estimate","5,054"
    3 or 4 units,"38,225","Wake County, North Carolina!!Estimate","10,015"
    5 to 9 units,"35,293","Wake County, North Carolina!!Estimate","23,983"
    10 to 19 units,"31,079","Wake County, North Carolina!!Estimate","30,181"
    20 or more units,"92,993","Wake County, North Carolina!!Estimate","28,469"
