,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
"Fairfax County, Virginia!!Female!!Margin of Error",±197,,±153,"±2,398","±2,387",±102,±153,±161,±156,"±2,519","±2,518",±123,±137,"±2,091","±2,092","±1,633","±1,620","±1,654","±1,524","±1,438",,±75,±102,±118,±153,±221,"±1,231",±152,"±1,392","±2,087","±2,143",±98,±40,,±0.4,(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Percent Female!!Estimate",(X),,5.5%,6.0%,6.4%,6.2%,5.8%,6.2%,6.5%,6.9%,7.6%,6.9%,6.9%,6.6%,5.8%,5.5%,3.8%,3.5%,2.1%,1.7%,,12.4%,4.0%,21.9%,8.1%,39.2%,80.7%,78.1%,74.7%,22.5%,20.1%,16.7%,7.4%,,(X),(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Percent Female!!Margin of Error",(X),,±0.1,±0.4,±0.4,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.3,±0.3,±0.3,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.4,±0.4,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Total!!Estimate","436,347",,"26,353","32,357","33,508","33,051","23,798","20,435","25,103","35,963","36,851","35,603","33,563","26,107","23,938","14,780","13,466","9,940","6,888","4,643",,"65,865","21,853","114,071","34,996","175,201","336,068","322,276","306,330","73,655","61,776","49,717","21,471",,38.3,100.5,60.1,18.2,41.9,,(X),(X)
"Loudoun County, Virginia!!Total!!Margin of Error",*****,,±85,"±2,613","±2,598","±1,256","±1,328",±522,±543,"±3,000","±2,937",±92,±71,"±1,830","±1,814","±1,427","±1,498","±1,155","±1,172",±919,,±129,±59,±137,±548,±141,"±1,331",±137,"±1,673","±1,827","±1,574",±130,±599,,±0.4,±0.8,±0.1,±0.1,±0.1,,(X),(X)
"Loudoun County, Virginia!!Percent!!Estimate",(X),,6.0%,7.4%,7.7%,7.6%,5.5%,4.7%,5.8%,8.2%,8.4%,8.2%,7.7%,6.0%,5.5%,3.4%,3.1%,2.3%,1.6%,1.1%,,15.1%,5.0%,26.1%,8.0%,40.2%,77.0%,73.9%,70.2%,16.9%,14.2%,11.4%,4.9%,,(X),(X),(X),(X),(X),,0.0%,1.7%
"Loudoun County, Virginia!!Percent!!Margin of Error",(X),,±0.1,±0.6,±0.6,±0.3,±0.3,±0.1,±0.1,±0.7,±0.7,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.3,±0.3,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.3,±0.1,±0.4,±0.4,±0.4,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Male!!Estimate","218,730",,"13,564","16,873","16,937","17,085","12,048","10,385","12,030","18,339","17,630","18,024","17,560","13,599","12,127","6,711","6,883","4,309","3,270","1,356",,"33,810","11,441","58,815","17,692","87,517","167,692","159,915","152,395","34,656","28,486","22,529","8,935",,37.9,(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Male!!Margin of Error",±829,,±654,"±1,822","±1,802",±617,±340,±36,±525,"±1,985","±1,959",±31,±4,"±1,196","±1,201",±911,±927,±650,±689,±478,,±103,±460,±810,±66,±477,"±1,117",±159,±928,"±1,205","±1,160",±115,±247,,±0.5,(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Percent Male!!Estimate",(X),,6.2%,7.7%,7.7%,7.8%,5.5%,4.7%,5.5%,8.4%,8.1%,8.2%,8.0%,6.2%,5.5%,3.1%,3.1%,2.0%,1.5%,0.6%,,15.5%,5.2%,26.9%,8.1%,40.0%,76.7%,73.1%,69.7%,15.8%,13.0%,10.3%,4.1%,,(X),(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Percent Male!!Margin of Error",(X),,±0.3,±0.8,±0.8,±0.3,±0.2,±0.1,±0.2,±0.9,±0.9,±0.1,±0.1,±0.6,±0.5,±0.4,±0.4,±0.3,±0.3,±0.2,,±0.1,±0.2,±0.3,±0.1,±0.2,±0.6,±0.3,±0.5,±0.5,±0.5,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Female!!Estimate","217,617",,"12,789","15,484","16,571","15,966","11,750","10,050","13,073","17,624","19,221","17,579","16,003","12,508","11,811","8,069","6,583","5,631","3,618","3,287",,"32,055","10,412","55,256","17,304","87,684","168,376","162,361","153,935","38,999","33,290","27,188","12,536",,38.9,(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Female!!Margin of Error",±829,,±665,"±1,857","±1,850","±1,274","±1,242",±515,±80,"±1,838","±1,851",±87,±70,"±1,334","±1,323","±1,004","±1,088",±870,±766,±677,,±55,±458,±815,±540,±471,±827,±112,"±1,378","±1,322","±1,115",±87,±517,,±0.6,(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Percent Female!!Estimate",(X),,5.9%,7.1%,7.6%,7.3%,5.4%,4.6%,6.0%,8.1%,8.8%,8.1%,7.4%,5.7%,5.4%,3.7%,3.0%,2.6%,1.7%,1.5%,,14.7%,4.8%,25.4%,8.0%,40.3%,77.4%,74.6%,70.7%,17.9%,15.3%,12.5%,5.8%,,(X),(X),(X),(X),(X),,(X),(X)
"Loudoun County, Virginia!!Percent Female!!Margin of Error",(X),,±0.3,±0.9,±0.8,±0.6,±0.6,±0.2,±0.1,±0.8,±0.9,±0.1,±0.1,±0.6,±0.6,±0.5,±0.5,±0.4,±0.4,±0.3,,±0.1,±0.2,±0.3,±0.2,±0.2,±0.4,±0.3,±0.7,±0.6,±0.5,±0.1,±0.2,,(X),(X),(X),(X),(X),,(X),(X)
